subject,z_pe_T2W10,z_l1_T2W10,z_l2_T2W10,z_l3_T2W10,z_lsc_T2W10,z_density_T2W10,z_diameter_T2W10,z_asp_T2W10
CSO-11-6A-CAPAMU,0.2122526336869622,-0.2876897874711833,0.1619709388246729,0.1592741254277546,-0.0823124395345393,-0.0359994689734434,0.1369577473369689,0.1061240727816032
CSO-11-6A-DSCACH,-0.0539177140519848,-0.1587242167142946,-0.051311189628055,-0.1346817634053687,0.3157441250115072,0.1435836719434564,-0.2338003547420497,-0.2190309470887906
CSO-11-6A-EROMO,0.1479193122804254,-0.0979470392310385,0.1508608730993636,-0.1901994706156027,0.017403244847343,-0.1050698976444524,0.017654301423445,0.0301708370248999
CSO-11-6A-FSOVRE,0.4284244203350556,-0.2472335375918758,0.2734372060725218,-0.0551378758484746,-0.049667555077682,-0.1933610446313375,0.1847482896365135,0.2406075503066376
CSO-11-6B-ANREVA,0.1566105744011921,0.0012958096076905,0.1584266905980071,-0.2550591249128608,0.132604645551108,-0.1054334051998247,-0.0967029613351589,-0.0359061547020245
CSO-11-6B-DISEMO,-0.2191225241458363,0.2080328403462814,-0.2191225241458363,-0.1840497435932254,-0.1926927200086233,-0.2220060686404705,0.0725199119194559,0.1082578026842786
CSO-11-6B-LHFDLACH,0.3652177459503195,-0.2037369000049482,0.2262338802121754,-0.0527141482447437,-0.2176523608685727,-0.3239580911503471,0.3854019094248598,0.3879424289965382
CSO-11-6B-RJGIHE,-0.4002471874379188,0.8413339618761367,-0.4010646974603266,0.0104435692067777,-0.3939214043334832,-0.3566172683715681,0.3185290881914501,0.3720313523085802
CSO-11-6B-SFLVA,0.5762446987589449,-0.3502128344072869,0.3865790624021206,-0.1288318962221888,-0.1612024507998682,-0.1995418491212754,0.2891980625116759,0.2951761839777989
CSO-11-6B-VCOMA,0.0519700301174833,-0.1433998383016499,-0.0700302619406974,0.1811619663740884,-0.0809004066960717,-0.062552888166815,0.1630711055444347,0.1662344199917881
CSO-12-6A-DGISE,0.4721422718148934,0.1551477151694052,0.4776805247405782,0.0527943040012945,-0.3961566225080288,-0.4754107782661478,0.5397101361973649,0.6069347682242798
CSO-12-6A-FJOVRE,0.0880783759393368,0.6111542959167147,-0.0377091479497957,-0.1495651550644762,-0.5887209756494708,-0.6659962354772475,0.7381904642349559,0.7711204728132252
CSO-12-6B-GQULO,0.0767664496676737,0.0951746381208019,0.082950395381337,0.1582268484710282,-0.1619454888691804,-0.1916716850209519,0.1901768527300997,0.2047302246513218
CSO-12-6B-LJHEFE,-0.0442442270459393,0.1050636034286317,-0.1248832172981783,0.0309296279778932,-0.1755287819173501,-0.1270306536929193,0.2190096525087961,0.2128658479763917
CSO-12-6B-VPAMA,-0.2953952556161415,0.9297002265674372,-0.2953952556161415,-0.2496445175049807,-0.3634368356548615,-0.5361736961821357,0.521484895805317,0.5235745299954401
CSO-12-7A-DALRE,-0.337850920282164,-0.6518056438284171,-0.3370376330307015,-0.4198090615378215,0.5552440308848134,0.313828026992191,-0.6171635387467633,-0.5130597203640966
CSO-12-7A-ESALA,-0.0624795814817693,-0.0364959749764472,-0.0626479546664723,-0.0835296818716461,0.1499004220123354,0.0884813524919312,-0.1379912383752036,-0.1479937633554823
CSO-12-7A-IMERO,-0.0878996977828585,-0.0227576821525312,-0.0891980023284928,-0.0646958417508613,0.0306617471637779,-0.0339183346553421,-0.0049216580683513,-0.0146380658643115
CSO-12-7A-JHEZA,0.1407133618039159,-0.1855227869518543,0.1030657334110259,0.1838607220821236,-0.0802378816219291,-0.11853588189421,0.0986161550540046,0.1030822906383605
CSO-12-7A-LSARAR,-0.2841275175852503,0.4257247407598708,-0.2849699582353677,-0.2554352757116342,-0.1523056516987656,-0.2302494870029104,0.3031416586537607,0.2392295794996411
CSO-12-7A-SCAHO,-0.1043523770406318,-0.1427631679899205,-0.102760254580022,0.1399643984945752,0.0960199209925805,0.0852379875352874,-0.0754159941606807,-0.0562910021219105
CSO-12-7B-DVAGRO,0.0814517756123417,0.5065331459338311,-0.0734192346942453,0.0221990161080804,-0.5110740172309626,-0.435721827297039,0.5222902275480815,0.5504943438104692
CSO-12-7B-SMUGU,-0.1140018820645743,-0.1059711827733799,-0.2306660965720942,-0.1438537985797338,0.0792271649391067,0.1010648313557735,-0.0190816733998378,-0.0426913509416835
CSO-12-7B-SSARA,0.2452988780366724,-0.1197224048273013,0.0979655273537092,-0.0549388830724507,-0.03872174909595,-0.1488784673809401,0.1280806348954801,0.1373056660855583
CSO-12-7B-VHOMA,0.1757154932826314,-0.1489097260111193,0.180050500698446,0.2821896708546151,-0.0389135397586534,0.0074726650801265,0.0422039281222808,0.0549700378610848
CSO-12-8A-YTOME,0.4492413574971272,-0.2789106297703411,0.4072029943764058,0.1188720714921962,-0.1697697449031226,-0.1403989185817896,0.0895703652935966,0.1426486587538667
