subject,re_T6W30,lcc_T6W30,lsc_T6W30,atd_T6W30,density_T6W30,diameter_T6W30,asp_T6W30,y_true,y_pred
CSO-15-10B-YVBUAN,-0.0,-0.11708031726447722,-0.0,-0.0,-0.0,0.11064872014658915,0.0,24,14.454800121825377
CSO-15-10C-ALBAHO,0.0,-0.15693132082700023,-0.0,-0.0,-0.0,-0.3179222866257082,-0.0,13,13.986378111490556
CSO-15-10C-SSCAMO,0.0,-0.2608968347854141,0.0,-0.0,-0.0,-0.7243727925005299,-0.0,10,13.47596209165732
CSO-15-11C-JETALO,0.0,0.15618061389923893,0.0,0.0,-0.0,-0.33827199404288366,-0.0,15,14.279140338799621
CSO-15-7B-JCRAGA,-0.0,-0.09734492164212931,-0.0,-0.0,-0.0,-0.11749144940676715,-0.0,20,14.246395347894367
CSO-15-8A-VBMABR,0.0,-0.018435690138941266,-0.0,-0.0,-0.0,0.07479668500340649,0.0,31,14.51759271380773
CSO-15-8B-KEPOGO,-0.0,-0.6595077043852701,-0.0,-0.0,-0.0,-0.7632595168612525,-0.0,7,13.038464497696742
CSO-15-9B-ALRIHE,-0.0,-0.2540719121448139,-0.0,-0.0,-0.0,-0.21546880655845843,-0.0,8,13.991691000239992
CSO-15-9B-AMSAGO,-0.0,-0.33867897260115887,-0.0,-0.0,-0.0,-0.21350318261601653,-0.0,32,13.90904956372609
CSO-15-9B-JCAPA,-0.0,-0.1521176566612752,-0.0,-0.0,-0.0,0.009276151516411757,0.0,14,14.318390213798402
CSO-15-9B-KSBEJA,0.0,0.41465869930500654,0.0,0.0,0.0,0.4904934331588931,0.0,28,15.366383851407164
CSO-15-9B-RMCHLU,-0.0,-0.041840332575189654,-0.0,-0.0,-0.0,-0.003580161539892119,-0.0,9,14.415811224828182
CSO-15-9B-SJAGRO,-0.0,-0.6648758779969153,-0.0,-0.0,-0.0,-0.8578830829442049,-0.0,7,12.938472758002145
CSO-16-10A-JEGAHE,0.0,-0.0756907383158159,-0.0,-0.0,-0.0,-0.011492019714518598,-0.0,9,14.37404896091293
CSO-16-10A-MSACO,-0.0,-0.3721343413124667,-0.0,-0.0,-0.0,-0.2795371400249098,-0.0,15,13.809560237605888
CSO-16-10A-SARI,0.0,0.33845817128237793,0.0,-0.0,-0.0,-0.1968632924713497,-0.0,6,14.602826597754293
CSO-16-10A-SMOUT,-0.0,-0.3611316578927773,-0.0,-0.0,-0.0,-0.5186515320390193,-0.0,4,13.581448529011467
CSO-16-10A-YKMUJO,-0.0,0.2413256944084532,-0.0,0.0,0.0,0.5503640266992849,0.0,15,15.252921440051002
CSO-16-10B-JESUGU,-0.0,-0.468664912249051,-0.0,-0.0,-0.0,-0.09228029625149461,-0.0,10,13.900286510442719
CSO-16-10B-LTVIFA,-0.0,-1.0786452535144258,0.0,-0.0,-0.0,-1.855938014291566,-0.0,20,11.526648451137273
CSO-16-10B-VVILI,-0.0,-0.3067217587640637,-0.0,-0.0,-0.0,-0.37159262437343965,-0.0,30,13.782917335805761
CSO-16-10C-ACALGU,-0.0,-0.17410470639437234,-0.0,-0.0,-0.0,-0.008899182761892985,-0.0,19,14.278227829787
CSO-16-10C-MAVAVE,-0.0,-0.4584113812257446,-0.0,-0.0,-0.0,-0.6783165603090648,-0.0,11,13.324503777408456
CSO-16-11A-JAVABO,-0.0,-0.254735306813608,-0.0,-0.0,-0.0,-0.2092059185284569,-0.0,16,13.997290493601199
CSO-16-11A-JDMUVA,-0.0,-0.5049338465372114,-0.0,-0.0,-0.0,-0.21710820960160535,-0.0,23,13.73918966280445
CSO-16-11A-VZAOR,-0.0,-0.4276533706910725,0.0,-0.0,-0.0,-0.5777890852896749,-0.0,4,13.455789262962517
CSO-16-11B-KRORE,0.0,-0.30671577332984584,-0.0,-0.0,-0.0,-0.4784738527489575,-0.0,8,13.676042092864462
CSO-16-11B-LLOZA,-0.0,-0.5796438143752318,-0.0,-0.0,-0.0,-0.5869637358137654,-0.0,9,13.294624168754268
CSO-16-11B-YAROMO,-0.0,-0.44020430095855595,0.0,-0.0,-0.0,-1.282449319249907,-0.0,13,12.738578098734802
CSO-16-9A-JALEMO,-0.0,-0.334675064387291,-0.0,-0.0,-0.0,-0.27467177017198996,-0.0,13,13.851884884383985
CSO-16-9A-JPROSO,-0.0,-0.3680438058207442,0.0,-0.0,-0.0,-0.6823569976486433,-0.0,2,13.410830915473877
CSO-16-9A-JSMAGU,-0.0,0.026748643194736806,-0.0,0.0,0.0,0.3181739325234898,0.0,19,14.806154294661491
CSO-16-9B-SJPAJI,-0.0,-0.1859397604351947,-0.0,-0.0,-0.0,-0.052213735875246185,-0.0,24,14.223078222632823
CSO-17-10A-YVGOCA,-0.0,-0.10754058589042541,-0.0,-0.0,-0.0,0.18167438570658068,0.0,24,14.53536551875942
CSO-17-10B-EHECO,-0.0,-0.1329765142389895,-0.0,-0.0,-0.0,-0.06652419475955121,-0.0,15,14.261731009944725
CSO-17-10B-YCQUVE,0.0,0.09418853308840033,0.0,-0.0,-0.0,-0.12954366385901775,-0.0,12,14.425876588172647
CSO-17-11A-DJAPA,-0.0,-0.22386507722700022,-0.0,-0.0,-0.0,-0.12243566360761317,-0.0,16,14.114930978108651
CSO-17-11A-JDAMO,0.0,-0.13204020961600615,-0.0,-0.0,-0.0,0.06652693712178849,-0.0,6,14.395718446449047
CSO-17-11A-NPAHE,-0.0,-0.4133625938770946,-0.0,-0.0,-0.0,-0.1846332931401596,-0.0,17,13.86323583192601
CSO-17-11A-RLPAIG,-0.0,-0.020336848794238346,0.0,-0.0,-0.0,-0.3056871046053996,-0.0,4,14.135207765543626
CSO-17-11A-SPUVA,0.0,0.27556087453937084,-0.0,0.0,0.0,0.4158899407973618,0.0,6,15.152682534279997
CSO-17-11B-CDBEBU,-0.0,-0.31149859568778243,-0.0,-0.0,-0.0,-0.330550575430959,-0.0,13,13.819182547824523
CSO-17-11C-JDAAG,-0.0,-0.6413973130451323,-0.0,-0.0,-0.0,-0.6013702835185584,-0.0,7,13.218464122379574
CSO-17-11C-MAPAMA,-0.0,-0.1260163027986791,0.0,-0.0,-0.0,-0.19999446546115474,-0.0,7,14.135220950683431
CSO-17-11C-MCAAG,-0.0,-0.2847972647547159,-0.0,-0.0,-0.0,-0.20817228551888925,-0.0,12,13.968262168669659
CSO-17-11C-SARJA,-0.0,-0.27241744434526843,-0.0,-0.0,-0.0,-0.07895293181094945,-0.0,8,14.109861342787045
CSO-18-11A-ADBAHO,-0.0,-0.538417626775045,-0.0,-0.0,-0.0,-0.21585509548320977,-0.0,19,13.70695899668501
CSO-18-11B-YLLRE,-0.0,-0.27758478133997516,-0.0,-0.0,-0.0,-0.33766792891844005,-0.0,22,13.84597900868485
CSO-18-9B-MAMOLO,0.0,-0.13789327431032788,0.0,-0.0,-0.0,-0.8865952007410495,-0.0,10,13.436743243891886
CSO-8-3A-AIPRBR,0.0,0.24666949433387825,-0.0,0.0,0.0,0.5048723958947199,0.0,1,15.212773609171863
CSO-8-3A-DAPAVA,0.0,0.24883092178581104,0.0,0.0,0.0,0.17192348082424028,0.0,9,14.881986121553316
CSO-8-3A-KVPECO,-0.0,0.12555075767437474,0.0,0.0,0.0,0.36810968675168204,0.0,23,14.95489216336932
CSO-8-4A-ARAGR,-0.0,-0.24348209055087539,0.0,-0.0,-0.0,-0.41234435142862574,-0.0,26,13.805405276963764
CSO-8-4A-JRAAR,0.0,0.7535091458634442,0.0,0.0,0.0,1.0517140041874184,0.0,8,16.266454868994128
CSO-9-2A-EXMOCO,0.0,0.3202732582946625,0.0,0.0,0.0,0.3737526791802466,0.0,17,15.155257656418174
CSO-9-4A-AGAPE,-0.0,-0.04695874068022578,-0.0,-0.0,0.0,0.3131950010168665,0.0,4,14.727467979279906
CSO-9-4A-DKVIMO,0.0,0.37146874787680484,-0.0,0.0,0.0,0.7612302562891746,0.0,4,15.593930723109244
CSO-9-4A-DSMOMU,-0.0,-0.1801136176502895,-0.0,-0.0,-0.0,-0.24743681791005143,-0.0,21,14.033681283382924
CSO-9-4A-DVGATO,0.0,-0.04059585687906391,0.0,-0.0,-0.0,-0.2780643136834975,-0.0,9,14.142571548380703
CSO-9-4A-EGCAMO,0.0,0.33903408935143214,-0.0,0.0,0.0,0.5304593881739851,0.0,20,15.330725196468682
CSO-9-4A-FAGIGA,-0.0,0.09056143743384093,0.0,-0.0,-0.0,-0.27712799180004005,-0.0,26,14.274665164577065
CSO-9-4A-GSBRCO,0.0,0.5442580328456191,0.0,0.0,0.0,0.6140244043538001,0.0,10,15.619514156142683
CSO-9-4A-KEMOCO,0.0,0.3925393286817581,-0.0,0.0,0.0,0.6450261420171092,0.0,14,15.498797189642131
CSO-9-4A-LCOMO,-0.0,-0.3087913377493274,-0.0,-0.0,-0.0,-0.4608797056088654,-0.0,10,13.691560675585073
CSO-9-4A-MLORO,0.0,0.2228021246805073,-0.0,0.0,0.0,0.3316306455135546,0.0,10,15.015664489137327
CSO-9-4A-MPAME,0.0,0.35264015373283814,0.0,0.0,0.0,0.3940837669734685,0.0,31,15.20795563964957
CSO-9-4A-NSARPA,-0.0,-0.09331689408870314,-0.0,-0.0,-0.0,0.17003607628525325,0.0,11,14.537950901139816
CSO-9-4A-SLOCA,0.0,0.34703536908411986,0.0,0.0,0.0,0.5191430831267476,0.0,8,15.327410171154131
CSO-9-4A-YVDITR,0.0,0.8949967899276835,0.0,0.0,0.0,1.0309692470583485,0.0,22,16.387197755929297
