subject,diameter_T2W10,asp_T2W10
CSO-13-8A-VHODU,7.6050955414012735,3.23710949347892
CSO-13-8B-FCJISA,7.695652173913044,3.27833850931677
CSO-13-8B-JEMABE,5.557377049180328,2.5934035909445745
CSO-13-9B-DMLLLU,6.745762711864407,2.9244686575195047
CSO-14-7A-MVEBE,8.416666666666666,3.467592592592592
CSO-14-7B-EALHU,4.333333333333333,2.146031746031746
CSO-14-7B-EVEGO,7.293785310734464,3.137032553134248
CSO-14-8A-AQUMA,6.357723577235772,2.836165956897664
CSO-14-8A-MCIDOS,6.368421052631579,2.829782790309106
CSO-14-8A-SZARA,6.0,2.718735509184947
CSO-14-8B-JLLORA,6.32258064516129,2.817204301075269
CSO-14-9A-AEDCAGO,6.8352941176470585,2.977735760971055
CSO-14-9A-HASACA,6.984962406015038,3.041174364482635
CSO-14-9A-JSMAAL,7.346534653465347,3.1504007543611507
CSO-14-9A-MARJA,7.603448275862069,3.251368363437329
CSO-14-9A-SORZU,5.911504424778761,2.6889591234723977
CSO-14-9B-ERAGA,6.972477064220183,3.040075724479394
CSO-14-9B-MFEGA,7.036231884057971,3.0496031746031744
CSO-15-10A-LJRAGU,7.031413612565445,3.0484791822488155
CSO-15-10A-MAARLO,6.465116279069767,2.8700166112956813
CSO-15-10A-SFEGA,7.875,3.306960978835979
CSO-15-10B-MEBUAR,7.2,3.0859391534391536
CSO-15-10B-YVBUAN,7.097222222222222,3.070160934744268
CSO-15-10C-ALBAHO,9.0,3.6666666666666665
CSO-15-10C-SSCAMO,6.939271255060729,3.009456333140544
CSO-15-11C-JETALO,6.320754716981132,2.8074648098233004
CSO-15-7B-JCRAGA,6.977272727272728,3.018939393939394
CSO-15-8A-VBMABR,6.743119266055046,2.9688000582495992
CSO-15-8B-KEPOGO,7.306451612903226,3.136222051544632
CSO-15-9B-ALRIHE,7.605882352941176,3.237861811391223
CSO-15-9B-AMSAGO,7.737704918032787,3.2871454592766067
CSO-15-9B-JCAPA,7.006944444444445,3.0491347001763667
CSO-15-9B-KSBEJA,6.823529411764706,2.9865679605175406
CSO-15-9B-RMCHLU,7.413793103448276,3.1782293377120965
CSO-16-10A-JEGAHE,4.636363636363637,2.219444444444445
CSO-16-10A-MSACO,6.147058823529412,2.7896825396825395
CSO-16-10A-SMOUT,5.142857142857143,2.409863945578232
CSO-16-10A-YKMUJO,6.825,2.975892857142857
CSO-16-10B-JESUGU,6.662790697674419,2.924972314507198
CSO-16-10B-LTVIFA,7.25,3.1301353874883286
