subject,diameter_T2W10,asp_T2W10,y_true,y_pred
CDMS-12-6A-SROAL,0.0,0.0,10,8.0
CDMS-12-6B-IJDAGA,0.0,0.0,11,8.0
CDMS-12-6B-SCLAG,0.0,0.0,9,8.0
CDMS-12-7C-ARAHE,0.0,0.0,13,8.0
CDMS-12-7C-CATRAR,0.0,0.0,8,8.0
CDMS-12-7C-DLOLO,0.0,0.0,9,8.0
CDMS-12-7C-JSZAOR,0.0,0.0,5,8.0
CDMS-12-7C-MAROBE,0.0,0.0,8,8.0
CDMS-12-7C-VMAPA,0.0,0.0,7,8.0
CDMS-12-7C-VQURA,0.0,0.0,9,8.0
CDMS-13-6B-ASUMO,0.0,0.0,7,8.0
CDMS-13-6B-JDTAHE,0.0,0.0,8,8.0
CDMS-13-7C-MVEAR,0.0,0.0,11,8.0
CDMS-13-7C-RAIZAC,0.0,0.0,8,8.0
CDMS-13-7C-SSOSLO,0.0,0.0,10,8.0
CDMS-14-10A-IMORTO,0.0,0.0,10,8.0
CDMS-14-10A-JCVANI,0.0,0.0,9,8.0
CDMS-14-6B-KDCAHE,0.0,0.0,7,8.0
CDMS-15-10A-AMALOS,0.0,0.0,8,8.0
CDMS-15-10A-JJMACH,0.0,0.0,8,8.0
CDMS-15-10A-MAALCA,0.0,0.0,10,8.0
CDMS-15-10A-MAALRI,0.0,0.0,10,8.0
CDMS-15-10A-SGOMO,0.0,0.0,9,8.0
CDMS-15-10A-SHEGA,0.0,0.0,9,8.0
CDMS-15-11B-JEMOLO,0.0,0.0,9,8.0
CDMS-15-11B-VSAHO,0.0,0.0,9,8.0
CDMS-16-10A-SGALO,0.0,0.0,8,8.0
CDMS-16-11B-NGABE,0.0,0.0,10,8.0
CDMS-17-10A-ASSAMO,0.0,0.0,7,8.0
CDMS-18-7C-VVECA,0.0,0.0,8,8.0
CDMS-8-4A-DBEVA,0.0,0.0,9,8.0
CDMS-8-4A-DJAVDA,0.0,0.0,8,8.0
