subject,re_T6W30,pe_T6W30,l1_T6W30,l3_T6W30,lsc_T6W30,density_T6W30,y_true,y_pred
CSO-10-5A-ACAVA,0.0004753898917489431,0.0007434845270180548,-0.00026118070592463777,0.00037345142609365695,-4.6770251801285566e-05,0.0,6,8.002118606585325
CSO-10-5A-ARACA,-0.0006761878060261088,-3.658440898358722e-05,-7.703830737481137e-05,0.0004890813241831896,0.0008463738796959682,0.0,7,8.001379876379685
CSO-10-5A-DABRZA,-0.0011109330119511876,-0.0014482909760484125,-5.008127677426323e-05,-0.00038804672785131987,-0.00029536416887299377,0.0,6,7.9975415155366925
CSO-10-5A-GZAMA,7.730123748059955e-05,0.000243460953579131,9.619476396010158e-05,-9.609877402991652e-05,0.00036986043130916385,0.0,6,8.00152495031049
CSO-10-5A-IPECA,0.0003222817902635812,0.0005407793468924643,8.815944257723504e-05,-0.0004637782523128984,0.00011838947468078235,0.0,7,8.001440063500292
CSO-10-5A-JANORO,0.00024075937775801907,7.524569041018981e-05,6.700128780709283e-05,0.0,1.5045949605574285e-05,0.0,7,8.001232284003772
CSO-10-5A-JBUVE,-1.1808734622668503e-05,0.0001984835612990344,-5.191129104921523e-05,0.00014706572714616364,0.0,0.0,9,8.001116060960964
CSO-10-5A-JJSEMO,-0.000726530771788718,-0.0005209313248749849,8.751062824852184e-05,0.0003496249874942538,-9.609125750211035e-05,0.0,10,7.999927813959768
CSO-10-5A-JLCARI,0.00029591882561007916,0.0005979196707915988,6.798095167888461e-06,0.0003011050843283236,4.364051002495963e-05,0.0,9,8.002079613884113
CSO-10-5A-MAARAN,-0.00038445630040753504,-2.5001150985592057e-05,7.255506646897584e-05,-0.0007506563992777195,0.0002860725344475801,0.0,9,8.000032745448436
CSO-10-5A-MAOSMO,0.00039959977860645437,0.0005356457003861398,0.00010455837752375036,0.000596755840622123,0.00014189734151184876,0.0,7,8.002612688736841
CSO-10-5A-RVMOIB,0.00040927001569093227,0.0005886975094011449,4.11041062017795e-05,0.0001445147165924255,0.0001499235594663102,0.0,4,8.002167741605543
CSO-10-5A-SVHEES,0.0002953435904789597,0.0004512579063693604,-0.0002240805971481785,4.380175667793168e-05,3.9783361743648106e-05,0.0,6,8.001440337716312
CSO-11-5A-MDVOSPE,5.927986770091201e-05,0.0003985818293017179,5.38287192043184e-05,0.0,0.0001532162806426504,0.0,7,8.00149913839504
CSO-11-5A-MTAGA,0.0003920215503462524,0.0005427527346979016,-6.538458388460466e-05,0.0005743211548351236,7.74112820866373e-05,0.0,6,8.002355353836272
CSO-11-6A-CAPAMU,0.0003489048153597033,0.0007784886858004828,0.0,0.0,0.0005353855829184499,0.0,9,8.00249701078227
CSO-11-6A-DSCACH,0.00035865886866189343,0.0004952570571464499,7.968633328458053e-05,0.00047236385740239014,9.976089658895412e-05,0.0,7,8.002339958711275
CSO-11-6A-EROMO,-0.00018582566141942826,-0.0012884139696614286,0.00013340166342559664,0.0005558150259269622,0.0001233567964568868,0.0,7,8.00017256555292
CSO-11-6A-FSOVRE,-0.0005350296060598048,-0.000712178954110403,-1.8652887216286627e-05,-0.0003073233804400952,-0.00041542525223176117,0.0,7,7.998845621618132
CSO-11-6B-ANREVA,6.113150825701874e-05,0.00027234209332682144,6.855607330878755e-05,-0.0002713063176553498,0.0003975776700485711,0.0,11,8.001362532725476
CSO-11-6B-DISEMO,0.0003427872206713307,0.0004181544048819261,6.795628927055942e-05,0.0004206075410719618,0.000116869376071443,0.0,8,8.002200606530158
CSO-11-6B-LHFDLACH,-0.0011863195091735262,-0.001544841537774768,-3.203821537717005e-05,8.428588150400469e-05,-0.0005693256988920401,0.0,6,7.997585992618477
CSO-11-6B-RJGIHE,0.0001820517691672191,0.00042763534228951064,-0.00012174585638592941,-0.0006705490637511785,0.00014800414999347343,0.0,8,8.000799628039504
CSO-11-6B-SFLVA,-0.0005392123250505185,-0.0009363859047694681,-0.00015551520259084097,-0.000606408928431052,-0.00026900812846161396,0.0,8,7.998327701208887
CSO-11-6B-VCOMA,0.00033496781935317806,0.0003767316879882367,5.2803878665207734e-05,0.00019947185705793428,4.5611024051890126e-05,0.0,9,8.001843817965307
CSO-12-6A-DGISE,-0.00028114328415445493,-0.00012039217138586806,-0.00031759630858791646,0.00015257390292027525,-0.00026529912614048075,0.0,5,8.000002374710842
CSO-12-6A-FJOVRE,0.0002928599904889201,0.0002820054704174111,-0.00012329218948275785,-3.840478328061902e-05,-1.0707990313516675e-05,0.0,7,8.00123669219602
CSO-12-6B-GQULO,0.00026182127253022124,0.00015824446050273738,-0.00021927594037396295,0.0004764255283163506,-5.0773929907190905e-05,0.0,7,8.001460673089259
CSO-12-6B-LJHEFE,0.000461429872602401,0.0004232994784224017,1.7386571983894804e-05,7.275674738597938e-05,-0.0001452432424773658,0.0,6,8.001663861126108
CSO-12-6B-VPAMA,-0.0004690133854212581,-6.800559451046028e-05,0.0,-0.00018455621012229654,0.0018811006955059676,0.0,9,8.001993757203643
CSO-12-7A-DALRE,-0.001228814836460677,-0.0012130041162075444,-0.00010611096435221741,-0.0004889726785464414,-0.0004669296922880108,0.0,11,7.997330399410336
CSO-12-7A-ESALA,9.248426450797096e-05,0.0003428267504238748,0.00012796142642719963,-0.00028873261831868443,0.0004122076242707592,0.0,7,8.001520979145502
CSO-12-7A-IMERO,-0.00020957095398776993,-0.00024534623662518426,-2.0312853574866385e-05,2.510251997973618e-05,-0.00036889546447832873,0.0,10,8.000015208709504
CSO-12-7A-JHEZA,6.52094557608151e-05,0.00013042219095868402,-3.930259677887355e-05,-1.9020531614332217e-05,0.0011927479592210655,0.0,10,8.002164288175738
CSO-12-7A-LSARAR,-0.000528614599035029,-0.0006941435464553529,0.0001431817901502056,0.00018694151971505033,0.00016042990466830017,0.0,8,8.000102026767234
CSO-12-7A-SCAHO,-7.195789378565328e-05,0.00011993367909803881,0.00010663576284473113,0.0,0.0002393192578519074,0.0,8,8.0012281625042
CSO-12-7B-DVAGRO,0.0003418929035176652,0.0003758640100070745,-0.00010200293611812726,5.1020199198005526e-05,-3.114498732355634e-05,0.0,12,8.001469860887472
CSO-12-7B-SMUGU,0.0005283164605435136,0.0006808186572789886,0.0,-0.0002253454880656021,9.342191902203339e-05,0.0,7,8.00191144324697
CSO-12-7B-SSARA,0.00030834194423563375,0.0004155475011043208,-5.4899054321531394e-05,0.0005058369308229402,0.00012464663287715865,0.0,8,8.00213370565291
CSO-12-7B-VHOMA,0.000516923193348718,0.00063691226414651,-5.959281629537637e-05,0.00041816639417641946,7.881144638047867e-05,0.0,9,8.002425452179947
CSO-12-8A-YTOME,0.0004138094669534217,0.00042298914421207834,8.155911944280432e-05,0.0002880604544254163,0.00017047912152648914,0.0,10,8.00221112900475
CSO-13-6A-ANASA,0.0005114660808374614,0.0004999957214835092,9.545849684562528e-05,0.0003849432857013352,0.00014552082947831248,0.0,10,8.002471616112537
CSO-13-6B-JETAVE,-0.0004989547475164895,-0.00011121518738181156,8.464666233244027e-05,-0.00041390595086641133,0.00041745007680982996,0.0,5,8.000312252551568
CSO-13-6B-LFMIES,0.0005913781713491418,0.0007693570811160381,-4.252202004175615e-05,-2.1921665674723943e-05,-7.52708784343882e-05,0.0,14,8.002055252386505
CSO-13-6B-LJMAHU,-0.00029146300821238937,-0.0004349605764355801,5.522814562041557e-05,0.0008315282249279139,-0.0003544538069588953,0.0,10,8.000640110677132
CSO-13-7A-CAPAMU,0.0003409310174252236,-0.0001940036039227701,-9.12995806000912e-05,0.0001581766865520726,-0.000298123350765316,0.0,3,8.00074991286688
CSO-13-7A-CDDITR,0.0004642283888808585,0.000609470031599807,8.23250770443922e-05,0.000497607903903017,9.962261770732284e-05,0.0,13,8.002587485717326
CSO-13-7A-JJATFL,0.00010231084446377979,6.270252375077345e-05,5.438044391600739e-05,0.0001862704362609099,0.00048448174437313104,0.0,6,8.001724377690955
CSO-13-7A-KRAMA,-2.0259584370912022e-05,0.00013638483366892252,8.130761810841949e-06,0.0003049935703583985,0.00043957183353330264,0.0,9,8.001703053113191
CSO-13-7A-RXCHLU,0.0004661323931275343,0.00040566394501723846,9.923135488120835e-05,0.00016426093763611746,2.9448249009125663e-05,0.0,8,8.001998968577862
CSO-13-7A-YAMEZA,0.0005610608716449364,0.0005086944156479368,0.0,0.0002730270686696808,0.0001397213902335193,0.0,7,8.002316735444387
CSO-13-7A-YBOSO,-0.0003633170314974497,-0.00023897577055036537,-2.849350186907981e-05,-2.8820249972779636e-05,0.00202324222113785,0.0,10,8.002197867365439
CSO-13-8A-KIGAGU,0.00012039173401609792,0.0003187546788413386,-0.00035747529693058673,2.5708803897010963e-05,0.00017386126240696842,0.0,7,8.001115472880421
CSO-13-8A-MBUAN,0.00015179173877064278,0.00030723726032187324,-2.8242040038790796e-05,0.0006133924786092733,-0.00015373240735505934,0.0,7,8.001724678728499
CSO-13-8A-MGAAN,0.00044383425037465807,0.000199290440851379,8.811157679679271e-06,0.0005537631037982459,0.0001874910845745956,0.0,10,8.00222742173547
CSO-13-8A-MGAHE,3.3332567299482644e-05,0.0004564001045496785,2.974259313978894e-05,0.0002215741024067045,0.00027137749942291746,0.0,9,8.00184665856501
CSO-13-8A-MJAGA,-0.0011188309479065036,-0.0007328112349225641,-0.00012852888298791124,-0.00031165225798688423,-0.0004729267379794751,0.0,6,7.998069481636407
CSO-13-8A-VHODU,0.0004732699316059466,0.00046895087788304164,0.0,-2.6654027332714087e-05,0.0001959231930204641,0.0,8,8.001945721673367
CSO-13-8B-FCJISA,0.0003670249271326458,0.0006339674782148332,8.060438763613691e-05,-0.00022939406464548323,-7.980736814422126e-05,0.0,3,8.001606627058385
CSO-13-8B-JEMABE,-0.000798737349450026,-0.0004983361440241844,0.0,0.0002667012094013624,-0.000396641992446297,0.0,5,7.9994072174216715
CSO-13-9B-DMLLLU,-0.0004376603594431138,0.0,0.0,-0.00029717273669696266,0.00022416202956331423,0.0,7,8.000323560631614
CSO-14-7A-MVEBE,0.0005213099976189686,0.0003718941837649982,0.0,-4.4087789449132286e-05,1.3193281958501137e-05,0.0,10,8.001696541372084
CSO-14-7B-EALHU,-0.0006485187710477935,-0.0006299299627796659,9.61531825528837e-05,-0.00012008079000833223,0.00022871793666153872,0.0,5,7.999760573293569
