feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG
diameter,raw,7,T7W20,250,-0.048175115428664365,0.4482483494750763,-0.056235146161717375,0.376906738967858,0.09153852725300651,0.1489840579775228,0.02661689600282814,0.675970336555081,0.048175115428664365,0.056235146161717375,0.09153852725300651,0.02661689600282814
asp,raw,7,T7W20,250,-0.0364598390345426,0.5661150362056656,-0.044023747198429386,0.4892369800024936,0.10076102929165581,0.11200742299591863,0.03569340542631365,0.5750858784868621,0.0364598390345426,0.044023747198429386,0.10076102929165581,0.03569340542631365
cc,raw,7,T7W20,250,0.12092216093719829,0.05621339853153508,0.12411858359566785,0.05043285050916482,-0.007565856395321147,0.9052524736055807,0.02055666106998184,0.7468614266560542,0.12092216093719829,0.12411858359566785,0.007565856395321147,0.02055666106998184
nodes,raw,7,T7W30,250,-0.0033956175045788393,0.9573968608979869,-0.009283207543473948,0.8841166911273164,0.08200711320577524,0.19624430884009839,0.013890851402502763,0.8273499973279198,0.0033956175045788393,0.009283207543473948,0.08200711320577524,0.013890851402502763
edges,raw,7,T7W30,250,0.1288194503808662,0.04184144988351531,0.13059953588752857,0.03946700263398124,0.1307998232159034,0.03876722591002722,0.15192762965355106,0.016428306515217754,0.1288194503808662,0.13059953588752857,0.1307998232159034,0.15192762965355106
re,raw,7,T7W30,250,-0.08182276052207177,0.1972552604893204,-0.08021000747109543,0.20718016496793376,-0.026645952239916615,0.6750169577471168,0.008327219536211048,0.8959790894861552,0.08182276052207177,0.08021000747109543,0.026645952239916615,0.008327219536211048
pe,raw,7,T7W30,250,-0.03655956980971034,0.5650525935478793,-0.03463541768112503,0.586475266594265,-0.059549748859004846,0.34840994288115645,-0.03162373874771019,0.6194517407381164,0.03655956980971034,0.03463541768112503,0.059549748859004846,0.03162373874771019
l1,raw,7,T7W30,250,-0.04436826098988981,0.48495703679166585,-0.04380984030134952,0.49135225322646536,0.0767144222089587,0.22679171020679978,0.08635945228811934,0.1743331692962103,0.04436826098988981,0.04380984030134952,0.0767144222089587,0.08635945228811934
l2,raw,7,T7W30,250,-0.03059527522741158,0.630202281236049,-0.028656513464238018,0.6527037418831361,-0.06617550460909412,0.2973070239536971,-0.039176686531804075,0.5383411836493346,0.03059527522741158,0.028656513464238018,0.06617550460909412,0.039176686531804075
l3,raw,7,T7W30,250,0.01615923622208277,0.7993131537508166,0.01829926574268303,0.773860680043762,-0.041508055397935686,0.5135677062284084,-0.01625106772518728,0.7985963921272746,0.01615923622208277,0.01829926574268303,0.041508055397935686,0.01625106772518728
lcc,raw,7,T7W30,250,0.001994245449375438,0.9749714375824884,-0.003727382046793046,0.9533333578185397,0.10449007565155123,0.09927704688074927,0.03655974031892386,0.5658377708854504,0.001994245449375438,0.003727382046793046,0.10449007565155123,0.03655974031892386
lsc,raw,7,T7W30,250,0.17365578811279633,0.005906527618510277,0.17294535120708046,0.006220116699599698,0.08918556282352014,0.15975868551224892,0.07620541695382368,0.2308416378459433,0.17365578811279633,0.17294535120708046,0.08918556282352014,0.07620541695382368
atd,raw,7,T7W30,250,0.005722709952511673,0.9282623724240118,0.011791710752637716,0.8531190381143694,-0.06890215169772451,0.27780244118644143,0.0007909831522734029,0.9900915640082331,0.005722709952511673,0.011791710752637716,0.06890215169772451,0.0007909831522734029
density,raw,7,T7W30,250,0.03847502932811629,0.5448341048231101,0.04656281603616775,0.4645051645976841,-0.0747066411694086,0.23921890444356858,-0.004822948506879891,0.9396399975797649,0.03847502932811629,0.04656281603616775,0.0747066411694086,0.004822948506879891
diameter,raw,7,T7W30,250,-0.11444662175584365,0.07085101052486567,-0.12352682291401625,0.05154971273953595,0.039245088323225874,0.536807675454401,-0.01934757616400425,0.761286467075905,0.11444662175584365,0.12352682291401625,0.039245088323225874,0.01934757616400425
asp,raw,7,T7W30,250,-0.10039514305970543,0.11332248781221317,-0.10952326751943732,0.08457359236885434,0.051276290765379394,0.41954123300869745,-0.009278538809325445,0.884174562723841,0.10039514305970543,0.10952326751943732,0.051276290765379394,0.009278538809325445
cc,raw,7,T7W30,250,0.1425977758225353,0.024139297573053015,0.14703995425296165,0.020275655298943714,-0.016076045578464832,0.8003245558754445,0.01794190376473506,0.7781608443827662,0.1425977758225353,0.14703995425296165,0.016076045578464832,0.01794190376473506
nodes,raw,7,T7W40,248,-0.01571232491312322,0.8055250382859418,-0.02351229032785082,0.7130961523060005,0.08104486142351885,0.20339402153368533,0.009256488709638187,0.8849143406359119,0.01571232491312322,0.02351229032785082,0.08104486142351885,0.009256488709638187
edges,raw,7,T7W40,248,0.13478061329310975,0.0338802867024641,0.13682184516946722,0.03159198995379493,0.13555847886654773,0.032854945378572975,0.15739607882901638,0.013264726430752636,0.13478061329310975,0.13682184516946722,0.13555847886654773,0.15739607882901638
re,raw,7,T7W40,248,-0.08119924102271728,0.20253158340880786,-0.07897157816841298,0.21617155321148018,-0.04594291394232031,0.4713803534726135,-0.002543541253998126,0.9682747574203762,0.08119924102271728,0.07897157816841298,0.04594291394232031,0.002543541253998126
pe,raw,7,T7W40,248,-0.038222710683607886,0.54909963750999,-0.035929541320114555,0.5741199622793917,-0.045147436833046284,0.4790995217006048,-0.0158693613018536,0.8040128648429619,0.038222710683607886,0.035929541320114555,0.045147436833046284,0.0158693613018536
l1,raw,7,T7W40,248,-0.04349221452882917,0.49537899607577435,-0.042992566518746174,0.5012241722342622,0.07967815911832254,0.21114517921413747,0.08768657829110449,0.16951627120589027,0.04349221452882917,0.042992566518746174,0.07967815911832254,0.08768657829110449
l2,raw,7,T7W40,248,-0.02474938409865293,0.6981314412764724,-0.022428494163913886,0.7257777476770774,-0.05544743913604097,0.3846038665402072,-0.027933477481289253,0.6622074956541242,0.02474938409865293,0.022428494163913886,0.05544743913604097,0.027933477481289253
l3,raw,7,T7W40,248,0.037118053098971884,0.5607127799537588,0.040064381007860445,0.5308435271180437,-0.05778257864192867,0.3648717460264046,-0.029704665547967316,0.6422323243167728,0.037118053098971884,0.040064381007860445,0.05778257864192867,0.029704665547967316
lcc,raw,7,T7W40,248,-0.011189760720732522,0.8608189555275165,-0.018829950085782695,0.7684057706538973,0.09660039135830775,0.1292340726935767,0.02519063037726288,0.6936134300540272,0.011189760720732522,0.018829950085782695,0.09660039135830775,0.02519063037726288
