subject,z_pe_T2W10,z_l3_T2W10
CDMS-11-7C-SPGAVE,-0.42010602895871596,-0.025155154215037237
CDMS-12-5A-SRIGO,1.1807509595419756,-0.297499881397649
CDMS-12-6A-FAROPA,-0.9652391004209432,-0.23000770204893037
CDMS-12-6A-JGIGA,-0.49701992821742186,-1.0092352514731997
CDMS-12-6A-JSOTGU,-0.23612218588513362,-0.2361360210133281
CDMS-12-6A-SROAL,-1.1421478579300182,0.4010870722581322
CDMS-12-6B-IJDAGA,0.5527042898181679,0.03800845153466908
CDMS-12-6B-SCLAG,1.4000649509002863,1.7245656100976132
CDMS-12-7C-ARAHE,2.553437777491531,-0.9808551939226304
CDMS-12-7C-CATRAR,-1.5048796664227841,1.4472458281008678
CDMS-12-7C-DLOLO,0.9047833436320728,-0.6116033806694466
CDMS-12-7C-JSZAOR,-1.0519658823550502,0.6286890997272715
CDMS-12-7C-MAROBE,-1.0120395547704302,1.067053443966014
CDMS-12-7C-VMAPA,-0.4338012426737015,-0.4507030405603614
CDMS-12-7C-VQURA,0.24656799719133804,-0.6369032797984907
CDMS-13-6B-ASUMO,-1.7589270294239674,4.7505721161418775
CDMS-13-6B-JDTAHE,0.6977793121070954,-0.6105429038896015
CDMS-13-7C-MVEAR,1.260745109927578,-1.5285381175870254
CDMS-13-7C-RAIZAC,-0.4207415635604462,1.2626472468910974
CDMS-13-7C-SSOSLO,1.0797343511833486,1.524869986124817
CDMS-14-10A-IMORTO,0.07425649594920589,0.33887721692830153
CDMS-14-10A-JCVANI,-0.40236566806742136,1.5021153606091509
CDMS-14-6B-KDCAHE,-1.499130136855087,1.3207225005398362
CDMS-15-10A-AMALOS,-0.18831177263965582,-0.12807996987528636
CDMS-15-10A-JJMACH,0.0014682136138915117,-0.1364583998671266
CDMS-15-10A-MAALCA,2.948337741178909,-0.5880112768814463
CDMS-15-10A-MAALRI,-0.7826475742216459,-0.36443946962608237
CDMS-15-10A-SGOMO,1.2850815435,-1.06007463879379
CDMS-15-10A-SHEGA,-0.11491993502956743,-0.03580326335630282
CDMS-15-11B-JEMOLO,-0.9000855540391853,0.7896091281310954
CDMS-15-11B-VSAHO,0.2980541779675458,-0.6306226516400437
CDMS-16-10A-SGALO,-0.5962592840271316,0.6430577375779777
CDMS-16-11B-NGABE,1.1407526794922744,0.34497374569476014
CDMS-17-10A-ASSAMO,-0.9874747016678963,1.0703206556192821
CDMS-18-7C-VVECA,-0.8211900363828264,0.8606823959075183
CDMS-8-4A-DBEVA,-0.5466105437349928,-2.1489234676303686
CDMS-8-4A-DJAVDA,-2.2019053990315256,-2.133188063997118
CDMS-8-4A-DOSTR,-0.6863596346350141,-0.6993487548285068
CDMS-8-4A-LGOPA,0.29952084347738295,-0.1320258032177774
CDMS-8-4C-JDBUTU,-0.24659186786254278,0.5714163481215865
CDMS-9-4A-ACDUTR,0.4449579131703592,-2.1391059167487723
CDMS-9-4A-CARGA,0.06746158389635892,-0.31605431755634383
CDMS-9-4A-CRAAG,1.317882461185441,-2.379133649635121
CDMS-9-4A-EROHI,-0.4921299875383993,-0.7092068023004182
CDMS-9-4A-ILOSE,-0.5200249432395678,0.3255506444999481
CDMS-9-4A-TGAFR,-0.8843889855708172,0.6887912624276165
CDMS-9-4C-SCAMO,-0.18945674490957443,-0.033093192787927855
CDMS-9-5A-ABERO,0.8776915597325408,-0.2142040991467742
CDMS-9-5A-VVAAR,-0.5698242574563767,-0.09978222976099893
CDMS-9-5C-JDMADE,0.04482870509112149,-0.08798266555836193
CDMS-9-5C-LVIZAC,0.24848698814667616,0.717499916050354
CDMS-9-5C-MLOGO,-1.2762005847256335,1.973758420542814
CDMS-9-5C-SCAAG,3.9452657208840307,2.342024077819795
CDMS-XX-10A-VGILO,-0.0947781648121431,-0.6948345858368887
CDMS-XX-5C-MPCAQU,0.2403502850882223,0.014677224821894264
CDMS-XX-6B-SPUCA,0.7588042046514735,-1.3032141000699422
CSO-10-4A-KCOMO,-0.28717577316899257,-0.22138818644458955
CSO-10-4A-LRAVI,0.9265112433909565,-0.8919852729257932
CSO-10-4A-LSCAVA,0.2443783566994242,0.3139006370165665
CSO-10-5A-ACAVA,-0.36029957416612074,-0.7304750055537461
CSO-10-5A-ARACA,-0.23224159872297678,1.042501095286284
CSO-10-5A-DABRZA,0.9989297036521135,0.015927469049428846
CSO-10-5A-GZAMA,-1.1673858486012774,-0.19094983876529079
CSO-10-5A-IPECA,-0.45592534299364,0.6136017777579746
CSO-10-5A-JANORO,-0.18674573314657356,0.3052319631811433
CSO-10-5A-JBUVE,0.9448468322735266,0.03722716947232987
CSO-10-5A-JJSEMO,1.3185045111570066,-0.21647378992144173
CSO-10-5A-JLCARI,2.3053185882490013,-0.5661215696047774
CSO-10-5A-MAARAN,-0.6802413773338565,0.613241825423848
CSO-10-5A-RVMOIB,0.4288610535948343,-0.5279820733379995
CSO-10-5A-SVHEES,0.09175528381417747,-1.4468653414670787
CSO-11-5A-MDVOSPE,-0.02294698909738447,1.5186776967037832
CSO-11-5A-MTAGA,-1.1413666565832903,-0.008745017671560537
CSO-11-6A-CAPAMU,0.677653509813862,0.4960848456445204
CSO-11-6A-DSCACH,-0.2867532822223864,-0.63948443569299
CSO-11-6A-EROMO,0.4445565752914421,-0.8539526782871075
CSO-11-6A-FSOVRE,1.4609020612058505,-0.3322016131363978
CSO-11-6B-ANREVA,0.47604735663443204,-1.1045094244387346
CSO-11-6B-DISEMO,-0.8853347631611663,-0.8301959128657919
CSO-11-6B-LHFDLACH,1.2318872720060854,-0.32283860760501665
CSO-11-6B-RJGIHE,-1.5415981560146876,-0.07885654586766323
CSO-11-6B-SFLVA,1.9964947060052862,-0.6168860468684183
CSO-11-6B-VCOMA,0.09690650759983391,0.5806388918727561
CSO-12-6A-DGISE,1.6193036008910249,0.08474689023164396
CSO-12-6A-FJOVRE,0.22773676069001975,-0.6969798729753914
CSO-12-6B-GQULO,0.18675060794957724,0.49203915176224444
CSO-12-6B-LJHEFE,-0.25170363581904437,0.00028233149417137204
CSO-12-6B-VPAMA,-1.1616913930486659,-1.0835924703089883
CSO-12-7A-DALRE,-1.3155196902731292,-1.7409483400741814
CSO-12-7A-ESALA,-0.3177752317819086,-0.4418808676993494
CSO-12-7A-IMERO,-0.4098791532869659,-0.3691246103721609
CSO-12-7A-JHEZA,0.4184474777091732,0.591064347515248
CSO-12-7A-LSARAR,-1.1208653461948879,-1.1059625176015666
CSO-12-7A-SCAHO,-0.4694916373903886,0.42149020893430905
CSO-12-7B-DVAGRO,0.20372680459328887,-0.03344454734467472
CSO-12-7B-SMUGU,-0.5044543906194041,-0.6749165593109282
CSO-12-7B-SSARA,0.797388945308004,-0.3314328920723027
CSO-12-7B-VHOMA,0.5452696185696055,0.9709149915540183
CSO-12-8A-YTOME,1.5363274260484572,0.34000928092532956
