subject,lsc_T2W20,atd_T2W20,density_T2W20,diameter_T2W20,asp_T2W20
CDMS-11-6B-ARAHE,9.821052631578947,2.4977893236794166,0.1537165414564795,8.773684210526316,3.757477878792039
CDMS-11-6B-AVROTO,10.984962406015038,2.288175499619551,0.1413186234789391,9.48872180451128,4.013059841452029
CDMS-11-6B-EAFESA,8.477064220183486,2.2364543982730707,0.1299172523446105,11.403669724770642,4.602871262038473
CDMS-11-6B-EFRGR,9.901960784313726,2.3758672347772696,0.1440783319505319,9.294117647058824,3.9404989735302975
CDMS-11-6B-EROCO,8.178082191780822,2.3384529294682395,0.1369397144175548,10.602739726027398,4.356632211792524
CDMS-11-6B-JACUPE,10.105263157894736,2.7477388332341897,0.1802610813678925,6.647368421052631,2.990278272638954
CDMS-11-6B-JDCHBA,9.616279069767442,2.409672613827881,0.1508470372796458,8.790697674418604,3.718743059645932
CDMS-11-6B-JFSAHE,10.947368421052632,2.1958665044965358,0.1292241305215885,10.05921052631579,4.253649588964075
CDMS-11-6B-JLPENA,7.346938775510204,2.2308652929072146,0.1363520661958458,7.887755102040816,3.4702095773374286
CDMS-11-6B-JMARME,9.060283687943262,2.265818841534374,0.1342231145480272,10.070921985815604,4.201338387835489
CDMS-11-6B-JPSAMA,8.716216216216216,2.191732909379968,0.1296931053123003,10.64864864864865,4.4088058480860335
CDMS-11-6B-LESTA,9.31404958677686,2.2326645186130127,0.1350683575423232,8.727272727272727,3.7615553359239873
CDMS-11-6B-MAGIMU,8.0,2.302904865649964,0.132363315696649,11.333333333333334,4.485511982570806
CDMS-11-6B-MEBRTA,7.917355371900826,2.3757871861299185,0.1396556007198742,10.661157024793388,4.407976548195442
CDMS-11-6B-MMAMO,10.545893719806765,2.3140634861649354,0.1411022867757735,9.454106280193235,3.958142676560364
CDMS-11-6B-RSECA,8.943661971830986,2.168206170153146,0.1251597569327478,11.67605633802817,4.7051919252808805
CDMS-11-6B-SCAPA,9.844262295081966,2.1862079257932683,0.1309068288938105,10.524590163934429,4.360124531992394
CDMS-11-6B-VZAPE,10.31060606060606,2.349340923237982,0.1404974060740314,8.893939393939394,3.847303801289869
CDMS-11-6B-YLNIME,10.702702702702704,2.1861133192015543,0.1311690892573245,9.945945945945946,4.132579112726171
CDMS-11-7C-ICARE,12.089285714285714,2.359342486994798,0.1481657085911287,7.964285714285714,3.5211827359148784
CDMS-11-7C-SALMA,11.604651162790695,2.327461837448157,0.1448025393818827,8.116279069767442,3.5818398826435764
CDMS-11-7C-SPGAVE,8.17741935483871,2.228202927159284,0.1348844091204023,9.612903225806452,4.012657515010706
CDMS-12-5A-SRIGO,9.341836734693878,2.2717511913190185,0.1349683193115302,10.408163265306122,4.265540756499245
CDMS-12-6A-FAROPA,9.820809248554914,2.3041086628811893,0.1393763792911952,9.393063583815028,3.968415300953017
