subject,nodes_T6W30,z_asp_T6W30,y_true,y_pred
CSO-9-4A-DKVIMO,1.2260172466508514,0.0,4,14.755627009646304
CSO-9-4A-DSMOMU,-1.0043369601991046,0.0,21,12.525272802796348
CSO-9-4A-DVGATO,-0.19553967193652255,0.0,9,13.33407009105893
CSO-9-4A-EGCAMO,1.1622294747714577,0.0,20,14.69183923776691
CSO-9-4A-FAGIGA,-0.21735174081552344,0.0,26,13.312258022179929
CSO-9-4A-GSBRCO,1.8622902310403475,0.0,10,15.3918999940358
CSO-9-4A-KEMOCO,1.344746766234561,0.0,14,14.874356529230013
CSO-9-4A-LCOMO,-1.0476352744614807,0.0,10,12.481974488533972
CSO-9-4A-MLORO,0.7657385210126826,0.0,10,14.295348284008135
CSO-9-4A-MPAME,1.1519154608773725,0.0,31,14.681525223872825
CSO-9-4A-NSARPA,-0.32551712293144064,0.0,11,13.204092640064012
CSO-9-4A-SLOCA,1.1895234729541926,0.0,8,14.719133235949645
CSO-9-4A-YVDITR,3.00519542901651,0.0,22,16.534805192011962
