subject,nodes_T2W30,edges_T2W30,re_T2W30,l1_T2W30,l3_T2W30,lsc_T2W30,atd_T2W30
CDMS-12-6A-JGIGA,23.991304347826087,29.0,0.7565217391304347,0.1478260869565217,0.217391304347826,18.130434782608692,2.438263706445778
CDMS-12-6A-SROAL,21.93877551020408,29.0,1.8979591836734693,0.4285714285714285,1.469387755102041,18.367346938775512,2.6617916662020717
CDMS-12-6B-IJDAGA,22.478048780487804,29.0,1.380487804878049,1.497560975609756,1.5609756097560976,17.165853658536584,2.604026159423626
CDMS-12-6B-SCLAG,18.508196721311474,28.81967213114754,2.377049180327869,1.3442622950819672,3.622950819672131,15.524590163934429,3.129808630383416
CDMS-12-7C-ARAHE,21.125,28.0,2.125,0.0,0.0,18.5,2.653030303030303
CDMS-12-7C-CATRAR,23.710526315789476,29.0,0.2105263157894736,0.0,1.605263157894737,19.63157894736842,2.451536979420274
CDMS-12-7C-DLOLO,23.27659574468085,29.0,1.0,0.0,0.2553191489361702,17.872340425531913,2.5170533516231943
CDMS-12-7C-JSZAOR,21.42105263157895,28.61842105263158,1.6973684210526316,2.289473684210526,1.736842105263158,15.75,2.6865604401753984
CDMS-12-7C-MAROBE,23.95833333333333,29.0,0.7604166666666666,0.6041666666666666,1.53125,20.02083333333333,2.4372766543373428
CDMS-12-7C-VMAPA,24.25454545454545,29.0,0.7272727272727273,0.0,0.0,21.63636363636364,2.398398827639934
CDMS-12-7C-VQURA,22.43859649122807,29.0,1.087719298245614,0.4210526315789473,0.4298245614035088,19.62280701754386,2.596650208624194
CDMS-13-6B-ASUMO,19.0,28.0,2.0,0.0,3.0,15.0,2.9473684210526314
CDMS-13-6B-JDTAHE,23.06741573033708,28.685393258426966,0.3707865168539326,1.1348314606741574,0.7303370786516854,15.382022471910112,2.493531314801466
CDMS-13-7C-MVEAR,22.689655172413797,29.0,0.9195402298850576,1.011494252873563,0.3103448275862069,17.551724137931036,2.5656277056277057
CDMS-13-7C-RAIZAC,23.97590361445783,29.0,0.7349397590361446,0.6987951807228916,2.3132530120481927,17.03614457831325,2.441299471922835
CDMS-13-7C-SSOSLO,23.12037037037037,29.0,0.9074074074074074,0.0555555555555555,1.787037037037037,16.40740740740741,2.525760991769764
CDMS-14-10A-IMORTO,24.1,29.0,0.58,0.0,1.56,19.28,2.4276964179138094
CDMS-14-10A-JCVANI,22.598086124401917,29.0,1.2822966507177034,0.5550239234449761,1.708133971291866,17.62200956937799,2.6118180227958825
CDMS-14-6B-KDCAHE,20.91304347826087,28.195652173913043,0.1956521739130435,1.5217391304347827,2.847826086956522,14.108695652173912,2.704599493520994
CDMS-15-10A-AMALOS,24.07843137254902,29.0,0.7973856209150327,0.7450980392156863,0.8104575163398693,17.797385620915033,2.416975769644141
CDMS-15-10A-JJMACH,24.20744680851064,29.0,1.1595744680851063,0.1382978723404255,0.7659574468085106,21.08510638297872,2.406707735253064
CDMS-15-10A-MAALCA,23.696969696969692,29.0,0.3535353535353535,0.3131313131313131,0.6060606060606061,19.595959595959595,2.4621499239549305
CDMS-15-10A-MAALRI,23.6625,28.85,1.025,1.26875,0.8625,16.08125,2.4714659465917963
CDMS-15-10A-SGOMO,23.18045112781955,29.0,0.7744360902255639,0.4360902255639097,0.5263157894736842,19.015037593984964,2.5157289108286167
CDMS-15-10A-SHEGA,21.375,28.835227272727277,1.9829545454545452,1.0340909090909092,1.4090909090909092,17.72159090909091,2.7155796711095124
CDMS-15-11B-JEMOLO,21.7375,28.6375,2.3375,1.45,1.9875,14.5,2.641473124510882
CDMS-15-11B-VSAHO,24.03174603174603,29.0,0.6984126984126984,1.0,0.2857142857142857,16.325396825396826,2.427455014303113
CDMS-16-10A-SGALO,25.06451612903226,29.0,0.3225806451612903,0.0,0.5161290322580645,21.35483870967742,2.3250674695415228
CDMS-16-11B-NGABE,23.83333333333333,29.0,0.6086956521739131,0.5289855072463768,1.5217391304347827,18.20289855072464,2.446503358015645
CDMS-17-10A-ASSAMO,24.25,29.0,0.8819444444444444,0.0,0.9722222222222222,19.07638888888889,2.4010116069294813
CDMS-18-7C-VVECA,23.16455696202532,29.0,1.981012658227848,0.3670886075949367,3.240506329113924,17.075949367088608,2.558330936038547
CDMS-8-4A-DJAVDA,19.923076923076923,29.0,2.3846153846153846,2.0384615384615383,0.0,17.384615384615383,2.919042945358735
CDMS-8-4A-DOSTR,20.79591836734694,29.0,2.193877551020408,1.7857142857142858,1.4387755102040816,15.479591836734691,2.8172213965776907
CDMS-8-4A-LGOPA,20.560606060606062,28.33333333333333,1.803030303030303,0.5454545454545454,1.0,16.575757575757574,2.7839103094320667
CDMS-8-4C-JDBUTU,17.210526315789473,27.05263157894737,3.473684210526316,4.947368421052632,2.3157894736842106,6.684210526315789,3.196576968737633
CDMS-9-4A-ACDUTR,19.42105263157895,28.63157894736842,2.421052631578948,3.0526315789473686,0.0,15.473684210526317,2.955251389567831
CDMS-9-4A-CARGA,21.54368932038835,29.0,1.6019417475728157,0.3106796116504854,0.9805825242718448,18.398058252427184,2.705837556697112
CDMS-9-4A-CRAAG,20.8,29.0,3.0,1.56,0.0,19.36,2.799585868492047
CDMS-9-4A-EROHI,22.5625,29.0,2.375,1.0,0.3125,20.3125,2.5731666431394693
CDMS-9-4A-ILOSE,24.119205298013245,28.807947019867548,1.0132450331125828,0.0,0.6622516556291391,18.516556291390728,2.411685719863061
CDMS-9-4A-TGAFR,22.15625,28.3125,0.3125,1.46875,1.203125,15.46875,2.5630556829945417
CDMS-9-4C-SCAMO,23.98181818181818,28.824242424242424,1.1090909090909091,0.1757575757575757,0.6606060606060606,18.933333333333334,2.415150165893249
CDMS-9-5A-ABERO,20.84530386740332,29.0,1.7458563535911602,2.325966850828729,1.3535911602209945,14.497237569060774,2.842655077146956
CDMS-9-5A-VVAAR,24.625,29.0,0.175,0.45,0.625,18.425,2.368134664852056
CDMS-9-5C-JDMADE,22.91866028708134,28.86124401913876,1.7033492822966507,1.5263157894736843,1.6076555023923444,16.564593301435405,2.540073308987598
CDMS-9-5C-LVIZAC,20.94797687861272,28.647398843930635,2.2716763005780347,1.9421965317919077,2.6416184971098264,14.54335260115607,2.7601351979302784
CDMS-9-5C-MLOGO,21.67676767676768,29.0,1.4242424242424243,1.1717171717171715,2.8383838383838382,15.858585858585858,2.687412384516608
CDMS-9-5C-SCAAG,18.0,28.0,6.0,0.4,8.0,12.0,3.111111111111111
CDMS-XX-10A-VGILO,23.933962264150946,28.87735849056604,0.9433962264150944,0.3867924528301887,0.3679245283018867,20.16981132075472,2.4197655803316183
CDMS-XX-5C-MPCAQU,22.386503067484664,29.0,1.2331288343558282,0.5337423312883436,1.0061349693251531,18.012269938650306,2.610039621247382
CDMS-XX-6B-SPUCA,23.05389221556886,28.982035928143716,1.5508982035928145,0.0419161676646706,0.1676646706586826,19.34131736526946,2.54267159853397
CSO-10-4A-KCOMO,24.402298850574716,28.666666666666668,0.6436781609195402,0.2183908045977011,0.4827586206896552,18.2183908045977,2.3565780522252284
CSO-10-4A-LRAVI,24.791666666666668,29.0,0.4583333333333333,0.0,0.0,18.541666666666668,2.348179476857013
CSO-10-4A-LSCAVA,24.47093023255814,29.0,0.7674418604651163,0.1686046511627907,1.2383720930232558,16.96511627906977,2.381323696712979
CSO-10-5A-ACAVA,22.541666666666668,28.194444444444443,0.625,1.2083333333333333,0.7777777777777778,15.88888888888889,2.520348895825949
CSO-10-5A-ARACA,21.07246376811594,29.0,2.398550724637681,0.782608695652174,2.4130434782608696,16.42753623188406,2.793600845712859
CSO-10-5A-DABRZA,20.91616766467066,28.82634730538922,2.688622754491018,1.7005988023952097,2.754491017964072,16.251497005988025,2.7867229946454994
CSO-10-5A-GZAMA,21.397058823529413,28.97058823529412,2.8823529411764706,0.1617647058823529,0.7205882352941176,18.823529411764707,2.7174067900511565
CSO-10-5A-IPECA,24.62608695652174,29.0,0.4,0.4608695652173913,0.5391304347826087,19.965217391304343,2.361224271212929
CSO-10-5A-JANORO,24.1,28.926666666666662,1.5333333333333334,0.0,1.0466666666666666,18.05333333333333,2.416917169572242
CSO-10-5A-JBUVE,24.44,29.0,0.46,1.26,0.34,17.8,2.3845411684933424
CSO-10-5A-JJSEMO,20.90625,28.15625,1.90625,1.34375,0.6875,14.625,2.711610496514673
CSO-10-5A-JLCARI,22.815217391304348,28.93478260869565,1.0978260869565215,0.5108695652173914,0.7391304347826086,17.17391304347826,2.5560327939397185
CSO-10-5A-MAARAN,22.407894736842103,29.0,1.118421052631579,0.0789473684210526,2.039473684210526,19.93421052631579,2.592377559511427
CSO-10-5A-RVMOIB,24.016393442622952,28.84153005464481,1.0218579234972678,0.2185792349726776,0.6775956284153005,17.043715846994534,2.412883234168575
CSO-10-5A-SVHEES,22.70414201183432,28.828402366863905,0.7100591715976331,1.544378698224852,0.4142011834319526,15.976331360946746,2.5541891038790285
CSO-11-5A-MDVOSPE,22.83076923076923,29.0,1.6,0.1538461538461538,2.046153846153846,18.338461538461537,2.5620530278916127
CSO-11-5A-MTAGA,23.613636363636363,28.01136363636364,0.125,0.8409090909090909,0.8409090909090909,16.295454545454547,2.383837922251954
CSO-11-6A-CAPAMU,22.45876288659794,28.850515463917525,1.0309278350515465,0.2989690721649484,1.2061855670103092,17.835051546391753,2.578671789218747
CSO-11-6A-DSCACH,24.549295774647888,29.0,0.7253521126760564,0.1830985915492957,0.1690140845070422,18.338028169014084,2.3739102481968373
CSO-11-6A-EROMO,24.25974025974026,28.81168831168831,1.1363636363636365,0.1883116883116883,0.0909090909090909,17.9025974025974,2.403882247497875
CSO-11-6A-FSOVRE,22.99242424242424,28.34090909090909,1.4242424242424243,0.4393939393939394,0.8333333333333334,13.765151515151516,2.4945930426711924
CSO-11-6B-ANREVA,23.227272727272727,29.0,0.5227272727272727,0.6590909090909091,0.0454545454545454,19.897727272727277,2.5072171636005627
