subject,pe_T2W40,lsc_T2W40,y_true,y_pred
CSO-16-10B-VVILI,0.039821880795949054,0.02888572969366781,13,5.62617684442944
CSO-16-10C-ACALGU,-0.1862304363978178,1.008137557254736,6,6.3793763547967375
CSO-16-10C-MAVAVE,-0.3845974051099106,-0.63992957137785,4,4.532942257452063
CSO-16-11A-JAVABO,-0.1754520782459068,-1.287245859452034,4,4.094771296241886
CSO-16-11A-JDMUVA,-0.1640599698814863,0.7425221792260502,4,6.135931443284384
CSO-16-11A-VZAOR,-1.033638071745776,-0.5392459942755452,1,3.984585167918502
CSO-16-11B-KRORE,-0.9291161030125973,-0.6704817358009256,3,3.9578713951262996
CSO-16-11B-LLOZA,-0.8935578293641674,-0.2977173861757549,4,4.366194018399901
CSO-16-11B-YAROMO,-0.677960313233048,0.6142388305380927,4,5.493747751244867
CSO-16-9A-JALEMO,-0.6414378035078723,-1.7479225528940037,5,3.1681088775379442
CSO-16-9A-JPROSO,-0.1253523948055615,-0.691498323876184,0,4.7406185152580775
CSO-16-9A-JSMAGU,0.7826301309034945,0.4124036375155107,9,6.752503002358827
CSO-16-9B-SJPAJI,0.06825852136207279,-0.4863758619252332,7,5.139351893376663
CSO-17-10A-YVGOCA,0.00911124248717432,1.5239922497388942,13,7.090572726165889
CSO-17-10B-EHECO,0.6183384641438033,1.5760869033207823,8,7.751894601404405
CSO-17-10B-YCQUVE,-1.2776056054146518,-0.966240804363128,4,3.3136228241620396
CSO-17-11A-DJAPA,0.3799319118732858,0.34240076070448405,7,6.279801906517593
CSO-17-11A-JDAMO,-0.5272939857654861,-1.0407954311765284,3,3.98937981699781
CSO-17-11A-NPAHE,1.4366380368831773,1.0669957238584262,6,8.06110299468142
CSO-17-11A-RLPAIG,-0.01909555116054472,0.13323482853511576,1,5.671608511314393
CSO-17-11A-SPUVA,-0.8372122069864545,-0.5769899635882646,2,4.143267063365102
CSO-17-11B-CDBEBU,1.4982698075369334,-0.12139594267287204,5,6.934343098803878
CSO-17-11C-JDAAG,0.09399882777312744,-0.6889044452277631,3,4.962563616485188
CSO-17-11C-MAPAMA,-0.45335567188205694,-0.7829154609577023,2,4.3211981011000615
CSO-17-11C-MCAAG,-0.5024092030610273,-1.1482121583446492,3,3.9068478725341476
CSO-17-11C-SARJA,-1.4683696727304194,-0.6274160377611722,3,3.461683523448231
CSO-18-11A-ADBAHO,-0.19581764834121587,-0.2103903740432779,7,5.1512612115553305
CSO-18-11B-YLLRE,0.6937163806435055,0.06281179281085,10,6.313997407394181
CSO-18-9B-MAMOLO,-1.3846102120569503,-0.7957906141916234,1,3.3770684076912447
CSO-8-3A-DAPAVA,-0.44971267860612824,-0.6719050105554212,3,4.4358515447782745
CSO-8-3A-KVPECO,1.9612862328204752,-0.03608733605294853,7,7.482668130707346
CSO-8-4A-ARAGR,-0.022054300410012863,1.2335029433405444,10,6.768917876870352
CSO-9-2A-EXMOCO,-0.412255185821839,1.3695249347582563,5,6.514738982876239
CSO-9-4A-AGAPE,-0.151132834305421,-0.8523454378003024,1,4.553990961834099
CSO-9-4A-DKVIMO,-0.17422395153628648,0.9457544013250984,3,6.328999683728632
CSO-9-4A-DSMOMU,0.507641905412378,0.2898169145666277,7,6.354928053918827
CSO-9-4A-DVGATO,-1.0612805723571348,-0.9849124650123716,4,3.511276196570314
CSO-9-4A-FAGIGA,1.9525005860791862,0.7611333777998806,9,8.271103197818878
CSO-9-4A-GSBRCO,-0.21390097529959706,-1.0299469424009176,3,4.313621316239309
CSO-9-4A-KEMOCO,-0.6722705940742482,-0.7273322040551836,2,4.157866435810389
CSO-9-4A-LCOMO,-0.10731955207684991,-0.01771911697626683,3,5.43243056488671
CSO-9-4A-MLORO,0.9963588438615193,-1.1063198851951068,3,5.447508192606234
CSO-9-4A-MPAME,0.4219221185937198,0.7727835241511383,10,6.75217487668468
CSO-9-4A-NSARPA,0.27240111211946877,-0.5462591859775431,3,5.283611160081746
CSO-9-4A-SLOCA,1.2600454617827004,-0.8200941152137076,4,5.997420580508816
