subject,edges_T6W40,re_T6W40,pe_T6W40,l1_T6W40,l2_T6W40,l3_T6W40,lcc_T6W40,lsc_T6W40,atd_T6W40,density_T6W40,diameter_T6W40,asp_T6W40
CDMS-15-11B-VSAHO,0.35594637852252964,0.15108341517694493,-0.40896352905358424,-0.2570266735252749,-0.8432664413240103,-0.7496336436678024,0.43677451896788333,0.4989884200529972,-0.3897141926615404,-0.4273317220434919,0.018642242606902146,0.14696175518304297
CDMS-16-10A-SGALO,0.35594637852252964,-0.731252480050583,-0.14914308090723521,-0.7596712239110252,-0.14068315450736119,-0.49094741341219406,1.044063814547297,0.8204921332368063,-0.9996325016519026,-0.9962441671789652,1.2932473380920932,1.3353479870999647
CDMS-16-11B-NGABE,0.06833715587400506,-1.219787565992845,-0.5915790065314801,-0.808491168342295,-0.5849945351603926,-1.0372363180305366,1.3900968446421544,0.7834707375746205,-1.327378953902927,-1.2067436803361098,1.0350565951931947,1.0220839728813804
CDMS-17-10A-ASSAMO,0.35594637852252964,-1.576888728770506,-1.3598286930087544,-1.1657291744187293,-1.4634999300315632,-0.7925888021325547,1.902774706148779,2.0456128331400745,-1.7433722884878862,-1.5467676780228772,1.0576532731592776,1.1143670525978797
CDMS-18-7C-VVECA,0.06562422179561364,0.1823163402643557,0.08680267902414343,-0.9232515640766935,0.5491507692627017,0.23593704696821113,-0.4182531673775244,0.06930854659253828,0.3419489378033226,0.4042002295154928,-0.7882310530374181,-0.8117395183661702
CDMS-8-4A-DBEVA,0.35594637852252964,1.2803965501086985,2.013305191400475,0.8157726605676467,1.399039789659418,2.0645203496998867,-2.1259833686837233,-1.291996607458318,2.317328378861219,2.3994053126873234,-1.8329256394803057,-1.8903091243752637
CDMS-8-4A-DJAVDA,-0.4082598338191318,1.1936301611889972,1.8016509922530928,4.099737555787085,1.9277108447216083,1.606725923649776,-2.6432676993875535,-2.1610537065919653,2.9119886796316345,2.656755891901261,-1.8023251760961365,-1.9861298548057473
CDMS-8-4A-DOSTR,0.35594637852252964,1.2566444772315668,0.4043744314709207,1.2092895101576517,0.5166974606197146,2.042492221755963,-1.3301822839429551,-1.171813082463629,1.4737950604701215,1.3647540473626438,-0.5338014594684024,-0.6366121811159153
CDMS-8-4A-LGOPA,0.18117958377822402,1.2402824371746328,1.8515008085439284,0.17894211426969703,1.5721810124972686,2.3154021078262903,-1.272457328689771,-1.2349631485112245,1.3265196673988888,1.11866111046688,-0.5515919623797817,-0.5718184002354766
CDMS-8-4C-JDBUTU,-0.09995276956511787,1.2212221028734762,2.849960178225105,3.040848694885801,2.6147094161354785,-0.21285290922547345,-1.7774978640241148,-1.2837912260400102,1.8834823719478198,1.46585239365439,-1.4240031522737144,-1.2852281020659098
CDMS-9-4A-ACDUTR,0.35594637852252964,-0.005221199470869894,-0.6714360767885719,0.8120440211698889,-0.5583883401633546,0.6492354699238496,-0.6878771169222402,-0.004809974326853664,0.6875996591077047,0.771844221698246,-1.1287094714122496,-1.107169722870489
CDMS-9-4A-CARGA,0.35594637852252964,0.09063483421268749,-0.8146629576418719,0.3675444898381034,-0.9681362233030177,0.09144743606994724,-0.24261983212026644,0.25844177068966123,0.27621165814988974,0.41292313316145596,-0.6179739080792483,-0.6482394382403975
CDMS-9-4A-CRAAG,-0.14143722764192412,1.803032946931454,2.9961350864511935,0.877755657496533,0.7587516478328885,2.9881612746897197,-1.540697448356446,-1.0007971824105502,1.833871900793154,1.704495058324147,-1.1877594243967515,-1.2184836235227938
CDMS-9-4A-EROHI,0.35594637852252964,0.1747720491620559,-0.45942762081247024,1.031546793677675,-0.8299107828100064,-0.6708424829722835,0.007727683000584562,0.5669820316249911,-0.055418734648329054,-0.1825167350628811,0.17028163835120347,0.1478845135028912
CDMS-9-4A-ILOSE,0.35594637852252964,0.8899752315893732,-1.179637985430768,-1.1657291744187293,-1.363992285918233,1.913607311878148,-0.48947030916371487,0.021031265565536375,0.6561805773756194,0.9414578113878737,-0.7470007941884061,-0.6229690620485996
CDMS-9-4A-TGAFR,0.35594637852252964,1.779011511114327,1.0223458486266688,-0.233391356678572,1.0268880596856766,2.890180675040019,-1.5161082793470297,-0.5465867017677579,1.5566136934756634,1.3617432267912777,-1.8614420425284777,-1.7080382647346477
