subject,z_re_T6W50,z_l1_T6W50,z_l2_T6W50,z_lsc_T6W50,z_diameter_T6W50,z_asp_T6W50,y_true,y_pred
CDMS-12-7C-JSZAOR,4.415673463111754,0.14191863597570428,-1.2152012602805002,-1.3867116447216576,8.13378544836014,-10.715236662092082,10,13.767840129908576
CDMS-12-7C-MAROBE,0.17151889302204182,1.1001788607731475,-1.2499184748049703,0.2810245250524708,1.9194020707509296,-3.2612844143541277,9,13.35453360999471
CDMS-12-7C-VMAPA,0.10590282928865861,1.8094817065470532,0.43492421921294305,-0.9757281232261422,5.486995259665679,-7.422809303752627,12,13.832378737290782
CDMS-12-7C-VQURA,-2.127015761800609,1.0548897450379366,-0.1898436230700121,1.0227390088330581,-2.4723961603411664,2.765971828963061,13,14.447957187177485
CDMS-13-6B-ASUMO,2.5984088540928045,-0.15417797789150378,-0.8426482607194931,0.04513986605985259,-1.7071843767397734,-0.7487745382158075,5,13.584375716141297
CDMS-13-6B-JDTAHE,-0.3399205401852565,-0.5490828100019453,0.08707739843059657,-0.15245793310377823,-1.7049592717944826,1.8690503602023019,21,13.603319353102654
CDMS-13-7C-MVEAR,1.380434909753073,-3.2718357072973405,2.019894439791231,-0.63349447569764,1.8148683321237835,-2.5803652915713893,27,13.123114356656934
CDMS-13-7C-RAIZAC,-0.451109375127083,0.15774266222189115,-2.511595497289327,-1.15649278305501,4.986222737476973,-3.561614330573417,5,11.856765563209244
CDMS-13-7C-SSOSLO,0.25022203959173506,-0.7924509025377303,1.2960676800133994,0.651526679951393,-1.8225675059466717,2.0850693591101908,23,16.061479499737533
CDMS-14-10A-IMORTO,-2.3588523152701515,1.0817006634333624,-0.8182512651052458,-0.56503958490896,-1.01313746603782,3.45190244577283,11,14.171934627439231
CDMS-14-10A-JCVANI,2.086220962381846,0.19554222799250096,-1.015155226621901,0.4629322876132302,0.2195266489231148,-1.2071218963465953,22,15.135557153497414
CDMS-14-5A-LSDUCO,-1.0828553992340217,0.9341767439843573,-0.7767345537756339,0.7904549366538399,-2.7446993563017874,6.653553928042244,10,18.167508448924217
CDMS-14-6B-KDCAHE,-0.48991913606635357,-1.2269792983780408,-1.2512437689983718,1.7914674101527923,-3.2495961411618293,7.265753516273905,22,17.233094731377317
CDMS-15-10A-AMALOS,1.004786775972523,-2.071594773350486,-1.420912487679911,-0.1111646858362914,1.4629824285241635,-0.018288287281602058,16,13.239421119903614
CDMS-15-10A-JJMACH,1.2618531948981293,-0.15988670839507585,0.6377196098362673,-0.8143343095113157,3.7987511583802536,-4.639949814364106,6,14.477765280399371
CDMS-15-10A-MAALCA,1.2007567327253974,-0.24825068187739951,-0.5795399352707795,-0.6515402470951459,3.5080571830415015,-2.9982509475652206,13,14.62484425351357
CDMS-15-10A-MAALRI,0.04248328361654886,0.1530169820368648,-1.806216865418276,0.3519108084519682,-1.5703731239923968,1.572928130413405,12,13.137361364663333
CDMS-15-10A-SGOMO,-0.6832663311979308,0.4267090402379382,1.133546935996552,-1.0568727267593128,5.037371753341313,-4.873785703365983,12,14.377315117807795
CDMS-15-10A-SHEGA,3.5106440622797894,0.974120370551266,-0.06473551554663004,-0.9668621120358413,3.7923774968544843,-5.526049894165141,13,16.113106557493147
CDMS-15-11B-JEMOLO,-1.832593461152511,-0.5402567499459826,-0.416654394171418,0.696481040025566,-1.2958281398946048,3.593365166209977,19,14.598125610626244
CDMS-15-11B-VSAHO,-2.3961772868692846,-0.04283174989244671,0.9066108883145039,-0.0781709360901488,1.1000533574901914,1.5128345083114156,12,15.39593093081945
CDMS-16-10A-SGALO,-0.30569725274937326,0.4495960446719133,-0.6112760186607191,0.09272445054408306,-2.350282617211019,3.7975688514427106,20,15.466245607592812
CDMS-16-11B-NGABE,0.7645982726665733,0.4849894416458244,-0.47355016027009234,-0.6993760746796394,2.666685640586841,-3.903122507906617,28,13.23383676159811
CDMS-17-10A-ASSAMO,0.7259571198668341,0.9012392090014372,0.8308259044750825,-1.3670520177394883,5.858414814535051,-7.507831166216364,11,13.83516601347777
CDMS-18-7C-VVECA,-0.9748536008446756,1.0935167505706718,0.0749492528832301,0.1904421149582607,0.866079121436615,-1.4607680428701708,5,14.182977745689149
CDMS-8-4A-DBEVA,1.504281982285033,-0.14726691247198495,1.26127745238231,0.18485149491423028,2.8605160022074316,-3.34183127529944,21,16.715440893572797
CDMS-8-4A-DJAVDA,1.5610032513213061,-3.515098137100031,0.07958282181036468,1.077540539469177,-2.6879567543908265,2.3724243704386856,5,13.281108241103894
CDMS-8-4A-DOSTR,-1.0328198256039216,-0.9297458139747737,0.2121905951127359,0.7294977129036044,-2.044765387008133,2.929339945932891,17,14.25730937691762
CDMS-8-4A-LGOPA,-0.3340552626742424,0.31693169571865354,-0.40816374947304507,1.1044898845583042,-6.911004549176419,9.515932072314321,12,17.677742240822788
CDMS-8-4C-JDBUTU,-0.6627869304837192,-3.067022991662588,-1.3058806539261427,0.7490128297976739,-0.8255761999355646,3.822773739793344,7,13.10413194313822
CDMS-9-4A-ACDUTR,1.6491919532048616,-0.6599913329547782,1.8064231252132843,-0.4009977811880758,2.1114292093168285,-3.8426006848886964,5,15.057066638258641
CDMS-9-4A-CARGA,0.06690809873843988,-0.14101904823743777,1.7938306635373182,-0.3860970705569898,2.2119194317844997,-3.3648552361061643,8,14.574298988714883
CDMS-9-4A-CRAAG,-0.39314472062338435,-0.36987150658442525,0.8367377184800074,0.05437359417398395,-0.6319517943436855,1.5627819895181716,32,15.452537430175886
CDMS-9-4A-EROHI,-1.4346322822680377,-1.8524482888883007,1.4092931404450837,-0.08380321913885809,-3.3344954305065566,4.821234873929714,5,13.91876094312826
CDMS-9-4A-ILOSE,-1.8219640359732536,1.8945378406144437,2.2977683302631307,-0.6611317994417965,1.0423280703060855,-0.8936883287732182,7,16.251462226550608
CDMS-9-4A-TGAFR,-1.1656296595872162,1.6532304002369993,0.7065287260541778,-0.391286144788165,3.2107510912719173,-2.8708747152316265,6,15.536331847511304
CDMS-9-4C-SCAMO,0.6004516084927392,-0.27541396498540055,0.595692781433641,-0.8406562631492447,3.5179778081512,-4.816437502292318,10,13.175226617205835
CDMS-9-5A-ABERO,-2.0571053415707676,-1.2891634092898827,-0.39971455700702835,0.7974854125751653,-3.422952230180866,5.505003385781441,22,13.52716540986328
CDMS-9-5A-PAGACO,0.7161743422250357,-0.42110446717642624,-0.44257433848898436,-0.17602809843176456,-0.7989222952084825,3.219066249427891,17,16.490223541902488
CDMS-9-5A-VVAAR,0.7085845762284606,0.7144347597284404,-0.341654718432352,-0.3831417007999209,1.3896740983852187,-1.3907190459457743,5,15.09079011871929
CDMS-9-5C-JDMADE,-1.86903918032132,-5.328883966995251,-1.1950573698081741,2.893894087284356,-12.457052865947649,19.219729474749155,15,15.657202328516334
CDMS-9-5C-LVIZAC,-0.9065470461957724,-0.19395443320455982,0.3449993300121384,0.8050800983765973,-5.298157256194949,4.277004284883798,6,13.422037127232471
CDMS-9-5C-MLOGO,-0.16903543736127205,-0.6864144484481057,1.9499291684359334,0.3636914766771961,-3.772663171172713,3.1362244047310983,5,15.215344142417356
CDMS-9-5C-SCAAG,0.3252559763972587,-0.028957045846167134,0.39580120113438316,-0.17605421665738005,-1.2815285699635763,-0.506035975752651,21,13.122093518867086
CDMS-XX-10A-VGILO,0.3327846279587603,-3.3219894126161322,1.6746691544395773,0.2784712192941966,1.4712205259947173,0.18046721301714302,17,15.009235477643479
CDMS-XX-5C-MJSARU,2.4059061008155695,0.5476938366693709,-1.767408197781519,-0.344031492068278,3.0960584400466544,-3.3589760311276757,9,14.97285480610934
CDMS-XX-5C-MPCAQU,-0.14412832212291704,1.6141133873620304,1.3761589766075797,0.08393191243273818,1.0150230352249612,-1.727582578848794,24,16.611128560210815
CDMS-XX-6A-MAGICA,0.4159530772462023,0.7605549968069342,0.47370237904260354,-0.4036594195789259,1.1329244081969614,-2.2158326353198308,6,14.557254955949162
CDMS-XX-6B-SPUCA,1.7626643605906043,1.3470450882240939,-1.9640089520837065,-0.9577141135638684,1.4108550013913732,-2.2181757829890585,2,13.774277751124655
CSO-10-4A-ICAPA,0.08402472029512224,1.4204097869258332,0.3790212169081892,0.20157085214645828,-1.2156853804589256,0.30915556427407836,15,15.572108909645975
CSO-10-4A-KCOMO,-0.020627147337587737,0.43543014919711104,-0.439929228002454,1.3843312086844552,-2.1498821159023427,2.30772752863902,8,15.910662544833421
CSO-10-4A-LRAVI,1.6803034746487437,2.8342671208210932,0.5477918356098727,-0.3916373008873453,2.154374115317532,-5.093650530954801,16,16.125060864110313
CSO-10-4A-LSCAVA,-3.0569670886554814,0.6706714686261528,-3.195006686637575,2.023451955773852,-6.817994722145167,10.043720943634463,22,14.061488020151458
CSO-10-5A-ACAVA,1.7731834398647142,-2.397626765723592,0.7182016349838755,-0.20776116264797606,0.30640950288522806,0.726473972422341,9,15.312492771339809
CSO-10-5A-ARACA,-3.4547848649686,-2.2008264947235783,1.8277259928796028,1.5907361615172075,-2.6711105006525107,5.4630693496700875,5,14.948421793277427
CSO-10-5A-DABRZA,-2.2444025968432118,0.3103839914175674,0.34916979645913176,0.8062311010449397,-7.38149003637305,8.76799864526435,10,15.001503050524946
CSO-10-5A-GZAMA,-0.06513136775515471,0.915035974188453,0.16974861751150738,-0.9565866055493191,3.0316020217067394,-2.7157340662980607,20,14.772546723359383
CSO-10-5A-IPECA,0.4353912031626209,0.9859044210195664,1.0325333501118779,0.12149056533206214,3.5211733634870455,-3.1654250209385384,27,17.32468003172985
CSO-10-5A-JANORO,0.5421958390999246,0.6777506038777963,-1.2560987241466446,-1.069547926555573,3.175353877855713,-3.035491106666221,15,13.427774713020213
CSO-10-5A-JBUVE,-1.1435487607911352,-1.3896265016561686,0.030966480433224492,0.5014192792005059,-0.40943775525469167,2.365276904507556,9,14.34866179599451
CSO-10-5A-JJSEMO,-0.2204240970740667,1.5230608638344658,1.6848995322931777,-0.7114983995081634,3.566811866886225,-4.3187427617721035,23,15.917719154214753
CSO-10-5A-JLCARI,0.026796744463623522,-0.183211679890764,0.4578645031862826,-0.5478214718297933,-0.1463839616818353,1.212641528621107,24,15.213497812423839
CSO-10-5A-MAARAN,-1.3489013228351714,1.2774227845178476,1.9706500499276516,-0.4577198185011482,1.2820899095920963,-1.6888768148113331,7,15.42827693744516
CSO-10-5A-MAOSMO,-1.3279688788342574,0.5871869423718539,-0.06921629969632029,-0.46515860607180565,0.3384113964083035,-1.3490219326493378,12,12.107844771083654
CSO-10-5A-RVMOIB,1.3408121346153212,0.02207822415239576,0.5027702860248563,-0.39622044094067754,3.3733411568139915,-5.948852643609841,15,13.287540866611264
CSO-10-5A-SVHEES,1.7648585828799268,-1.507018009242511,0.9696051666697411,-0.3234187226011744,1.5018796860217636,-2.8835682667457783,10,13.915950586537186
CSO-11-5A-MDVOSPE,-1.7688607405993027,0.6595556063319835,0.9064430163128337,-0.9403894390659627,3.1009364875904843,-3.5749108204899995,8,12.776386259635254
CSO-11-5A-MTAGA,-0.738516103774771,-1.8622464484656973,-0.1991519036945934,-0.16946770809005332,-2.2795859301435653,3.2751468018262035,12,12.41979085721274
CSO-11-6A-CAPAMU,-0.0252009870356813,-1.042921700143761,1.3129866271142137,-0.207507503307176,-0.2683308935348351,-0.6230803604117935,6,13.539557332236186
CSO-11-6A-DSCACH,1.0344547214194948,0.5212691184164453,1.7791907131507363,-0.995466618174514,7.430138092997596,-9.05304158462145,2,15.110156592743524
CSO-11-6A-EROMO,-0.03699764641036697,1.7160214718908149,-4.459208391759599,0.9899509089544638,0.8596950998358648,2.3466032557849896,14,15.809676847851385
CSO-11-6A-FSOVRE,-0.7228817509602159,0.43189564629364685,0.009356194708526566,-0.2354473548296807,1.445249804143444,-0.14256077563940736,15,15.179223913271532
CSO-11-6B-ANREVA,0.6713268302453976,0.9304370174308378,0.7037392059561258,-0.5911863694591799,3.450949601093272,-4.612685145550635,18,14.946193289271037
CSO-11-6B-DISEMO,-2.0056761308202082,0.24914842938101706,-1.2996644094888496,-0.4529373551288061,-2.137953453614037,1.1708652058487963,2,9.91739443573313
CSO-11-6B-LHFDLACH,-3.8828744876470696,-1.0234573512525342,-1.8952908989162198,3.0722507543448736,-10.415369882553941,14.442192186530981,21,14.691062470061304
CSO-11-6B-RJGIHE,2.3273822061707055,-0.41981714077686944,0.9542709301490665,-0.5250023643683315,2.61142226104141,-4.338298763659907,7,15.003569278111293
CSO-11-6B-SFLVA,0.8936247435077835,-2.686539078479241,-0.4987400554884124,-0.20559505155358118,-2.5231981618675743,5.618627559877749,22,14.99179210555194
CSO-11-6B-VCOMA,-0.2107602073790806,0.48135447570288753,-0.6807193972913524,0.8159371431967736,-2.777792536496829,2.7071413182217037,28,14.72877294550932
CSO-12-6A-DGISE,-0.5701818933185663,-4.780304521666013,-1.3101755931282575,2.406312579217573,-8.06444061016216,13.408801903754766,7,15.483624014252559
CSO-12-6A-FJOVRE,1.2377194232091435,-0.6596931101015783,-0.0969844587962029,-0.08729969804346388,3.3157991790908046,-5.063235480910049,8,13.039918004003873
CSO-12-6B-GQULO,2.322573306705387,-1.8941594956110948,-0.5226719204023897,0.38635185925963406,-1.2364500967245413,-0.2531528594376631,7,13.196102943344549
CSO-12-6B-LJHEFE,0.5101008910665832,-0.2356480428032529,-1.1295881594260977,-0.1711111808629346,-0.8882287930894904,1.6193092574417394,2,14.098446121881764
CSO-12-6B-VPAMA,-1.006819374797719,-0.22205767851955083,3.0639386430568796,1.2938817210579248,5.0224620092231325,-6.179499298088373,23,16.365518171487512
CSO-12-7A-DALRE,-2.99320432367978,-0.5023068345082793,1.3677144686328913,0.9881499182321506,-6.09742377569766,10.324108768637409,23,17.480650371171947
CSO-12-7A-ESALA,1.433945489706519,1.9523818454751491,1.9485647499027863,-0.7411963616742243,7.417067901753839,-10.495462834307205,17,15.908912940412083
CSO-12-7A-IMERO,-0.4502829990209917,-0.19335969097955683,-0.8506094793843307,0.29851800402867645,-5.06975974288824,5.759090425696722,18,13.887208667007497
CSO-12-7A-JHEZA,-1.4095501253049336,-2.0847108144766455,-1.194751756074282,0.9276170232082372,-6.079216267212343,11.13637154803205,23,15.6893717577273
CSO-12-7A-LSARAR,-1.6007157740019462,1.8198191499632472,-0.3665600950976507,0.983747285535287,1.8461559118434812,-1.3210055037378339,20,15.755053124059803
CSO-12-7A-SCAHO,-1.3130878327367785,1.122040235018552,0.5493857430586337,0.21466849090745813,-0.3189232778891892,0.12678462023381692,6,14.774480128147712
CSO-12-7B-DVAGRO,-0.059854477719399925,-2.0667709535760808,-1.284765667989135,2.2634708315920036,-8.441750350247109,11.550258548094803,21,16.354200079710296
CSO-12-7B-SMUGU,1.9251711265471643,-0.14025414970839234,1.4830206292218728,0.41372969992166836,-1.4690872506861974,-1.2418486924937637,12,15.36434351235757
CSO-12-7B-SSARA,0.13100823393666047,-2.025962551681143,-0.025799910534225864,-0.18048646479862868,0.38340392996741685,-0.7014590563795303,7,11.974316330065768
CSO-12-7B-VHOMA,1.2023459316122758,-1.5556467732949764,-0.023919625339595074,-0.3251753303103826,1.907826296095832,-2.6928534794185266,22,12.906189168899845
CSO-12-8A-YTOME,0.4372823286662859,0.9168475405408395,0.008478457729309214,-1.4796056329182243,4.996526225721545,-5.302270511121955,29,13.970870558173019
CSO-13-6A-ANASA,0.04691350008875448,0.5672804982146992,-0.8979285321653697,-0.7346149926133869,2.3707000294192815,-3.3971925892334807,11,12.348770063265714
CSO-13-6B-JETAVE,-1.5863344878168064,1.4342771128766252,1.9513376117030472,-0.2192122818069269,1.3279469260076164,-1.7672765425659156,23,15.534350487952858
CSO-13-6B-LFMIES,0.4570061192936843,-0.8045879662847644,0.7801188471317295,2.4568673195493047,-4.978726087446095,2.4447152387527407,23,14.749005620551818
CSO-13-6B-LJMAHU,-1.1685871579033584,0.887615647189202,-1.0024658111788562,-0.3231918355600233,0.1596189487503054,-0.5260453152768209,24,12.420556625575665
CSO-13-7A-CAPAMU,0.6956179995025885,-1.4052963629009283,-2.5120595068007825,0.1034248640566382,-2.9509142860318236,6.431979308626393,15,14.756364166007302
CSO-13-7A-CDDITR,-1.348475255676948,0.400089888578172,0.034840808542369976,-0.18387863190285672,1.0034027106085421,-1.932439522297357,11,12.36715214740714
CSO-13-7A-JJATFL,1.9561053458381021,1.2904445234948905,0.24722172961071598,-0.8122131527411789,6.13099457593712,-9.053238633606773,18,14.152926538088094
CSO-13-7A-KRAMA,0.6774649614369953,0.4176772607984444,0.8485284026635037,-0.6195677526940921,3.0751446167865493,-7.143663209040868,17,11.64919642950575
CSO-13-7A-RXCHLU,2.3564008981942766,1.3895075351440844,0.5819169622416679,-0.7700153629956759,4.620380409517821,-7.403195659647102,5,15.16860693201029
CSO-13-7A-YAMEZA,1.0260066008118114,-0.5862047315352448,-0.9674298218411903,-1.12948858994209,1.3796913642912958,-2.7877078253398704,7,11.328479145999928
CSO-13-7A-YBOSO,-0.24706204059271916,-0.3389252336667721,1.7703125118143932,2.622243231986577,2.5096543893903704,-4.025900724801302,14,16.683934283685765
CSO-13-8A-KIGAGU,-0.04323515050112052,-3.143033188238054,0.333859490706509,-1.1083532260534716,1.4269541997073207,-0.40795198126968046,9,11.45185229390672
CSO-13-8A-MBUAN,-3.3572620785413627,-0.9435723842672887,-0.6615844811729544,0.6022756139919401,-4.148362269776297,6.704420033979803,8,12.589526583769057
CSO-13-8A-MGAAN,1.1258561801416835,-0.30799735698511693,-2.594589321052042,-0.9034761811552451,4.211699023596529,-3.9072610183376324,25,12.017843475763392
CSO-13-8A-MGAHE,-1.1164605355051067,-0.06157451855703786,1.7515541585106544,0.3232220288802609,0.6725351283359422,-2.0687267028295206,24,13.89416170839041
CSO-13-8A-MJAGA,-1.9634490519526835,-4.008515432060377,0.4254786374861187,0.9895141442614404,-6.44373997406321,10.813965542449264,5,14.206866015675768
CSO-13-8A-VHODU,2.9025267547924387,-0.23549951890825147,0.5355242898746438,-0.8538139346801882,5.084358505407099,-8.104036260858082,17,13.722671985182878
CSO-13-8B-FCJISA,1.1387492629586764,0.7509644315705584,-0.3234926492628772,-0.774486864052139,1.018224710220158,-1.05293909919536,11,15.150631941794234
CSO-13-8B-JEMABE,-3.0169557672730947,0.8813555071580976,1.7953349241091852,0.6201216530452272,-0.22574123856915054,0.19753760050896946,9,14.64526482853445
CSO-13-9B-DMLLLU,-1.4874127179550267,0.6522974951389533,1.5458441993515104,0.22045979146018974,-1.3146962859208782,1.7324847799860459,26,15.742589411616013
CSO-14-7A-MVEBE,5.250482385920255,0.3127948284135121,1.2603989393697197,-1.102665135042962,8.050692746305904,-13.182634066877691,25,14.982681847643954
CSO-14-7B-EALHU,-1.7391769373203987,1.3040217097251572,0.5088008934323899,-0.6808800250075582,0.9978216278670945,0.8339334821590073,8,15.618132900410911
CSO-14-7B-EVEGO,-0.6110024882477862,0.6626410838693614,-0.5613516678277055,-0.4749637400272155,2.8778981858091486,-2.860903912076199,4,13.425929611054821
