subject,pe_T2W10,l2_T2W10,l3_T2W10,diameter_T2W10
CSO-11-6B-DISEMO,0.0,0.0,0.0,6.363636363636363
CSO-11-6B-LHFDLACH,0.3536585365853658,0.2682926829268293,0.1829268292682926,7.103658536585366
CSO-11-6B-RJGIHE,0.0289855072463768,0.0289855072463768,0.2028985507246377,6.710144927536232
CSO-11-6B-SFLVA,0.4461538461538462,0.3384615384615385,0.1076923076923077,7.3076923076923075
CSO-11-6B-VCOMA,0.2135416666666666,0.1354166666666666,0.21875,7.1875
CSO-12-6A-DGISE,0.35,0.35,0.175,6.85
CSO-12-6A-FJOVRE,0.3522012578616352,0.2641509433962264,0.1761006289308176,6.566037735849057
CSO-12-6B-GQULO,0.1893491124260355,0.1893491124260355,0.2189349112426035,7.3076923076923075
CSO-12-6B-LJHEFE,0.2831050228310502,0.1917808219178082,0.1917808219178082,6.616438356164384
CSO-12-6B-VPAMA,0.0,0.0,0.0,8.055555555555555
CSO-12-7A-DALRE,0.1481481481481481,0.1481481481481481,0.1296296296296296,4.685185185185185
CSO-12-7A-ESALA,0.0384615384615384,0.0384615384615384,0.0288461538461538,7.826923076923077
CSO-12-7A-IMERO,0.1677419354838709,0.1677419354838709,0.2193548387096774,6.367741935483871
CSO-12-7A-JHEZA,0.2654028436018957,0.2322274881516587,0.4834123222748815,7.156398104265403
CSO-12-7A-LSARAR,0.0,0.0,0.0,7.428571428571429
CSO-12-7A-SCAHO,0.0851063829787234,0.0851063829787234,0.1861702127659574,7.00531914893617
CSO-12-7B-DVAGRO,0.5,0.25,0.3161764705882353,6.882352941176471
CSO-12-7B-SMUGU,0.1584158415841584,0.0891089108910891,0.1386138613861386,6.415841584158416
CSO-12-7B-SSARA,0.3004694835680751,0.2018779342723004,0.1220657276995305,7.272300469483568
CSO-12-7B-VHOMA,0.256,0.256,0.28,7.168
CSO-12-8A-YTOME,0.4516129032258064,0.3951612903225806,0.2661290322580645,6.903225806451613
CSO-13-6A-ANASA,0.0824742268041237,0.0463917525773195,0.1443298969072164,7.371134020618556
CSO-13-6B-JETAVE,0.3218390804597701,0.2413793103448276,0.1494252873563218,7.2011494252873565
CSO-13-6B-LFMIES,0.1212121212121212,0.1212121212121212,0.106060606060606,6.984848484848484
CSO-13-6B-LJMAHU,0.3934426229508196,0.3934426229508196,0.0,6.672131147540983
CSO-13-7A-CAPAMU,0.2666666666666666,0.22,0.26,6.466666666666667
CSO-13-7A-CDDITR,0.1904761904761904,0.1904761904761904,0.2738095238095238,6.488095238095238
CSO-13-7A-JJATFL,0.0961538461538461,0.0961538461538461,0.5,7.173076923076923
CSO-13-7A-KRAMA,0.2857142857142857,0.2857142857142857,0.25,6.678571428571429
CSO-13-7A-RXCHLU,0.256,0.256,0.056,6.576
CSO-13-7A-YAMEZA,0.1377410468319559,0.1377410468319559,0.2121212121212121,7.115702479338843
CSO-13-8A-KIGAGU,0.2882882882882883,0.2252252252252252,0.2522522522522522,7.333333333333333
CSO-13-8A-MBUAN,0.0,0.0,0.2258064516129032,6.419354838709677
CSO-13-8A-MGAAN,0.0606060606060606,0.0606060606060606,0.125,7.6856060606060606
CSO-13-8A-MGAHE,0.3413461538461538,0.2788461538461538,0.1201923076923077,7.0
CSO-13-8A-MJAGA,0.4137931034482758,0.293103448275862,0.3275862068965517,6.459770114942529
CSO-13-8A-VHODU,0.2038216560509554,0.1592356687898089,0.1656050955414012,7.6050955414012735
CSO-13-8B-FCJISA,0.0869565217391304,0.0869565217391304,0.0760869565217391,7.695652173913044
CSO-13-8B-JEMABE,0.4426229508196721,0.360655737704918,0.4590163934426229,5.557377049180328
CSO-13-9B-DMLLLU,0.135593220338983,0.135593220338983,0.1186440677966101,6.745762711864407
CSO-14-7A-MVEBE,0.0,0.0,0.0,8.416666666666666
CSO-14-7B-EALHU,0.3333333333333333,0.3333333333333333,0.0,4.333333333333333
CSO-14-7B-EVEGO,0.135593220338983,0.1186440677966101,0.1186440677966101,7.293785310734464
CSO-14-8A-AQUMA,0.1138211382113821,0.1138211382113821,0.1951219512195122,6.357723577235772
CSO-14-8A-MCIDOS,0.8421052631578947,0.8421052631578947,0.0,6.368421052631579
CSO-14-8A-SZARA,0.3932584269662921,0.3932584269662921,0.3595505617977528,6.0
CSO-14-8B-JLLORA,0.0,0.0,0.1505376344086021,6.32258064516129
CSO-14-9A-AEDCAGO,0.1411764705882353,0.1411764705882353,0.0411764705882352,6.8352941176470585
CSO-14-9A-HASACA,0.0601503759398496,0.0601503759398496,0.0526315789473684,6.984962406015038
CSO-14-9A-JSMAAL,0.0792079207920792,0.0792079207920792,0.0891089108910891,7.346534653465347
CSO-14-9A-MARJA,0.0,0.0,0.1810344827586207,7.603448275862069
CSO-14-9A-SORZU,0.1415929203539823,0.079646017699115,0.2920353982300885,5.911504424778761
CSO-14-9B-ERAGA,0.0,0.0,0.3027522935779816,6.972477064220183
CSO-14-9B-MFEGA,0.4057971014492754,0.3043478260869565,0.0869565217391304,7.036231884057971
CSO-15-10A-LJRAGU,0.3350785340314136,0.2984293193717277,0.1727748691099476,7.031413612565445
CSO-15-10A-MAARLO,0.1860465116279069,0.1860465116279069,0.3255813953488372,6.465116279069767
CSO-15-10A-SFEGA,0.0,0.0,0.0,7.875
CSO-15-10B-MEBUAR,0.1333333333333333,0.1333333333333333,0.6666666666666666,7.2
CSO-15-10B-YVBUAN,0.1111111111111111,0.1111111111111111,0.0972222222222222,7.097222222222222
CSO-15-10C-ALBAHO,0.0,0.0,0.0,9.0
CSO-15-10C-SSCAMO,0.0,0.0,0.5344129554655871,6.939271255060729
CSO-15-11C-JETALO,0.3820754716981132,0.2216981132075471,0.4716981132075472,6.320754716981132
CSO-15-7B-JCRAGA,0.0,0.0,0.0,6.977272727272728
CSO-15-8A-VBMABR,0.146788990825688,0.0825688073394495,0.0642201834862385,6.743119266055046
CSO-15-8B-KEPOGO,0.1344086021505376,0.1344086021505376,0.1505376344086021,7.306451612903226
CSO-15-9B-ALRIHE,0.0470588235294117,0.0470588235294117,0.0823529411764705,7.605882352941176
CSO-15-9B-AMSAGO,0.1311475409836065,0.1311475409836065,0.0,7.737704918032787
CSO-15-9B-JCAPA,0.1666666666666666,0.1666666666666666,0.2638888888888889,7.006944444444445
CSO-15-9B-KSBEJA,0.042016806722689,0.042016806722689,0.2100840336134453,6.823529411764706
CSO-15-9B-RMCHLU,0.2068965517241379,0.146551724137931,0.1034482758620689,7.413793103448276
CSO-16-10A-JEGAHE,0.0,0.0,1.0909090909090908,4.636363636363637
CSO-16-10A-MSACO,0.0,0.0,0.7647058823529411,6.147058823529412
CSO-16-10A-SMOUT,0.0,0.0,0.0,5.142857142857143
CSO-16-10A-YKMUJO,0.4,0.4,0.0,6.825
CSO-16-10B-JESUGU,0.0,0.0,0.1627906976744186,6.662790697674419
CSO-16-10B-LTVIFA,0.2352941176470588,0.2352941176470588,0.3088235294117647,7.25
CSO-16-10B-VVILI,0.1438848920863309,0.1438848920863309,0.0,7.640287769784172
CSO-16-10C-ACALGU,0.1269841269841269,0.1269841269841269,0.2645502645502645,6.809523809523809
CSO-16-10C-MAVAVE,0.0808823529411764,0.0808823529411764,0.1323529411764706,7.654411764705882
CSO-16-11A-JAVABO,0.188235294117647,0.188235294117647,0.1647058823529411,6.941176470588236
CSO-16-11A-JDMUVA,0.1927710843373494,0.1506024096385542,0.0,7.734939759036145
CSO-16-11A-VZAOR,0.1126760563380281,0.1126760563380281,0.2887323943661972,7.570422535211268
CSO-16-11B-KRORE,0.0808823529411764,0.0588235294117647,0.3088235294117647,7.404411764705882
CSO-16-11B-LLOZA,0.3390804597701149,0.2356321839080459,0.2528735632183908,7.224137931034483
CSO-16-11B-YAROMO,0.2645914396887159,0.1361867704280155,0.1517509727626459,7.428015564202335
CSO-16-9A-JALEMO,0.1428571428571428,0.1428571428571428,0.1244239631336405,7.626728110599078
CSO-16-9A-JPROSO,0.2154471544715447,0.1382113821138211,0.1869918699186991,7.288617886178862
CSO-16-9A-JSMAGU,0.1666666666666666,0.1180555555555555,0.1111111111111111,7.013888888888889
CSO-16-9B-SJPAJI,0.1818181818181818,0.1818181818181818,0.1136363636363636,6.0227272727272725
CSO-17-10A-YVGOCA,0.0,0.0,0.0,7.846153846153846
CSO-17-10B-EHECO,0.0,0.0,0.2079207920792079,7.495049504950495
CSO-17-10B-YCQUVE,0.3128491620111732,0.2346368715083799,0.0782122905027933,7.189944134078212
CSO-17-11A-DJAPA,0.296875,0.234375,0.109375,6.078125
CSO-17-11A-JDAMO,0.0,0.0,0.1111111111111111,6.4603174603174605
CSO-17-11A-NPAHE,0.5161290322580645,0.3806451612903225,0.1354838709677419,6.716129032258064
CSO-17-11A-RLPAIG,0.2142857142857142,0.1517857142857142,0.375,6.669642857142857
CSO-17-11A-SPUVA,0.0952380952380952,0.0952380952380952,0.3095238095238095,6.904761904761905
CSO-17-11B-CDBEBU,0.5494505494505495,0.4395604395604395,0.2307692307692307,6.2967032967032965
CSO-17-11C-JDAAG,0.2666666666666666,0.22,0.1,7.54
CSO-17-11C-MAPAMA,0.1736526946107784,0.1616766467065868,0.1257485029940119,7.467065868263473
CSO-17-11C-MCAAG,0.1834862385321101,0.1834862385321101,0.1422018348623853,7.596330275229357
CSO-17-11C-SARJA,0.0757575757575757,0.0757575757575757,0.106060606060606,7.325757575757576
CSO-18-11A-ADBAHO,0.0666666666666666,0.0666666666666666,0.175,7.541666666666667
CSO-18-11B-YLLRE,0.1904761904761904,0.1626984126984127,0.2976190476190476,7.547619047619047
CSO-18-9B-MAMOLO,0.3593314763231198,0.2506963788300835,0.4707520891364902,6.615598885793872
CSO-8-3A-AIPRBR,0.0,0.0,0.0,5.25
