subject,re_T6W50,pe_T6W50,l3_T6W50,y_true,y_pred
CSO-13-7A-YAMEZA,0.19384510585951784,0.05118509078893462,0.09700485084722253,7,8.461082666543295
CSO-13-7A-YBOSO,-0.29875115999879254,0.1046602789056645,-0.3459370240147308,10,7.57901971393976
CSO-13-8A-KIGAGU,0.06558083236052024,0.07623681377494221,0.030776277609876022,7,8.29164154279296
CSO-13-8A-MBUAN,0.07877942452229358,0.07328374080353767,0.20019987401626893,7,8.47131065838972
CSO-13-8A-MGAAN,0.191935537679969,0.06288068822948722,0.29018969182743154,10,8.664053536784508
CSO-13-8A-MGAHE,0.14655405799602297,-0.08970476032730597,0.02182626991536068,9,8.1977231866317
CSO-13-8A-MJAGA,-0.5986033185670778,0.009347090614209477,-0.03722623220924002,6,7.492565158885507
CSO-13-8A-VHODU,0.2034323829143809,0.05407738335385714,0.010820561774511444,8,8.387377947090371
CSO-13-8B-FCJISA,0.18781497498967384,0.0380396504161965,0.009049464983097232,3,8.353951709436586
CSO-13-8B-JEMABE,-0.6544395702964221,0.09531037421502563,-0.12440675090150301,5,7.435511672064715
CSO-13-9B-DMLLLU,-0.1969389149263644,0.07764505235621548,-0.32427663729159706,7,7.675477119185873
CSO-14-7A-MVEBE,0.014747508706749854,0.04812167033107107,0.004166248775274329,10,8.186083046860716
CSO-14-7B-EALHU,-0.2847278600375392,0.03740628429815283,-0.5035204147177142,5,7.3682056285905135
CSO-14-7B-EVEGO,0.1611525423464564,0.05625958517225954,0.014943417175864948,8,8.351403163742201
CSO-14-8A-AQUMA,0.17180789822383027,-0.13415468307487483,0.009017175635917408,8,8.165718009832492
CSO-14-8A-MCIDOS,-0.21360390524489337,0.07513185760131344,-0.42722880012479686,6,7.553346771279241
CSO-14-8A-SZARA,0.18470156175721333,0.0684752057834094,0.003728997849877934,11,8.375953384438121
CSO-14-8B-JLLORA,0.3566437317971238,0.08075593448081986,-0.17182515237553175,11,8.384622132950028
CSO-14-9A-AEDCAGO,0.17350922117165044,0.05766454863353071,0.026363546899373834,4,8.376584935752176
CSO-14-9A-HASACA,0.16581792347138566,0.07493591424622179,0.29672445292249455,11,8.656525909687721
CSO-14-9A-JSMAAL,0.15612302764881528,0.07624076416810346,0.1857210088479706,9,8.537132419712506
CSO-14-9A-MARJA,0.15480767710397278,0.05250084541436232,0.008821893341348155,8,8.335178034907303
CSO-14-9A-SORZU,0.051717083001537725,-0.12595895498698295,0.01691995836527159,10,8.061725705427445
CSO-14-9B-ERAGA,0.09235312258165637,-0.008338173591622852,-0.03938691699025796,6,8.163675651047393
CSO-14-9B-MFEGA,-0.11458257991760702,0.01487446701439206,-0.460196361576419,9,7.559143144567982
CSO-15-10A-LJRAGU,-0.052407003463617596,-0.009764045343130533,-0.019703653942065056,7,8.037172916298807
CSO-15-10A-MAARLO,0.0517464770354069,0.059142202234865555,0.014856707708537274,10,8.24479300602643
CSO-15-10A-SFEGA,-0.3950829254004585,-0.016795470609459254,-0.49174830999311886,9,7.215420913044578
CSO-15-10B-MEBUAR,0.2155003273253984,0.032398435958669605,0.011558201791103763,8,8.37850458412279
CSO-15-10B-YVBUAN,0.1589131210926029,0.059514543022350215,0.007397624009931005,9,8.344872907172503
CSO-15-10C-ALBAHO,0.031277500931830834,-0.11739966007888408,0.11554309595866023,7,8.148468555859226
CSO-15-10C-SSCAMO,0.041965636382679264,-0.10971362772946192,0.16434369192600817,9,8.215643319626844
CSO-15-11C-JETALO,0.03861096050493183,-0.27400707388589385,0.03732969824966976,8,7.920981203916328
