subject,re_T6W50,pe_T6W50,l3_T6W50
CSO-13-7A-KRAMA,0.37327569243581804,0.14628744881441977,-0.5871075428430295
CSO-13-7A-RXCHLU,-1.1708612452029226,-0.7327883496396707,-0.8257631754701654
CSO-13-7A-YAMEZA,-1.0521615663519952,-0.4535862661299123,-0.6886649292784397
CSO-13-7A-YBOSO,1.2149913535510481,0.140711019870182,1.1871314792838836
CSO-13-8A-KIGAGU,0.11502792360787964,0.09860020341055631,-0.087005923529802
CSO-13-8A-MBUAN,-0.09553265304886994,0.1940276417826875,-0.8609037076327141
CSO-13-8A-MGAAN,-0.9730649556042332,0.5378059000342869,-0.9981153870058469
CSO-13-8A-MGAHE,-0.2815495902035668,-1.4369051179388364,0.032751025566562314
CSO-13-8A-MJAGA,2.289346886816509,0.626497218391943,0.1747286585313817
CSO-13-8A-VHODU,-1.2370381727790234,-0.5509641173435316,-0.21194729952367974
CSO-13-8B-FCJISA,-0.6155636066696946,0.5588807679759576,-0.39767273998603103
CSO-13-8B-JEMABE,2.535030540464546,-0.34487091027742706,0.439726722241169
CSO-13-9B-DMLLLU,0.9860936516785478,-0.6493349876215709,0.9234239654395837
CSO-14-7A-MVEBE,-1.687222781953209,-0.9260864708529967,-0.01704397602295434
CSO-14-7B-EALHU,1.1533000718139823,0.4372976637091464,2.141290742818813
CSO-14-7B-EVEGO,-0.5694648191000254,-0.3882454624685776,-0.17528439215550187
CSO-14-8A-AQUMA,-0.40483620413455096,1.0548361788012306,-0.08642711421929075
CSO-14-8A-MCIDOS,0.9489298007027404,0.17224925824213208,1.5358849156590126
CSO-14-8A-SZARA,-0.6412903250295537,-0.026377896773098014,-0.059104473947949425
CSO-14-8B-JLLORA,-0.5669118581894188,-0.9358175998295624,1.5386207551023623
CSO-14-9A-AEDCAGO,-0.7675205664036618,-0.5240253399696686,-0.5798939492298457
CSO-14-9A-HASACA,-0.7875311697898602,0.06688242985978303,-1.094823188264321
CSO-14-9A-JSMAAL,-0.6129058329956716,0.0683185089384292,-0.9111798835384238
CSO-14-9A-MARJA,-0.25524624161093273,-0.9624583251358593,0.11504446982693135
CSO-14-9A-SORZU,0.27102368729334936,1.0580663648295794,0.08993867663389092
CSO-14-9B-ERAGA,0.11601001084473407,0.7509176210451469,0.3231106192855925
CSO-14-9B-MFEGA,0.5895139916650491,0.5552096243823057,2.106001041611043
CSO-15-10A-LJRAGU,0.5085964311562772,-1.388385109667005,0.23887993432492408
CSO-15-10A-MAARLO,0.19432103092895803,-0.2821700978796669,0.11446939079555522
CSO-15-10A-SFEGA,1.5226579734232397,0.7403360509424766,2.39529658967323
CSO-15-10B-MEBUAR,-1.160075734810847,0.5972596639759641,-0.25130106247851297
CSO-15-10B-YVBUAN,-0.34155186986162833,-0.39182912520172397,0.11269550683943523
CSO-15-10C-ALBAHO,0.27218209177571956,1.2286112401779106,-0.6302798379935795
CSO-15-10C-SSCAMO,0.2738610086317723,1.391995617504895,-0.6989145940493099
CSO-15-11C-JETALO,0.3802449876343525,3.1186927861257896,0.004581534072047323
CSO-15-7B-JCRAGA,-1.0478674660754252,-0.5242077189109741,0.1332221199265355
CSO-15-8A-VBMABR,1.5975692523654887,0.3435176492157586,-0.35242014493314844
CSO-15-8B-KEPOGO,-0.9498537367885104,-1.5105855684173155,-0.6987156016012307
CSO-15-9B-ALRIHE,-0.9377251868776862,-0.5682327483065984,-1.0392329754497374
CSO-15-9B-AMSAGO,-0.9967528440622445,-1.3116061954786127,-0.37322555472617064
CSO-15-9B-JCAPA,-0.7220260613894379,-1.3217582923163107,-0.30306981388688226
CSO-15-9B-KSBEJA,1.0602540951375363,0.026450838102023515,-0.8790989691229933
CSO-15-9B-RMCHLU,0.18177467329342745,1.3786059876892383,0.46313397659963035
CSO-15-9B-SJAGRO,-2.2106201449809575,-0.22008325798187575,-1.3716007963071828
CSO-16-10A-JEGAHE,0.33774704088843277,-0.14687497100346886,-0.4916697290260687
CSO-16-10A-MSACO,-1.2175153789728357,-0.9966351238051906,-0.5514213787524839
CSO-16-10A-SARI,2.0152216217426653,-0.13096347914906262,-0.9491896894242818
CSO-16-10A-SMOUT,-0.5167348013028635,0.011202775511863229,-0.7258956439571155
CSO-16-10A-YKMUJO,-0.03876688664840356,-0.6459544219114393,0.009628099639127254
CSO-16-10B-JESUGU,-1.7543453946318783,-1.2448234970660468,-0.5931756639238871
CSO-16-10B-LTVIFA,-1.6976529220287526,-1.2213909713072517,-0.5107425729331614
CSO-16-10B-VVILI,-0.9667969222996943,0.18405656381280203,-0.6189569783539085
CSO-16-10C-ACALGU,-0.16656898055895386,-0.38275541486942105,-0.07343457627329694
CSO-16-10C-MAVAVE,-1.1251138224318502,-0.46029347235880863,-0.4916000106046495
CSO-16-11A-JAVABO,-0.8701702021473655,-0.6528150218955525,-0.7207838101657239
CSO-16-11A-JDMUVA,-1.100653366439603,-0.9862769932293751,-1.0295515399084112
CSO-16-11A-VZAOR,-1.5414338098771838,-0.2830765089342358,-1.065613455315305
CSO-16-11B-KRORE,0.26848983597633985,-0.890902533426166,-0.8879892585162669
CSO-16-11B-LLOZA,-1.3731929155659668,-0.8399520565463569,-0.9403825192231324
CSO-16-11B-YAROMO,-1.1974031933536387,1.7488126150874979,-1.030251716929085
CSO-16-9A-JALEMO,-1.368394487661139,-0.01901919220219248,-1.0736744065702228
CSO-16-9A-JPROSO,-0.8461641128509331,-0.7053172676813166,-0.8674451806824548
CSO-16-9A-JSMAGU,-0.3153525931934928,-0.4726046106849555,0.3214115453829527
CSO-16-9B-SJPAJI,-0.19297472491468418,-1.2608881838797878,-0.21666233620238345
CSO-17-10A-YVGOCA,-0.42880986351750383,0.7182363483770092,0.3092867931546454
CSO-17-10B-EHECO,-0.2174054104083966,-0.7878407379487048,-1.3702816668010878
CSO-17-10B-YCQUVE,0.03701947889334847,0.9732626686464982,-0.04064335175126591
CSO-17-11A-DJAPA,-0.45717426865918187,-0.2635027933245083,-0.742451442512981
CSO-17-11A-JDAMO,0.48988532958980663,-1.078825504377298,0.2620396812639376
CSO-17-11A-NPAHE,-1.0164145641535,-0.7592323767914649,-0.6838836118049807
CSO-17-11A-RLPAIG,-0.3564392400549998,0.9529290902250145,-0.3372397821740678
CSO-17-11A-SPUVA,1.3938971740858808,-0.33355431905795985,1.6532209585769262
CSO-17-11B-CDBEBU,-1.2838874422606468,0.013375866872014386,-0.8388822228841795
CSO-17-11C-JDAAG,-1.9296744733786746,-0.9008279413265944,-0.4982716492097269
CSO-17-11C-MAPAMA,-0.5811899315894888,-0.41732013134942686,-0.3776300507514772
CSO-17-11C-MCAAG,-0.06560222689639038,0.16442615065546054,-0.3927833164765742
CSO-17-11C-SARJA,-0.5796996727551657,-0.09607475401185461,-0.010636040161568511
CSO-18-11A-ADBAHO,-1.2318328586955938,-0.8467508040711388,-0.9200043155912582
CSO-18-11B-YLLRE,-0.5214207801440562,-0.5081730720180906,-0.8273852421660322
CSO-18-9B-MAMOLO,0.9055326229327665,1.9723428882113745,0.862139109366471
CSO-8-3A-AIPRBR,0.3447725577343921,-0.9983870463892807,0.5226086224607495
