subject,z_re_T2W20,z_pe_T2W20,z_l2_T2W20,z_l3_T2W20
CDMS-12-7C-VMAPA,-0.7815897993178483,-0.8584214096194157,-0.8454971286859956,-0.9814902441234655
CDMS-12-7C-VQURA,-0.015032437005397055,-0.07933921798206393,0.12077639427371052,-0.7448995303642205
CDMS-13-6B-ASUMO,0.9044482970232489,-1.3295201925956024,-1.468856618711652,3.7932372437091146
CDMS-13-6B-JDTAHE,-1.1966049397549192,0.5890761245571023,0.5973079882955785,-0.23218518118237358
CDMS-13-7C-MVEAR,0.10579054900967177,1.6273211478556504,1.315090138443073,-1.0536973916800731
CDMS-13-7C-RAIZAC,-0.546573126478623,-0.324138125329261,-0.5622670754428247,1.6354458822288203
CDMS-13-7C-SSOSLO,0.5079872340599084,1.6719220043506327,1.407823838851925,1.772733485941747
CDMS-14-10A-IMORTO,-0.5467547824958325,-0.2417748923621212,-0.020719742015127832,0.1688635998899134
CDMS-14-10A-JCVANI,0.47630953683794797,-0.2797385384324373,-0.5674361267285434,1.3381249809635307
CDMS-14-6B-KDCAHE,-1.4967025956196844,-1.1523684238434404,-1.213737581437369,0.8068042778414628
CDMS-15-10A-AMALOS,-0.2042042725056398,0.07251318958175215,0.013014277180444704,0.1496920402895811
CDMS-15-10A-JJMACH,0.822755125923228,-0.11974650207382073,0.12104440398355731,0.055620193474030806
CDMS-15-10A-MAALCA,-0.8787660276420391,2.616781303274744,3.239800075627185,-0.5741550491938677
CDMS-15-10A-MAALRI,-0.24311788708819468,-0.44549079179185624,-0.2897741516978502,-0.3989733958654512
CDMS-15-10A-SGOMO,0.07149414989512357,1.4956642891991037,1.0476893197028811,-0.8757012977136635
CDMS-15-10A-SHEGA,1.1222907351137077,0.19825191231634734,-0.435403517260639,-0.1734373961070795
CDMS-15-11B-JEMOLO,2.374479921622831,-1.1358039467092518,-1.3946210164825057,1.2252698842635763
CDMS-15-11B-VSAHO,-0.608649710368988,0.24274354738974455,0.5952339323150286,-0.5203274111145884
CDMS-16-10A-SGALO,-1.390833741291645,-0.7871651052840064,-0.7553415794004498,0.28387726080699666
CDMS-16-11B-NGABE,-0.8377154336992853,0.9745501260249825,1.5593620650721542,0.31428534456647195
CDMS-17-10A-ASSAMO,0.4771387296444184,-1.0236924867030204,-1.0644347504507337,0.7841519606256555
CDMS-18-7C-VVECA,1.4216429038016476,-0.7262925051331771,-0.6987926974220815,0.867127071752604
CDMS-8-4A-DJAVDA,0.26006207885076643,-1.8802031200571472,-2.2170708427797683,-1.9480513864845965
CDMS-8-4A-DOSTR,0.6650524568931572,-0.6222778671829781,-0.5112146328860093,-0.19816345880420916
CDMS-8-4A-LGOPA,-0.23171339115094847,-0.014269654746845864,0.286993226959928,-0.4611842964197064
CDMS-8-4C-JDBUTU,0.8463623827437823,-0.028650070547931148,-0.8634840946788863,-0.48868980751477137
CDMS-9-4A-ACDUTR,-0.3082425931034044,0.11354053542327286,0.5810334468419297,-1.9492623002399752
CDMS-9-4A-CARGA,0.6192599812138607,-0.2700625012540983,-0.054756776286233676,-0.3768480032790452
CDMS-9-4A-CRAAG,2.2999816602398435,1.8567814835784366,-0.18552117158701392,-1.8038978629375055
CDMS-9-4A-EROHI,1.6731401555037042,-0.4294931265690314,-0.2621578025613102,-0.7983717027496352
CDMS-9-4A-ILOSE,0.10476618486270863,-0.7054799443906454,-0.6545062165108699,-0.03153181747858257
CDMS-9-4A-TGAFR,-1.63053115706451,-0.5422281614104576,-0.3781295328271486,0.267498680497402
CDMS-9-4C-SCAMO,0.3516833543853262,-0.40340445782257545,-0.2532098519171139,-0.12491959902435465
CDMS-9-5A-ABERO,0.47746582869180015,0.7936787226180236,0.9613747548096007,-0.3528059317944685
CDMS-9-5A-VVAAR,-1.3698121063615063,-0.7004081186743863,-0.7761533448165147,0.18896167631146904
CDMS-9-5C-JDMADE,1.5371098043852565,0.43876254769038886,-0.05495878145517468,0.370194369169374
CDMS-9-5C-LVIZAC,1.408313714511178,0.45494548561689185,0.06300473676090375,1.0475845688471292
CDMS-9-5C-MLOGO,0.7002391735132123,-0.6381778400569188,-0.8466168032833974,1.8707270227279762
CDMS-9-5C-SCAAG,2.6295563732207268,6.647588489239572,2.18991622864023,3.2194973965691136
CDMS-XX-10A-VGILO,-0.4445034152509867,-0.41198271341286585,-0.25539224235667235,-0.694932109427442
