subject,edges_T2W40,re_T2W40,lsc_T2W40,z_re_T2W40,z_pe_T2W40
CDMS-17-10A-ASSAMO,0.5113117808036988,-0.37065336334133975,1.1006430901437658,0.03884762479502971,-1.0307682156779565
CDMS-18-7C-VVECA,0.5113117808036988,0.8850214841728874,0.4600346612131234,1.5180407582702002,-0.8314227829389463
CDMS-8-4A-DJAVDA,0.5113117808036988,1.091327383607061,-0.4940807787075012,-0.22279479662274732,-1.935373313551264
CDMS-8-4A-DOSTR,0.5113117808036988,1.23011498868096,-1.1522488457439841,0.8910764328053914,-0.7115287952669461
CDMS-8-4A-LGOPA,-1.1973514170551123,1.267210293262923,-1.1622336963184958,0.43857233664450346,-0.7751395779609165
CDMS-8-4C-JDBUTU,-3.5603962651577183,2.2349571472805128,-4.421301250814744,-0.06316867701974076,-0.2552745684659554
CDMS-9-4A-ACDUTR,-1.0721302370701873,1.7096535237750037,-0.8144280679730467,-0.23961275628065476,-0.29449710192976536
CDMS-9-4A-CARGA,0.5113117808036988,0.38227339986323394,0.1629182138292194,-0.02824546400665816,-0.7370972910110616
CDMS-9-4A-CRAAG,0.5113117808036988,2.532629200600301,-0.26770202762651524,1.3529196984246503,2.3313926121633575
CDMS-9-4A-EROHI,0.5113117808036988,0.7465968806815707,0.5523870328932806,0.6980653850699674,-0.26575448371135824
CDMS-9-4A-ILOSE,-0.051796778744163295,-0.2704803478078186,0.535423015683947,0.27610163404889954,-0.6994205953831931
CDMS-9-4A-TGAFR,-1.3360372400491467,-1.1649246381856975,-0.4284293589320931,-2.012228709385659,-0.20230976134219522
CDMS-9-4C-SCAMO,-0.0009353604623975872,-0.14303022364227477,0.5082962231879153,0.5701961326290272,-0.40399575133604304
CDMS-9-5A-ABERO,0.5113117808036988,0.48855299545079445,-1.4938390830235602,0.028780433372342394,0.9659247091314241
CDMS-9-5A-VVAAR,0.5113117808036988,-1.2758220698146383,1.224404457485891,-1.3995119954039286,-0.7987817962418712
CDMS-9-5C-JDMADE,0.1225557362144246,0.4060734262483519,-0.029711358053560337,0.6810070592687565,0.017540119570847543
CDMS-9-5C-LVIZAC,-0.3754712598811528,0.9883010019264368,-1.0995306043500717,0.8101789461021127,0.7955280985488855
