subject,l2_T2W20,l3_T2W20,lsc_T2W20,z_re_T2W20,z_pe_T2W20,z_l2_T2W20,y_true,y_pred
CSO-10-5A-MAARAN,-0.17778933662187707,-0.05326285537916597,0.04222372373003907,-0.1565472021484422,-0.11122639463483212,-0.10024493204793916,4,5.080283804585556
CSO-10-5A-RVMOIB,-0.15398297610532719,-0.10167882227192293,-0.018478818898915526,-0.15623723065502404,-0.07592030311576975,-0.06608730326492314,4,5.06474534737589
CSO-10-5A-SVHEES,0.18659805428013732,0.007660542178871646,0.009560195657499403,-0.016665456488640987,-0.08671265471180344,-0.1003550385959772,7,5.637216444007863
CSO-11-5A-MDVOSPE,-0.049200372926117626,-0.044634384149342676,0.07294724405792827,-0.16523065187350758,-0.08404601576241481,-0.14143383603295703,3,5.22553278500136
CSO-11-5A-MTAGA,-0.0005104696390915137,-0.06101881299801214,-0.14273082207910398,0.06711119319717541,-0.04599921867423045,-0.05450592337569751,5,5.3994767481188095
CSO-11-6A-CAPAMU,0.06371976495815573,0.0015570507643498984,0.060706290370209484,-0.1875393850683061,-0.10147709693751328,-0.06699107051005437,1,5.40710635526461
CSO-11-6A-DSCACH,-0.3227050579145807,-0.07133821537852005,-0.050908747599618186,-0.1791936963887745,-0.1658401139724322,-0.19984143032131624,0,4.6473035401125316
CSO-11-6A-EROMO,-0.045995850061619395,0.19661568086460512,0.09214132739431277,-0.17535242076105972,-0.05312977089179732,-0.04040717806789764,7,5.611002590164314
CSO-11-6A-FSOVRE,0.14073907851807382,-0.08776322565611586,-0.14353310796730623,-0.06376385868066695,0.19473112985377788,0.1650336951628506,5,5.842574512918382
CSO-11-6B-ANREVA,-0.06811737534182286,0.15241185262746393,0.0225224742395939,-0.03580997929277524,-0.08935930434361838,-0.10137371162479704,5,5.517404757951816
CSO-11-6B-DISEMO,-0.027660698998009457,0.10833800252025412,-0.6922478987638478,-0.11311668406239031,-0.08007493722512422,-0.10350517170037826,0,4.728863413458276
CSO-11-6B-LHFDLACH,0.08200055977643862,-0.02794720442620218,-0.08881684717703951,0.2929748113665949,0.28408499741332505,0.23314886510274133,7,6.4125759837436265
CSO-11-6B-RJGIHE,0.04200814536880613,-0.07300645955096835,0.09699391699557562,0.08635148788825277,-0.05933006034560034,-0.05019775972432873,3,5.679950072319507
CSO-11-6B-SFLVA,0.1441435873517565,0.008870655982701845,-0.022323643199737977,-0.10397932657161763,0.39809084728226396,0.3262547182014664,8,6.388187640734598
CSO-11-6B-VCOMA,-0.0005189636503730088,-0.00621681786178961,0.1021007323748223,0.4499711321525558,0.042641920195836194,0.031060894981409213,14,6.256169699880232
CSO-12-6A-DGISE,0.12979568018656773,-0.12389595087221594,-0.18323232365530556,-0.09508939800012618,0.0918213520213654,0.21562477517880363,2,5.672154936546858
CSO-12-6A-FJOVRE,0.020309020839715107,-0.06946918981034081,-0.14562923518563523,-0.21107156120506174,-0.1613162433727678,-0.2450777693840912,1,4.824875823569587
CSO-12-6B-GQULO,-0.11231288518180099,-0.07067389372716827,0.07778433895032602,0.0190841613567834,-0.1024182933671495,-0.08483507390800527,4,5.363759155810758
CSO-12-6B-LJHEFE,-0.14092413903533604,-0.09837260240748519,-0.16117398844080136,-0.0914056575767589,-0.1289941900569331,-0.20714948323475013,2,4.809110740935709
CSO-12-6B-VPAMA,0.08024640556515412,0.23065057576114478,-0.041562924917142745,0.17935304019405368,0.023262960396362276,0.03065879551559639,9,6.139739654202941
CSO-12-7A-DALRE,-0.050950382520442344,-0.1012215979043519,0.0910640863663335,0.5939887196891948,-0.047508078474835534,-0.04113654830106034,8,6.08136700054261
CSO-12-7A-ESALA,0.05169255965305208,0.12619979931683928,0.17450546677767476,0.0965520033878114,-0.04163201699776332,-0.03294282260054284,7,6.011505791224844
CSO-12-7A-IMERO,0.029996825714335765,0.11999692686326717,0.07265287335826545,-0.07775923576833604,-0.005636871042790966,-0.07482610595648548,9,5.701555214856027
CSO-12-7A-JHEZA,0.04955771790171675,0.010778430417905306,0.10866327616420174,-0.1666543693824407,-0.07418672232438832,-0.06677136480737002,9,5.498517769657398
CSO-12-7A-LSARAR,0.06312211796002785,0.18649611314069553,-0.07113341401462564,-0.07136567559057706,-0.014362434447903659,-0.018312407254221483,6,5.711575101481166
CSO-12-7A-SCAHO,-0.24547173745456918,-0.0754971483138782,-0.002681953085922842,-0.1017738867330304,-0.11034638455949232,-0.12296345490673168,1,4.978396236634149
CSO-12-7B-DVAGRO,0.18842292514521986,0.09301899106674687,0.093808996235058,0.10059502199333321,0.17472106760666034,-0.15531026709845341,8,6.132387536636331
CSO-12-7B-SMUGU,-0.19022760079302414,-0.02568461657844473,0.01291641630484989,-0.11326363771453506,-0.07421896338648883,-0.011462942344225503,4,5.235189457175901
CSO-12-7B-SSARA,-0.12826171731366426,-0.07996328282477047,0.059989808568485334,-0.18950295685513802,0.11914472218809385,0.004799470914274857,2,5.423336846365048
CSO-12-7B-VHOMA,0.2250318374234812,0.03141046453506978,0.13760063160928282,0.11087408905940664,0.1365995697257587,0.2708576800639539,8,6.549505074104725
CSO-12-8A-YTOME,0.39177198806877905,0.13240174156522744,0.14909760024794896,0.07843738264768646,0.41433413491911253,0.47064081054516105,13,7.273814459681693
CSO-13-6A-ANASA,-0.13374975238214715,-0.07854060235208353,-0.015808079894705056,-0.015570347681416675,-0.10845009005536653,-0.10214854813291105,3,5.182863381189147
CSO-13-6B-JETAVE,0.12917389315503755,-0.036289979631319455,0.0802184840201875,-0.18373706732147244,0.19195871741927867,0.13057263888838114,9,5.949027488217858
CSO-13-6B-LFMIES,-0.08735911523812848,0.08065076452186999,-0.10819774783745241,0.13607182356764214,-0.06432875574414253,0.1625221328557585,8,5.756489903813317
