subject,lcc_T6W40,z_density_T6W40
CSO-11-6A-EROMO,28.299107142857142,-1.6813644982105311
CSO-11-6A-FSOVRE,26.590336134453786,-1.1549515015152203
CSO-11-6B-ANREVA,28.13623978201635,-0.5249998071960159
CSO-11-6B-DISEMO,29.8135593220339,-1.288429689188959
CSO-11-6B-LHFDLACH,29.05450236966825,-2.5506749646020714
CSO-11-6B-RJGIHE,28.0,-0.4495583224414466
CSO-11-6B-SFLVA,26.21333333333333,-1.7075961588636477
CSO-11-6B-VCOMA,29.21160409556314,-0.8716148687085028
CSO-12-6A-DGISE,27.893129770992367,-2.2083908234039247
CSO-12-6A-FJOVRE,27.51818181818182,-0.9559248392066972
CSO-12-6B-GQULO,27.48867313915857,-1.0641969409433616
CSO-12-6B-LJHEFE,29.951612903225808,-1.05504488146675
CSO-12-6B-VPAMA,25.497041420118343,-1.2664451361238929
CSO-12-7A-DALRE,25.767307692307693,-1.692402613113458
CSO-12-7A-ESALA,27.2311320754717,0.1110093333067775
CSO-12-7A-IMERO,28.533870967741937,-1.2594808630660266
CSO-12-7A-JHEZA,29.957894736842107,-1.826269835985849
CSO-12-7A-LSARAR,27.16033755274261,-1.0358075387562358
CSO-12-7A-SCAHO,27.903896103896106,-0.914430186697038
CSO-12-7B-DVAGRO,30.06508875739645,-1.3707066136938315
CSO-12-7B-SMUGU,28.58450704225352,-0.1245341456251656
CSO-12-7B-SSARA,30.37254901960784,-1.2008351839381295
CSO-12-7B-VHOMA,31.015544041450777,-0.7513137670105301
CSO-12-8A-YTOME,29.27986348122867,-0.5119730982153967
CSO-13-6A-ANASA,30.542244640605297,-0.6567050271214736
CSO-13-6B-JETAVE,27.06477732793522,-0.6521481105710156
CSO-13-6B-LFMIES,28.934545454545454,-0.7596817513257315
CSO-13-6B-LJMAHU,27.783236994219653,-1.3743445197373512
CSO-13-7A-CAPAMU,28.938983050847455,-1.6975093380341937
CSO-13-7A-CDDITR,30.13888888888889,-0.6933263861730536
CSO-13-7A-JJATFL,27.747252747252748,-0.4902469020840648
CSO-13-7A-KRAMA,26.941908713692943,-0.5828162001566726
CSO-13-7A-RXCHLU,28.69758064516129,0.1516187560635094
CSO-13-7A-YAMEZA,29.77466666666667,-0.886281294883802
CSO-13-7A-YBOSO,26.471502590673577,-1.57852560787582
CSO-13-8A-KIGAGU,28.346303501945524,-1.581545489710814
CSO-13-8A-MBUAN,29.991423670668954,-1.6662238925916788
CSO-13-8A-MGAAN,30.28,-1.3504768588578533
CSO-13-8A-MGAHE,29.029182879377437,-0.6702149156788415
CSO-13-8A-MJAGA,25.92156862745098,-1.9976722990642493
CSO-13-8A-VHODU,28.40909090909091,-0.2901229433386895
CSO-13-8B-FCJISA,30.27952755905512,-0.5262768400168892
CSO-13-8B-JEMABE,26.00271002710027,-1.1642335695031194
CSO-13-9B-DMLLLU,26.83259911894273,-0.793813090927379
CSO-14-7A-MVEBE,27.6875,0.5376258646340367
CSO-14-7B-EALHU,27.87987012987013,-1.133486327778995
CSO-14-7B-EVEGO,30.24277456647399,-0.832103398494734
CSO-14-8A-AQUMA,27.17241379310345,-0.4589717657811044
CSO-14-8A-MCIDOS,26.792048929663608,-1.248925295066085
CSO-14-8A-SZARA,28.66763848396501,-1.4998301146287842
CSO-14-8B-JLLORA,27.79513888888889,-0.0739341388165135
CSO-14-9A-AEDCAGO,29.89640591966173,-1.0481950383372916
CSO-14-9A-HASACA,29.73191489361702,-0.8428888619558133
CSO-14-9A-JSMAAL,29.214,-1.27607843001835
CSO-14-9A-MARJA,29.31451612903226,-0.4308884539491031
CSO-14-9A-SORZU,28.15576323987539,-1.4573415463888983
CSO-14-9B-ERAGA,26.53887399463807,-1.042855717099301
CSO-14-9B-MFEGA,27.38636363636364,-1.535034515957249
CSO-15-10A-LJRAGU,28.597722960151803,-0.355030891757109
CSO-15-10A-MAARLO,27.946859903381643,-0.827035546927044
CSO-15-10A-SFEGA,26.63636363636364,-1.2379171299064735
CSO-15-10B-MEBUAR,28.979228486646885,-0.4221849891314183
CSO-15-10B-YVBUAN,28.916666666666668,-0.389913429071548
CSO-15-10C-ALBAHO,28.808743169398905,-1.8287126428122344
CSO-15-10C-SSCAMO,29.326446280991732,-1.898553346138155
CSO-15-11C-JETALO,27.784037558685448,-2.164360244812719
CSO-15-7B-JCRAGA,28.814814814814813,-0.6955929855187648
CSO-15-8A-VBMABR,27.753535353535355,-1.2879550417815937
CSO-15-8B-KEPOGO,30.6012084592145,-0.1389842136082547
CSO-15-9B-ALRIHE,29.80597014925373,-0.8661612536738964
CSO-15-9B-AMSAGO,29.964401294498384,-0.120881393443404
CSO-15-9B-JCAPA,29.017456359102244,-0.3547956852684809
CSO-15-9B-KSBEJA,26.29154518950437,-1.3929573867274965
CSO-15-9B-RMCHLU,27.968847352024923,-0.9912718596893078
CSO-15-9B-SJAGRO,31.392241379310345,-0.0397904676895275
CSO-16-10A-JEGAHE,28.24910394265233,-0.9587349060408764
CSO-16-10A-MSACO,30.185393258426966,-0.2608054860302018
CSO-16-10A-SARI,27.41265060240964,-1.8896835733295811
CSO-16-10A-SMOUT,29.907372400756145,-1.2033612853152569
CSO-16-10A-YKMUJO,27.21455938697318,-0.4195269161792184
CSO-16-10B-JESUGU,30.60975609756097,0.0298078957520821
CSO-16-10B-LTVIFA,32.493788819875775,-0.4834645995359811
CSO-16-10B-VVILI,29.859030837004404,-1.182611781590272
CSO-16-10C-ACALGU,28.997668997669,-0.5049970954641365
CSO-16-10C-MAVAVE,30.47377938517179,-0.6295716909078954
CSO-16-11A-JAVABO,29.607142857142858,-0.522620312850528
CSO-16-11A-JDMUVA,30.36413043478261,-0.5706069794676003
CSO-16-11A-VZAOR,30.94331983805668,-0.7990203257379149
CSO-16-11B-KRORE,29.34193548387097,-1.0213319376362855
CSO-16-11B-LLOZA,30.629268292682926,-0.4010014260499385
CSO-16-11B-YAROMO,30.89142857142857,-2.2884326839978604
CSO-16-9A-JALEMO,29.666666666666668,-0.6086776706799394
CSO-16-9A-JPROSO,30.795454545454547,-1.43759246727681
CSO-16-9A-JSMAGU,27.9,-0.5151654651398562
CSO-16-9B-SJPAJI,28.699029126213592,-0.2955984091308894
