subject,lcc_T6W40,lsc_T6W40,z_asp_T6W40,y_true,y_pred
CDMS-11-6B-JFSAHE,-1.166774702994812,-0.14087002984346153,0.0,12,12.270688203082479
CDMS-11-6B-JLPENA,0.2084108546632644,0.07612134185582684,0.0,7,13.862865132439843
CDMS-11-6B-JMARME,0.04598947090338967,-0.01450453339704083,0.0,8,13.609817873427094
CDMS-11-6B-JPSAMA,-0.8536666470110728,-0.022095683386938347,0.0,0,12.702570605522737
CDMS-11-6B-LESTA,0.6544888566960516,0.00398716894927631,0.0,21,14.236808961566073
CDMS-11-6B-MAGIMU,1.5044852327993397,0.06223543355578087,0.0,26,15.145053602275869
CDMS-11-6B-MEBRTA,0.25389792625881213,-0.00760891987935608,0.0,17,13.824621942300205
CDMS-11-6B-MMAMO,-0.6434311044091876,-0.08911206045027686,0.0,9,12.845789771061284
CDMS-11-6B-RSECA,0.372223853706279,0.003569497445303327,0.0,1,13.95412628707233
CDMS-11-6B-SCAPA,-1.0978099223244397,-0.07717117873510038,0.0,10,12.403351834861208
CDMS-11-6B-VZAPE,0.5320054106253318,0.005417059880651998,0.0,21,14.115755406426732
CDMS-11-6B-YLNIME,-0.5464929182671261,-0.096157825807901,0.0,8,12.935682191845718
CDMS-11-7C-ICARE,-0.13766236252935204,0.10458132444566193,0.0,17,13.545251897837058
CDMS-11-7C-IMOIB,-0.793887172226202,-0.05994069862361773,0.0,7,12.724505065070929
CDMS-11-7C-SALMA,-0.06946450737394728,-0.042416737690718506,0.0,18,13.466451690856083
CDMS-11-7C-SPGAVE,0.15572181447811584,0.04578839511014454,0.0,8,13.779843145509005
CDMS-12-5A-SRIGO,-0.8250124650689417,-0.043083300132781055,0.0,15,12.710237170719022
CDMS-12-6A-FAROPA,-0.8870388639104654,-0.15302723751145209,0.0,23,12.538266834498831
CDMS-12-6A-JGIGA,0.9978033081698827,0.05208341779635273,0.0,1,14.628219661886984
CDMS-12-6A-JSOTGU,0.6183972326652771,0.0610369288654411,0.0,21,14.25776709745147
CDMS-12-6A-SROAL,-0.9048104538224093,-0.11372516482868011,0.0,24,12.559797317269659
CDMS-12-6B-IJDAGA,0.7574750925830056,0.10637547903967537,0.0,25,14.442183507543426
CDMS-12-6B-SCLAG,0.4965428369247222,0.06318091194766767,0.0,31,14.138056684793135
CDMS-12-7C-ARAHE,0.4878987756955339,-0.015963775702097338,0.0,22,14.050267935914185
CDMS-12-7C-CATRAR,-0.580736582719986,-0.08510947022488935,0.0,12,12.912486882975873
CDMS-12-7C-DLOLO,-0.07091684747927918,-0.01921077648775249,0.0,19,13.488205311953717
CDMS-12-7C-JSZAOR,-2.1185479160737093,-0.13856270364594847,0.0,10,11.32122231620109
CDMS-12-7C-MAROBE,-1.5195685421918341,-0.1145121639418285,0.0,9,11.944252229787082
CDMS-12-7C-VMAPA,-0.038872602016699176,-0.057930486668951175,0.0,12,13.481529847235098
CDMS-12-7C-VQURA,-0.6089513640239127,0.030618428103164175,0.0,13,13.0
CDMS-13-6B-ASUMO,0.21436932010090182,0.1775770493597708,0.0,5,13.970279305381421
CDMS-13-6B-JDTAHE,-0.32408318157969074,0.01164075729299352,0.0,21,13.265890511634051
CDMS-13-7C-MVEAR,1.0177478091103076,0.03683872219184536,0.0,27,14.632919467222898
CDMS-13-7C-RAIZAC,-1.089231915353972,-0.04433923704872633,0.0,5,12.44476178351805
CDMS-13-7C-SSOSLO,0.6056619713753184,0.03495429825462981,0.0,23,14.218949205550697
CDMS-14-10A-IMORTO,-0.3173749635868379,-0.024938402669507198,0.0,11,13.236019569664403
CDMS-14-10A-JCVANI,-1.300107359390639,-0.08681407003828112,0.0,22,12.191411506491828
CDMS-14-5A-LSDUCO,1.124674032666098,0.045535059513911236,0.0,10,14.748542028100754
CDMS-14-6B-KDCAHE,0.05907649733277509,0.07304148639061836,0.0,22,13.710450919644142
CDMS-15-10A-AMALOS,-0.2734905278616946,-0.0401480344819003,0.0,16,13.264694373577154
CDMS-15-10A-JJMACH,-1.6073905996713806,-0.153819593291721,0.0,6,11.817122742957647
CDMS-15-10A-MAALCA,-0.9681487309651127,-0.10471462527788145,0.0,13,12.505469579677754
CDMS-15-10A-MAALRI,-1.4977910393299283,-0.08054189659082023,0.0,12,12.0
CDMS-15-10A-SGOMO,-1.3891833698749032,-0.10767351871633224,0.0,12,12.081476047329513
CDMS-15-10A-SHEGA,-0.7852175483195722,-0.05202296318265809,0.0,13,12.741092424418518
CDMS-15-11B-JEMOLO,-0.8481374881066754,-0.05576024468695895,0.0,19,12.674435203127114
CDMS-15-11B-VSAHO,-0.5059665908420214,-0.05128866655227782,0.0,12,13.021077678526446
CDMS-16-10A-SGALO,-1.1233010929356126,-0.0861967103805874,0.0,20,12.368835132604548
CDMS-16-11B-NGABE,-1.4750578749117125,-0.08217702273977423,0.0,28,12.021098038269262
CDMS-17-10A-ASSAMO,-1.9962159698615565,-0.219217155661535,0.0,11,11.362899810397657
CDMS-18-7C-VVECA,0.3632041567218219,-0.004635134291757714,0.0,5,13.936901958350813
CDMS-8-4A-DBEVA,2.0991820196737905,0.14317186771986812,0.0,21,15.82068682331441
CDMS-8-4A-DJAVDA,2.6250227796878267,0.23753184572893637,0.0,5,16.44088756133751
CDMS-8-4A-DOSTR,1.290217544274535,0.13012265060070227,0.0,17,14.998673130795982
CDMS-8-4A-LGOPA,1.2315377572784574,0.13697932187058615,0.0,12,14.946850015069792
