subject,nodes_T6W40,lcc_T6W40,y_true,y_pred
CDMS-11-6B-SCAPA,6.158712784846986,-7.058720041767968,10,13.460044401422008
CDMS-11-6B-VZAPE,-5.415628640709062,5.862355161857999,21,14.806778179491928
CDMS-11-6B-YLNIME,3.1094765844189625,-3.6546896256308026,8,13.814838617131151
CDMS-11-7C-ICARE,-3.376520967091531,3.5859868891087663,17,14.569517580360225
CDMS-11-7C-IMOIB,8.124109072342689,-9.252800231901917,7,13.231360498783761
CDMS-11-7C-SALMA,0.26996050272498606,-0.4847813358629821,18,14.145230825204994
CDMS-11-7C-SPGAVE,-0.11507275362816317,0.030582896832389888,8,14.275561801547218
CDMS-12-5A-SRIGO,5.187032138156958,-5.973979385848827,15,13.573104410651123
CDMS-12-6A-FAROPA,7.440889189675548,-8.49008422414163,23,13.31085662387691
CDMS-12-6A-JGIGA,-7.6583444713307935,8.366022441262947,1,15.067729628275142
CDMS-12-6A-JSOTGU,-6.923170185208663,7.5453068696813235,21,14.98218834281565
CDMS-12-6A-SROAL,5.254414712042453,-6.049202266579298,24,13.565264103806145
CDMS-12-6B-IJDAGA,-6.029676909815017,6.54785108530258,25,14.878225833830554
CDMS-12-6B-SCLAG,-3.467705371033706,3.687781064467478,31,14.580127351776763
CDMS-12-7C-ARAHE,-4.648073339985666,5.005490879135988,22,14.717469197493312
CDMS-12-7C-CATRAR,2.610528699473661,-3.067562693639043,12,13.903017664177607
CDMS-12-7C-DLOLO,-3.570546819253198,3.8025886407810496,19,14.592093479870842
CDMS-12-7C-JSZAOR,10.229366026072958,-11.603014591575386,10,12.986403092840563
CDMS-12-7C-MAROBE,8.767415709818833,-9.970958884407855,9,13.156508483753967
CDMS-12-7C-VMAPA,-0.8515086703393252,0.7671765070011567,12,14.275719495004822
CDMS-12-7C-VQURA,3.0171002651787417,-2.327129804595548,13,15.050022118926185
CDMS-13-6B-ASUMO,2.337397549954951,-0.5484578378400293,5,16.148991370457914
CDMS-13-6B-JDTAHE,1.5329610386418848,-1.0452441586269463,21,14.84776853835793
CDMS-13-7C-MVEAR,-7.191670527533943,7.9195964869017415,27,15.087977617710788
CDMS-13-7C-RAIZAC,3.1653358704221044,-3.717048425041523,5,13.808339103723572
CDMS-13-7C-SSOSLO,-4.802684310357491,6.470422632748128,23,16.02778998073363
CDMS-14-10A-IMORTO,-0.9554432299847216,0.8832043838416224,11,14.287812812199892
CDMS-14-10A-JCVANI,8.196970458984508,-9.334139413253583,22,13.222882704073914
CDMS-14-5A-LSDUCO,-8.580882862568764,9.395902889155924,10,15.17507168493015
CDMS-14-6B-KDCAHE,-0.14472083237080027,0.8102143005526077,22,15.025545126524799
CDMS-15-10A-AMALOS,1.8271999433663222,-2.2232135440361125,16,13.9640380576732
CDMS-15-10A-JJMACH,9.368413214657574,-10.630217550199752,6,13.09824732280081
CDMS-15-10A-MAALCA,5.603503018772149,-6.438908781889232,13,13.524645895225907
CDMS-15-10A-MAALRI,6.814162398051982,-7.790434567288148,12,13.383779489106825
CDMS-15-10A-SGOMO,9.744168219156665,-11.061361540114738,12,13.042858337384915
CDMS-15-10A-SHEGA,4.664660106961169,-5.390826699126751,13,13.63388506617741
CDMS-15-11B-JEMOLO,6.301468081760926,-7.218085647060052,19,13.443434093043864
CDMS-15-11B-VSAHO,1.5726020621771453,-1.9389918981923497,12,13.993661822327786
CDMS-16-10A-SGALO,6.485758591566862,-7.423819299538916,20,13.421990950370937
CDMS-16-11B-NGABE,9.306800515003808,-10.44594364371543,28,13.220908529631368
CDMS-17-10A-ASSAMO,13.109801670909016,-14.81860364478526,11,12.651249684466746
CDMS-18-7C-VVECA,-2.5845462162361286,2.7018618284309426,5,14.477367270537805
CDMS-8-4A-DBEVA,-12.996474076249413,14.32527070739417,21,15.688848289487746
CDMS-8-4A-DJAVDA,-17.31243245208893,19.143412897913024,5,16.191032104167085
CDMS-8-4A-DOSTR,-9.805322022931854,10.762811803591724,17,15.31754143900286
CDMS-8-4A-LGOPA,-10.562494804905025,12.588766291079883,12,16.386323144517846
CDMS-8-4C-JDBUTU,-13.058899915519147,14.394960112103858,7,15.6961118549277
CDMS-9-4A-ACDUTR,-4.191873126341522,4.4962094391232545,5,14.664387971124722
CDMS-9-4A-CARGA,-2.966793452935064,3.128585484678009,8,14.521843690085936
CDMS-9-4A-CRAAG,-11.266160286919861,13.180255922117048,32,16.274147293540175
CDMS-9-4A-EROHI,0.28479039841162096,-0.5013367657041864,5,14.143505291050426
CDMS-9-4A-ILOSE,-7.726631387890558,8.44225488955968,7,15.07567516001211
CDMS-9-4A-TGAFR,-9.719235937589588,10.666709162258096,6,15.307524883011498
CDMS-9-4C-SCAMO,14.582088154190325,-14.497192320859446,10,14.444947491673869
CDMS-9-5A-ABERO,-2.9139578934417454,3.3550811526513313,22,14.801174917552576
CDMS-9-5A-PAGACO,-2.4712899214225463,2.5754275848947032,17,14.464189321815148
CDMS-9-5A-VVAAR,-10.154192234628171,11.152274847396523,5,15.358134271111341
CDMS-9-5C-JDMADE,-4.894303263727731,5.2803709129173875,15,14.746119307532648
CDMS-9-5C-LVIZAC,1.543422591892036,-1.906417247411495,6,13.997057002823531
CDMS-9-5C-MLOGO,-6.55959008364816,7.139422365148527,5,14.939883939843357
CDMS-9-5C-SCAAG,0.4210818052391425,1.6829535249806176,21,16.46408698856275
CDMS-XX-10A-VGILO,2.339169866205096,-1.4242065839986584,17,15.275014940549429
CDMS-XX-5C-MJSARU,4.79595592263725,-5.5373994539727605,9,13.61860812700748
CDMS-XX-5C-MPCAQU,-5.012536719918032,5.412361435993399,24,14.759876374418358
CDMS-XX-6A-MAGICA,6.422249782511167,-7.346413168971937,6,13.43588827188222
CDMS-XX-6B-SPUCA,3.859747814605694,-4.492258747875181,2,13.727540725073503
CSO-10-4A-ICAPA,-6.558352277908288,7.138040534384744,15,14.939739914819446
CSO-10-4A-KCOMO,-9.664917494313197,10.606070490500196,8,15.301204654529988
CSO-10-4A-LRAVI,-15.71343552157139,17.64196526659163,16,16.28858140336323
CSO-10-4A-LSCAVA,4.899200529018942,-5.652657097961132,22,13.606595089400802
CSO-10-5A-ACAVA,6.85963523517425,-7.841198401408484,9,13.378488492108756
CSO-10-5A-ARACA,-1.7107431804061701,3.6690635955091055,5,16.318372073445925
CSO-10-5A-DABRZA,-9.79185150707773,10.747773924373954,10,15.315974075639213
CSO-10-5A-GZAMA,1.939195379134548,-2.32359338514632,20,13.975653652331218
CSO-10-5A-IPECA,2.560094009886673,-3.041383580811727,27,13.878762087417936
CSO-10-5A-JANORO,2.5564970261043474,-2.632604537742334,15,14.283944146705004
CSO-10-5A-JBUVE,5.996518474269639,-6.8776535942254045,9,13.478916538387224
CSO-10-5A-JJSEMO,-8.361644935094327,9.151155508356402,23,15.149562231605064
CSO-10-5A-JLCARI,2.6561190889398096,-3.0664724949679085,24,13.949698252314892
CSO-10-5A-MAARAN,-7.190268860374203,7.843483840768645,7,15.01326663873743
CSO-10-5A-MAOSMO,10.013376043681161,-11.3618930708682,12,13.011534631155952
CSO-10-5A-RVMOIB,5.865177968163904,-6.731030948989849,15,13.494198677517044
CSO-10-5A-SVHEES,-4.290856717802862,4.606710277328442,10,14.675905217868571
CSO-11-5A-MDVOSPE,1.1951006814534557,-1.5038027916172703,8,14.051349548179177
CSO-11-5A-MTAGA,11.476685475289404,-12.995466033407359,12,12.841271100225036
CSO-11-6A-CAPAMU,7.552384620904266,-4.67970583843248,6,17.232730440814777
CSO-11-6A-DSCACH,9.2287791184937,-10.486004283580776,2,13.102826493255913
CSO-11-6A-EROMO,-3.0729881351756223,3.247136460928435,14,14.534199984095803
CSO-11-6A-FSOVRE,-7.435364191069202,9.072648745793327,15,15.997336213067117
CSO-11-6B-ANREVA,-0.6289549193874936,0.518727489716399,18,14.249824228671896
CSO-11-6B-DISEMO,9.140876555208946,-9.23834537738459,2,14.262582836167345
CSO-11-6B-LHFDLACH,2.3382275539627213,-2.7937018288439144,21,13.904577383461797
CSO-11-6B-RJGIHE,-1.7057727422046507,1.7208385695316242,7,14.375117485669964
CSO-11-6B-SFLVA,-8.27848140238733,9.058315473593499,22,15.139885729549158
CSO-11-6B-VCOMA,4.343337305803782,-5.032116347864161,28,13.67127261628261
CSO-12-6A-DGISE,-0.9916379618373101,0.9236105577263628,7,14.292024254232043
CSO-12-6A-FJOVRE,-3.2528872033600154,3.557179146654112,8,14.664343601637087
CSO-12-6B-GQULO,-2.656470170956554,2.7821545028662102,7,14.485735990252648
CSO-12-6B-LJHEFE,7.000191691768322,-7.998109320071827,2,13.362134030039485
CSO-12-6B-VPAMA,-10.158121247682722,12.49663711817707,23,16.698567528837337
CSO-12-7A-DALRE,-11.398996017674728,12.551980311168606,23,15.513035951836867
CSO-12-7A-ESALA,-5.040137508990603,5.4431737179344415,17,14.76308786728683
CSO-12-7A-IMERO,1.7639760042792532,-2.1526331765164772,18,13.971394486105766
CSO-12-7A-JHEZA,8.982590237732694,-6.604581865305172,23,16.738060030770512
CSO-12-7A-LSARAR,-6.7778293148956505,7.383054846311046,20,14.965277189758385
CSO-12-7A-SCAHO,-0.9250715365985416,0.8492987887087703,6,14.284278910453219
CSO-12-7B-DVAGRO,7.061040824677112,-8.066038560577375,21,13.355053922442728
CSO-12-7B-SMUGU,2.096015176091847,-2.5233068029283654,12,13.932760031506472
CSO-12-7B-SSARA,8.201070578546158,-9.338716602680792,7,13.222405634208357
CSO-12-7B-VHOMA,11.9744402125943,-13.551137078282265,22,12.783354792655025
CSO-12-8A-YTOME,3.477439977862375,-4.065467440458857,29,13.772024195746509
CSO-13-6A-ANASA,10.127564537534704,-11.489367979566907,11,12.998248216310786
CSO-13-6B-JETAVE,-5.123767727209462,5.536534739453609,23,14.772818670587137
