subject,z_re_T6W50,z_l1_T6W50,z_l2_T6W50,z_l3_T6W50,z_diameter_T6W50,z_asp_T6W50
CDMS-12-6B-IJDAGA,-0.7608436219316218,3.326824333554379,0.2768599572486243,0.562004310756144,2.384407676254906,2.108863328792075
CDMS-12-6B-SCLAG,0.5868124625919968,1.0468536654866871,0.6289555115033514,0.48217439584319827,0.7214282948567592,0.7026948907945805
CDMS-12-7C-ARAHE,-1.2303452269445347,-1.4966094865377175,0.36780689885355283,0.8332790653581262,-0.8100635366822309,-0.9606595727025968
CDMS-12-7C-CATRAR,0.537101674102116,-0.9741490636897767,0.20951497787901222,0.5478511169385861,-0.3863621936653724,-0.2065834037125878
CDMS-12-7C-DLOLO,0.488812035388987,-0.8758242231602563,-2.0463322099971157,-0.15796774114896625,0.05377217539522932,-0.0185529980395724
CDMS-12-7C-JSZAOR,-2.746121094889589,-0.16161075091626811,1.0054464188095857,-0.8854915604213456,-2.115189746058627,-1.9837433103202782
CDMS-12-7C-MAROBE,-0.11210369450357176,-0.8757488033567146,1.0317166184407212,-0.43761893274691765,-0.42928925925089517,-0.5669087863129544
CDMS-12-7C-VMAPA,-0.07138089547155725,-1.4043527668349187,-0.24318848339899266,-1.5825436483226867,-1.397141856757883,-1.3579243361650304
CDMS-12-7C-VQURA,1.3144184022317398,-0.84199734412785,0.22956764536008814,1.2680242372758783,0.7621619798916773,0.5787417956534107
CDMS-13-6B-ASUMO,-1.6182859696103453,0.05905358815304462,0.7235389614947804,1.9592099752122971,0.5545676233650423,-0.08933519634228727
CDMS-13-6B-JDTAHE,0.2053070746058838,0.3533541971157977,0.020024033739075027,0.7143805404685571,0.5539639744939443,0.4082564933563312
CDMS-13-7C-MVEAR,-0.8623840556657196,2.3824705071057353,-1.4425209953621492,-0.7140231147946937,-0.4009302942288276,-0.4374808413582308
CDMS-13-7C-RAIZAC,0.2743133563349748,-0.17340351763327036,1.9864161156402764,-1.733666141247859,-1.2612872453446629,-0.6239949843122571
CDMS-13-7C-SSOSLO,-0.16094863031026202,0.5347229017037287,-0.8948078870907755,1.4708897097566567,0.5858699202912654,0.44931701605918023
CDMS-14-10A-IMORTO,1.4583013607337412,-0.8619780305338793,0.7050779773989949,-0.6480292513781517,0.3662795900203756,0.7091223168413007
CDMS-14-10A-JCVANI,-1.3004106903871437,-0.20157343180060822,0.8540734094362634,-1.3921591431993916,0.03187005890410186,-0.17645708006301047
CDMS-14-5A-LSDUCO,0.6663890907696862,-0.752036657827981,0.6736626605426154,0.9472079786421657,0.8360351323404609,1.3176867673709014
CDMS-14-6B-KDCAHE,0.2983995633594045,0.8585527490722392,1.0327194564710045,0.29771661138118005,0.9730086152527234,1.4340526204594972
CDMS-15-10A-AMALOS,-0.6292484088696163,1.4879976897566791,1.1611062286235159,-1.0245427046630593,-0.3054671436422588,0.04951438375132599
CDMS-15-10A-JJMACH,-0.7887895870531092,0.06330798750953476,-0.3966419061150868,-0.24480444268543772,-0.9391380003394896,-0.8289631530257656
CDMS-15-10A-MAALCA,-0.7508717539941685,0.12916074263344152,0.5244472910129885,-0.49500957971687404,-0.860275612109393,-0.516911833779625
CDMS-15-10A-MAALRI,-0.03202130475302651,-0.16988173100740422,1.4526625375204434,-0.023561592881463252,0.5174520893542788,0.3519700852138237
CDMS-15-10A-SGOMO,0.4183951638687516,-0.37384920075545397,-0.7718299221819268,0.1593640014467057,-1.2751634653178505,-0.8734102797953722
CDMS-15-10A-SHEGA,-2.184439574981624,-0.7818044212660703,0.13489948130573196,1.6527126995331467,-0.9374088892730951,-0.9973915441747352
CDMS-15-11B-JEMOLO,1.1316933270344005,0.34677662541243287,0.4011932874785253,-0.30941080448435593,0.44297076205014363,0.7360113093534503
CDMS-15-11B-VSAHO,1.481466074232607,-0.0239265631170811,-0.6001094844173626,-0.9739344850492534,-0.2070080914155444,0.3405475920669718
CDMS-16-10A-SGALO,0.18406733578020212,-0.3909056123122727,0.5484616959006976,0.801542473733103,0.7290337885170193,0.7748259973942896
CDMS-16-11B-NGABE,-0.48018204320537683,-0.41728234269314946,0.4442457948311837,-0.8503616386843961,-0.6320198694525575,-0.6889082759185092
CDMS-17-10A-ASSAMO,-0.4562004781693662,-0.7274901448076125,-0.5427636782582677,-0.2547968936135496,-1.4979042929185382,-1.3740851467029005
CDMS-18-7C-VVECA,0.5993607553185326,-0.8707839031323048,0.029201290873578607,0.4955885679914857,-0.14353320509223766,-0.22466970677860032
CDMS-8-4A-DBEVA,-0.9392463232030578,0.05390315545087654,-0.8684824391076955,1.3307552275326817,-0.684604121365897,-0.5822189961982361
CDMS-8-4A-DJAVDA,-0.9744488133919016,2.5637604671350642,0.025695111521699582,0.03428887494394101,0.8206414280303754,0.5039369662769027
CDMS-8-4A-DOSTR,0.6353358929175652,0.6370411636188145,-0.07464798123530283,1.3549331477731288,0.6461499984722935,0.609794528559657
CDMS-8-4A-LGOPA,0.20166695199324827,-0.2920382510902341,0.39476849406469644,1.7876345688722064,1.9663123498942927,1.8617627207417349
CDMS-8-4C-JDBUTU,0.40568518902220146,2.2298349806866375,1.07406268904124,-1.1039557243774665,0.3153960814542017,0.77961689956297
CDMS-9-4A-ACDUTR,-1.0291806973142703,0.43600815115769137,-1.2809891983474178,0.058630595936004316,-0.4813843146597704,-0.6774043910722288
CDMS-9-4A-CARGA,-0.047179892163030424,0.049246969708308545,-1.271460597432679,-0.06607077245643896,-0.5086463139094597,-0.5865953513808518
CDMS-9-4A-CRAAG,0.2383391932717104,0.2197979794141244,-0.5472370940037059,2.6314001787926404,0.2628677033658207,0.35004152406558564
CDMS-9-4A-EROHI,0.8847097046076429,1.3246800025949517,-0.9804845604532384,-0.7154547102710004,0.9960409492010308,0.9694026881898317
CDMS-9-4A-ILOSE,1.1250964676561914,-1.4677403732064962,-1.6527856342441625,1.6527891160736727,-0.19134779435124566,-0.11688016237407452
CDMS-9-4A-TGAFR,0.7177606509882831,-1.2879073580701705,-0.44870913686058406,1.9653632098659384,-0.7796194223655799,-0.49270037688935836
CDMS-9-4C-SCAMO,-0.3783089463355661,0.149404026863189,-0.3648405883215096,-0.7035096546110151,-0.8629669791663627,-0.8625096315928642
CDMS-9-5A-ABERO,1.2710304293592511,0.9048951086006339,0.3883750671770728,-1.0734823916543508,1.020038400367255,1.0993722401566604
