subject,nodes_T2W30,re_T2W30,pe_T2W30,l1_T2W30,l2_T2W30,lcc_T2W30,atd_T2W30,diameter_T2W30,asp_T2W30,z_pe_T2W30,z_l1_T2W30,z_l2_T2W30,z_lsc_T2W30,z_density_T2W30,z_diameter_T2W30,z_asp_T2W30,y_true,y_pred
CSO-11-6A-FSOVRE,-0.2171270508486347,0.0,0.15426339921098026,0.0,0.14653187329058243,0.0,0.0,-0.17515799224458128,0.0,0.2847389434331061,0.18880334033164467,0.0,-0.29000208873477806,0.25792501582134564,-0.15619305058557412,-0.3137823896740902,15,15.0
CSO-11-6B-ANREVA,0.0,0.0,0.13711564632475617,0.47925119847068953,0.0848316389707473,0.1945682184177719,0.0,0.463135318832803,0.30851817474069265,0.0,0.47072575817311224,0.0,0.22929085057043744,0.0,0.186751279236145,0.3258119162628457,18,18.0
CSO-11-6B-DISEMO,-1.4450404169403925,-1.488370022978331,-1.3224153889359054,0.0,-1.4168531527694772,-1.3652415045595638,0.0,-1.2371755624943876,0.0,0.0,-1.1768696666865242,-1.246184234035441,0.0,0.0,-1.2371559567119264,-1.184694093888048,2,2.0
CSO-11-6B-LHFDLACH,0.0,0.41285862146308383,0.5066037694457434,0.0,0.449091924179879,0.3765873702814435,0.0,0.0,0.0,1.0595287125822652,0.5512810269718713,0.7920805229339717,0.0,0.6567697517506892,0.5074952003523986,0.5677031000386535,21,21.0
CSO-11-6B-RJGIHE,-0.7055330762430366,-0.9430926390259863,-0.7597710766388083,-0.9698486560740027,0.0,-0.7259945586653131,0.0,0.0,0.0,-0.8148137759111843,-0.8051534026656282,-0.8590596951499796,-0.8171918783392834,0.0,-0.7195412412867769,0.0,7,7.0
CSO-11-6B-SFLVA,0.0,0.37553358471886256,0.5842919406809818,0.5751909288931965,0.0,0.0,0.0,0.0,0.0,0.8032026767614204,0.8069341883301933,0.9790458779769873,0.6133943764380796,0.9505299080050245,0.602857243314072,0.5890192748811828,22,22.0
CSO-11-6B-VCOMA,0.0,0.0,1.31374787875131,1.2697234238982658,0.0,1.1942763893043233,0.0,1.205274854825108,0.0,1.3128913996961127,1.3444644778704362,0.0,0.9829405559840669,1.7302640056633105,1.1130522500360975,1.4133647639709692,28,28.0
CSO-12-6A-DGISE,-0.7713408863956212,-1.0197443871513354,-0.7862919679912121,-0.7211117379627854,0.0,-0.8533194714686945,0.0,0.0,0.0,-0.8499598608366143,-0.9223985226031441,0.0,-0.8831192706446502,0.0,-0.6568367466854897,-0.6558771482604522,7,7.0
CSO-12-6A-FJOVRE,-0.8005067908031489,0.0,-0.5261480835727461,-0.7981425558324368,0.0,-0.9158630027962837,-0.38472522997816405,0.0,0.0,-0.6187552470432999,-0.6909696260108666,0.0,-0.8928307571586768,0.0,-0.780876192819148,-0.7111825139852275,8,8.0
CSO-12-6B-GQULO,-0.8587612564611011,-0.5667989137883529,0.0,0.0,0.0,-0.8706553946898213,0.0,-1.2877622692491955,-0.7921032779884993,-0.6254835365709136,-0.7881790430541191,0.0,-0.9034736049393708,0.0,-0.6850470952964425,-0.741735607962182,7,7.0
CSO-12-6B-LJHEFE,-1.3187857648608547,-1.0793311908391277,0.0,0.0,0.0,-1.1586889494753798,0.0,-2.361706890072487,-1.1278620414819618,0.0,-1.3346187418415363,-1.079709508327248,-1.1741571632811143,0.0,-1.2963407049582347,-1.188799044862055,2,2.0
CSO-12-7A-DALRE,0.98973319225048,1.2230680299117702,0.0,0.0,0.0,0.7652455890749378,0.5531550658117819,1.3704775859349485,0.7437360900051762,0.5246848353271787,0.6020157384126378,0.6400669634139922,0.0,0.4678169098570981,0.0,0.0,23,23.0
CSO-12-7A-ESALA,0.5041955169565466,-0.20113813047419393,0.0,0.16295325794575052,0.0,0.5262379273084797,0.03462980048414033,0.0,0.0,-0.18702150883252538,0.28770348250434924,0.0,0.4023096594448526,0.0,0.24555779453737714,0.10457220012522418,17,17.0
CSO-12-7A-IMERO,0.4268941600089766,0.0,0.14593811943620594,0.26711938432231086,0.0,0.4143348372154651,0.0,0.30657927025639825,0.1475948727716733,0.0,0.0,0.0,0.25836144587294824,0.49151991968502945,0.19315885272185407,0.22849913770913913,18,18.0
CSO-12-7A-JHEZA,1.2834041035497497,1.4192087384639274,0.0,0.7112409917617282,0.0,1.109778334237071,0.0,0.6596784904903911,0.0,0.0,0.4593053480789214,0.0,0.5187883135002249,0.7353553452192035,0.3929612742259634,0.5902790604728206,23,23.0
CSO-12-7A-LSARAR,0.6982432051989401,0.0,0.3765768637706336,0.6369032897037042,0.0,0.5396528719516442,0.0,0.0,0.0,0.4235516949379157,0.7490274864458749,0.0,0.34950701095871595,0.42722682402633866,0.34487895250462586,0.3344318005016073,20,20.0
CSO-12-7A-SCAHO,-1.1799367165933727,0.0,-0.7662272108205777,-0.7564411462031795,-0.7902369671892852,-1.0124614460635826,0.0,-1.1685119112822824,-0.7527421023267138,-0.9091153638108657,0.0,-0.9538308649272162,0.0,0.0,-0.8304962707829245,0.0,6,6.0
CSO-12-7B-DVAGRO,0.34221051877473097,0.0,1.1057535232620028,0.3470812792862773,0.4058384472725137,0.4484202066021605,0.0,0.762682630327695,0.3567934028030786,0.9240760253048905,0.0,0.0,0.0,0.8018997831828502,0.0,0.3852441831838003,21,21.0
CSO-12-7B-SMUGU,-0.2870271915888261,0.0,-0.26401140852409744,-0.22586338191373678,-0.34942557334710556,0.0,0.0,0.0,-0.20099446029371837,-0.4611771411251733,0.0,0.0,-0.366472452157221,-0.3221529099534967,-0.3169448582690796,-0.3259306228275444,12,12.0
CSO-12-7B-SSARA,-0.9816084185662688,-0.8674398951550594,-0.6729132074891213,-0.6807564969746336,-0.8219310342916626,-1.037487205023434,0.0,-0.8225175018452828,0.0,0.0,0.0,0.0,0.0,-0.654665734634632,-0.8058905631995614,-0.7747899428203429,7,7.0
CSO-12-7B-VHOMA,0.0,0.0,0.7333193112412438,0.0,0.9757641651940161,0.36596936200185404,0.0,0.6401125903278537,0.0,0.9858755484706025,0.0,1.1711660262017052,0.5430747763327884,0.40373913057639665,0.464281695781079,0.5966973938724626,22,22.0
CSO-12-8A-YTOME,0.0,0.0,1.8803596001614438,1.0640441171931445,1.7065613613462927,1.0031261524695896,0.0,0.9028160291436151,0.0,2.0681878937216505,0.9026561782404535,1.9423642462528183,0.0,1.3035116001091784,0.0,1.1063728213618143,29,29.0
CSO-13-6A-ANASA,0.0,-0.20101127155810308,-0.46059817488905025,-0.2954695480112625,-0.39919360734746817,0.0,0.0,0.0,-0.19761372938430743,-0.5221517533343337,-0.3108923565195453,-0.6082827116048077,0.0,-0.9464869981425672,-0.17829984920855413,0.0,11,11.0
CSO-13-6B-JETAVE,1.1702768392141634,1.1816595177656677,0.4642917505690516,0.6183864277993404,0.0,1.1044712364561686,0.0,0.6637418154535666,0.4976279593961426,0.0,0.5986824194833198,0.0,0.0,1.0307543416818434,0.0,0.5501076921807376,23,23.0
CSO-13-6B-LFMIES,1.1799707706707285,0.9582102034103065,0.0,0.0,0.5079294514263529,1.0221085985697091,0.0,0.6797238098672398,0.0,0.8314382462994119,0.0,0.9018605626715869,0.3973891192739023,0.0,0.6349378786276375,0.7664313591831252,23,23.0
CSO-13-6B-LJMAHU,0.7365777601910101,0.0,1.2324369109639823,0.6150536862330558,1.2730646061848232,0.796681506091146,0.0,0.0,0.5324039570437016,1.0993066470419115,0.6140726208669757,1.3693048618318435,0.0,0.6110974435515506,0.0,0.0,24,24.0
CSO-13-7A-CAPAMU,-0.10298505834990067,-0.2079308031330348,-0.09705951012383243,0.12405340895419503,0.0,0.0,0.0,0.0,0.07969076086972735,-0.11198231216693288,0.0,-0.08141555654137198,0.05379583160520565,0.0,0.08951971252267778,0.1343135263632678,15,15.0
CSO-13-7A-CDDITR,0.0,-0.6639011190988372,-0.38388844678373674,-0.23032897781997178,-0.33224553746302604,0.0,0.0,0.0,0.0,-0.4566492376183545,-0.1784177188246563,-0.5023021816398999,0.0,-0.7678057527490502,-0.3625495898816304,-0.24191143812083643,11,11.0
CSO-13-7A-JJATFL,0.15157546767460772,0.578732101499208,0.0,0.0,0.1772593950816127,0.25025215740236034,0.0,0.0,0.2951270425468013,0.0,0.0,0.155000594227915,0.3840047646679961,0.29054289927214333,0.2730921537894361,0.32441342383792027,18,18.0
CSO-13-7A-KRAMA,0.39004818709423633,0.3655250976461902,0.0,0.0,0.17994976023962836,0.34134453270272674,0.0,0.0,0.04240174907162486,0.0,-0.3341475453464351,0.1901541144354035,0.0,0.3754735184740647,0.23035572111179078,0.09889486457077061,17,17.0
CSO-13-7A-RXCHLU,-1.4076331928291816,0.0,-0.7349516506045555,0.0,0.0,-1.161457470203573,0.0,-1.0735287985534872,-0.8905689564024566,-0.9437642126729714,0.0,-0.6567814035059669,-1.1883536167119013,0.0,-0.8522331962022615,-1.2107275023136443,5,5.0
CSO-13-7A-YAMEZA,-1.1055948505303332,-0.7779770688865638,-0.6408884605851615,0.0,-0.7275875807635102,-0.9994247489998804,0.0,-0.8537945149447471,0.0,-0.9379265133249491,0.0,-0.9107092806164503,0.0,-0.5321340171436111,-0.6339629642047927,0.0,7,7.0
CSO-13-8A-KIGAGU,-0.659376698216046,-0.4712459790511859,0.0,-0.5022926335345983,-0.38541276971365246,-0.6442441972200433,0.0,-1.1781238679141315,-0.5018866783481357,0.0,-0.8321920503185656,-0.5075320279924256,-0.4376930976912148,0.0,0.0,0.0,9,9.0
CSO-13-8A-MBUAN,0.0,-0.6527240966214841,0.0,0.0,-0.5178467681077468,0.0,0.0,-0.9550565058773516,0.0,-0.6595864922521257,-0.5812024345817967,-0.6001147319299841,-0.8857548010883469,-1.1451461905799927,-0.5436396803144926,-0.5789282986466789,8,8.0
