subject,nodes_T2W30,re_T2W30,pe_T2W30,l1_T2W30,l2_T2W30,lcc_T2W30,atd_T2W30,diameter_T2W30,asp_T2W30,z_pe_T2W30,z_l1_T2W30,z_l2_T2W30,z_lsc_T2W30,z_density_T2W30,z_diameter_T2W30,z_asp_T2W30
CDMS-11-6B-JFSAHE,23.88732394366197,1.1971830985915493,0.5,0.1901408450704225,0.4507042253521127,23.88732394366197,2.4506022467473785,9.78169014084507,4.178945392569822,-0.0299087594855094,-0.4139622283367909,-0.0811454114862662,0.1914900049011776,-0.641802797489838,0.030840179646637,0.1423212721523087
CDMS-11-6B-JLPENA,22.420454545454547,0.9431818181818182,0.3181818181818182,1.318181818181818,0.3181818181818182,20.045454545454547,2.4943815377620244,8.965909090909092,3.844935925813637,-0.584096317333385,0.8403930442629156,-0.5705895086157924,-0.50860072660947,-0.9301131341537308,0.6696373023102324,0.9189492837521502
CDMS-11-6B-JMARME,23.544117647058822,0.7720588235294118,0.8529411764705882,0.7720588235294118,0.7977941176470589,23.522058823529413,2.466778030094846,9.863970588235292,4.24816877215442,0.3279598191413307,0.2614654506658396,0.2675304400259879,-0.5658613624410823,-0.9681919285316896,0.572104715343199,0.9022814004179422
CDMS-11-6B-JPSAMA,24.78125,0.0,0.59375,0.453125,0.59375,24.78125,2.348415699889885,10.53125,4.4473127921293685,0.0202420263316327,-0.0930624764628128,0.0490835256734111,0.007644715606144,0.1133721406767822,0.0645967983413364,0.1510766433987743
CDMS-11-6B-LESTA,23.27927927927928,1.108108108108108,0.3693693693693693,0.5405405405405406,0.3693693693693693,22.82882882882883,2.445896653615952,10.225225225225223,4.263698417993298,-0.2190040543150803,-0.1102545402463355,-0.2212899742857717,-0.4318077158335648,-0.6908455853070579,0.7766455594994016,1.00075435755582
CDMS-11-6B-MEBRTA,22.954954954954957,1.7567567567567568,0.8018018018018018,2.0,0.7837837837837838,22.954954954954957,2.5591347961294564,11.702702702702704,4.789999344143464,0.196749282461074,1.5769143683605005,0.192842804725736,-1.997625712814472,-1.995852909329876,2.079619532581215,2.6111333321030297
CDMS-11-6B-MMAMO,22.80203045685279,1.2233502538071066,0.7461928934010152,0.5685279187817259,0.3553299492385787,22.80203045685279,2.565086871500556,8.964467005076141,3.8738175757302953,-0.0775653666831948,-0.0281539402146108,-0.4578117790221427,-0.1225256554528496,-0.5489271523516501,0.5232813805889047,0.6212620041616025
CDMS-11-6B-RSECA,25.83606557377049,0.4590163934426229,0.6065573770491803,0.3770491803278688,0.6065573770491803,25.83606557377049,2.25598916038688,12.508196721311476,5.147003444473643,0.2434111873954099,-0.0438731679378296,0.275559386213801,-0.0313674091824092,-0.6950813113447226,0.177206590003919,0.3292895235140412
CDMS-11-6B-SCAPA,25.0,0.7142857142857143,0.0,0.0,0.0,25.0,2.3266236031336964,10.535714285714286,4.46086742392643,-0.7063866498269755,-0.6756008282148952,-0.713534949520416,-0.2529004108106421,0.2824622346928628,0.0623247681206356,0.1554325874298457
CDMS-11-6B-VZAPE,22.852459016393443,0.1557377049180328,1.147540983606557,1.680327868852459,1.0655737704918034,22.852459016393443,2.5575519255170005,8.508196721311476,3.8365482650908618,0.5143515924622737,1.414281962751329,0.463681536293911,0.0085309473149222,-1.375780791580518,0.08862730033859,0.3692832537609012
CDMS-11-6B-YLNIME,24.265625,0.390625,0.4375,0.0,0.4375,24.265625,2.399482364957908,8.625,3.8671105326336304,-0.1106499250717256,-0.7099142035607303,-0.1023107650719029,0.3801756437928847,0.2956941150577201,-0.4214516906533045,-0.3469578221344603
CDMS-11-7C-ICARE,21.65217391304348,1.6521739130434785,1.7391304347826086,0.0,1.2173913043478262,21.65217391304348,2.684966325420012,7.0,3.284913542664015,0.8515524517847759,-0.9483903507874633,0.3572908000643486,0.3493554772164443,-0.6583672310123674,-0.1998525235062746,0.0058652304987567
CDMS-11-7C-SALMA,22.289473684210527,1.5263157894736843,0.3289473684210526,0.1447368421052631,0.3289473684210526,22.289473684210527,2.6106959345002823,7.868421052631579,3.532854758854698,-0.4489750749122658,-0.6067328824321564,-0.4479939688202954,0.1218114735812543,-0.4943193968758804,0.1477107350991723,0.2014383954227608
CDMS-11-7C-SPGAVE,23.48076923076923,0.3653846153846153,0.4615384615384615,0.7115384615384616,0.4615384615384615,23.46153846153846,2.4200586646951723,10.346153846153848,4.359781324310457,0.0432565563896763,0.1318880698039768,0.0414204415440912,0.0755725913830017,-0.4594318944821652,0.5478059912119051,0.7372876243056208
