feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG
density,raw,6,T6W150,252,0.1009760200093901,0.10980617720657138,0.10365831083941118,0.10132246947598594,-0.13892153033836546,0.02745059844718115,-0.11983228365868165,0.05797842238395057,0.1009760200093901,0.10365831083941118,0.13892153033836546,0.11983228365868165
diameter,raw,6,T6W150,252,-0.07580700602272786,0.23047263904605214,-0.07705392394378097,0.22380225849605784,0.1285186318737615,0.04150113973674654,0.11744826913437457,0.06318638655039899,0.07580700602272786,0.07705392394378097,0.1285186318737615,0.11744826913437457
asp,raw,6,T6W150,252,-0.10369156104856601,0.1005281105455869,-0.10630089274456127,0.0928637379631044,0.12582591806331694,0.04599584956739429,0.10697750421831297,0.09079113948400114,0.10369156104856601,0.10630089274456127,0.12582591806331694,0.10697750421831297
cc,raw,6,T6W150,252,0.08064886683264003,0.20196418830039795,0.0822755274273303,0.19387982651695856,-0.12521596466483514,0.0470687233280618,-0.11136852185914356,0.07822410498342607,0.08064886683264003,0.0822755274273303,0.12521596466483514,0.11136852185914356
nodes,raw,6,T6W200,248,-0.0875876063388653,0.16912943353430251,-0.0892743241742826,0.16189292856747448,0.14288759805911525,0.02442435353884168,0.12770712701316134,0.044951132027075215,0.0875876063388653,0.0892743241742826,0.14288759805911525,0.12770712701316134
edges,raw,6,T6W200,248,-0.056609299172786405,0.37470624017767334,-0.0566955460046952,0.3749526706432221,0.01978136967858269,0.7565808385597412,0.01865684190059694,0.7704752277040376,0.056609299172786405,0.0566955460046952,0.01978136967858269,0.01865684190059694
re,raw,6,T6W200,248,0.061199895834850575,0.3371519164198782,0.06300388795149417,0.3240638549925432,-0.14619448896843348,0.021277196834291908,-0.12870631524968634,0.04328692264385111,0.061199895834850575,0.06300388795149417,0.14619448896843348,0.12870631524968634
pe,raw,6,T6W200,248,0.045530217321388705,0.4753765530316783,0.046983450539185866,0.4623009157415364,-0.05237689282055263,0.4115158959166634,-0.034945154479929796,0.5846622851189526,0.045530217321388705,0.046983450539185866,0.05237689282055263,0.034945154479929796
l1,raw,6,T6W200,248,-0.0389578466776109,0.5414371560533706,-0.038126325781944324,0.5509216334733105,-0.04239084375866178,0.5063717274918094,-0.0245080347668218,0.7015138232503464,0.0389578466776109,0.038126325781944324,0.04239084375866178,0.0245080347668218
l2,raw,6,T6W200,248,0.04692033767030214,0.46198969637053594,0.04735695185313593,0.45874596629210757,-0.0019597142565168932,0.9755042247687945,0.004490356588172337,0.9440234354915216,0.04692033767030214,0.04735695185313593,0.0019597142565168932,0.004490356588172337
