subject,edges_T2W20,l1_T2W20,lcc_T2W20,z_l3_T2W20,z_asp_T2W20
CSO-14-9A-HASACA,0.11254722952208746,-0.488464030465871,0.4665263036133625,-0.8965442110438828,-0.9840742590085672
CSO-14-9A-JSMAAL,0.5283025107261066,-0.49409138166085254,0.7750243972357779,-0.07696092741279155,-0.8177344076979552
CSO-14-9A-MARJA,0.5283025107261066,-0.3123813924074143,0.9423141196745517,0.48734475681141065,-0.5920384517091187
CSO-14-9A-SORZU,-0.10057780783298795,0.48633939083126837,-1.382889852363626,-0.2503644018100416,-0.31669257180413374
CSO-14-9B-ERAGA,0.5283025107261066,0.6759096103131037,-0.12949993764062467,0.9188716083811208,0.17647221638049165
CSO-14-9B-MFEGA,0.5283025107261066,0.019624233287273377,0.4772236945978022,-0.6115952441470317,-0.21423844092591934
CSO-15-10A-LJRAGU,-0.5453108507919329,-0.4915859292427403,0.2810904969307905,0.07351849605043236,-0.4982526269623407
CSO-15-10A-MAARLO,-0.6828582689919587,1.65306225480511,-0.38620303071698436,0.6565001660964943,0.60835287902348
CSO-15-10A-SFEGA,-0.9071473022730886,0.6528158993649911,1.1202736263316528,-0.9028626773580494,0.9257289659937514
CSO-15-10B-MEBUAR,0.5283025107261066,-0.5724209349871124,-0.24766275316495065,2.310804594885114,0.6872662064122076
CSO-15-10B-YVBUAN,0.5283025107261066,0.3836251751359455,0.30681848893512165,-0.5611540341988203,-0.5618898647565247
CSO-15-10C-ALBAHO,0.5283025107261066,-0.9475782693391982,2.837140962757305,-0.34057801040181196,-1.0409783540199447
CSO-15-10C-SSCAMO,0.5283025107261066,0.15215009251901518,0.06685464673456468,1.8149047283057096,0.9277460505687295
CSO-15-11C-JETALO,0.5283025107261066,-0.21642223469782182,-0.44824332352412416,1.377155614854558,0.8496963205859148
CSO-15-7B-JCRAGA,0.5283025107261066,0.010640928309318504,0.842866160072057,-1.0988508789998572,-2.0453119879792485
CSO-15-8A-VBMABR,0.5283025107261066,-0.2455294565165813,0.04648723441687879,-0.8511095781602432,-0.9910936734877169
CSO-15-8B-KEPOGO,0.5283025107261066,-0.7131049353691447,0.7064391296325213,-0.19693259849487696,-0.5115131550198911
CSO-15-9B-ALRIHE,0.5283025107261066,-0.43173693460508006,0.8233448939278633,-0.39739153550504736,-0.9280300437594138
CSO-15-9B-AMSAGO,0.5283025107261066,-0.9475782693391982,0.9486063516864379,-1.093296803319752,0.2995270742068063
CSO-15-9B-JCAPA,0.04490943004260792,-0.3316483174178631,0.20915341583890157,1.0550141311156263,-0.03987722899007269
CSO-15-9B-KSBEJA,-0.6602235959085448,-0.4693477706962688,-0.1410325177230296,0.5402046692284145,-0.8509516138955168
CSO-15-9B-RMCHLU,0.5283025107261066,-0.9475782693391982,0.6527179780543202,-0.4921798016315666,-0.8747857250067941
CSO-16-10A-JEGAHE,-1.4603935843665181,0.5003974071074493,-3.2972690346757036,2.5940561896948267,-0.2012279953460653
CSO-16-10A-MSACO,0.5283025107261066,-0.9475782693391982,-0.013222698959773224,4.527077305037893,1.1201332196612033
