subject,edges_T2W20,z_density_T2W20,z_diameter_T2W20,z_asp_T2W20,y_true,y_pred
CSO-15-9B-AMSAGO,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-15-9B-JCAPA,0.007949918945400647,0.0,0.0,0.0,1,2.9107241569928135
CSO-15-9B-KSBEJA,-0.12227814562471462,0.0,0.0,0.0,4,2.7804960924226982
CSO-15-9B-RMCHLU,0.09722576195258714,0.0,0.0,0.0,1,3.0
CSO-16-10A-JEGAHE,-0.2700581886646951,0.0,0.0,0.0,1,2.6327160493827177
CSO-16-10A-MSACO,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-16-10A-SMOUT,-0.5324038676770408,0.0,0.0,0.0,3,2.370370370370372
CSO-16-10A-YKMUJO,0.09722576195258714,0.0,0.0,0.0,1,3.0
CSO-16-10B-JESUGU,0.022664358443815313,0.0,0.0,0.0,0,2.925438596491228
CSO-16-10B-LTVIFA,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-16-10B-VVILI,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-16-10C-ACALGU,-0.03643862869504222,0.0,0.0,0.0,4,2.8663356093523706
CSO-16-10C-MAVAVE,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-16-11A-JAVABO,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-16-11A-JDMUVA,0.09722576195258714,0.0,0.0,0.0,6,3.0
CSO-16-11A-VZAOR,0.09722576195258714,0.0,0.0,0.0,6,3.0
CSO-16-11B-KRORE,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-16-11B-LLOZA,0.024280865836958654,0.0,0.0,0.0,4,2.9270551038843715
CSO-16-11B-YAROMO,0.04879271351953918,0.0,0.0,0.0,3,2.951566951566952
CSO-16-9A-JALEMO,0.09722576195258714,0.0,0.0,0.0,6,3.0
CSO-16-9A-JPROSO,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-16-9A-JSMAGU,0.09722576195258714,0.0,0.0,0.0,5,3.0
CSO-16-9B-SJPAJI,0.041670206397030896,0.0,0.0,0.0,3,2.9444444444444438
CSO-17-10A-YVGOCA,-0.004626089899263608,0.0,0.0,0.0,5,2.8981481481481493
CSO-17-10B-EHECO,-0.034235369508543556,0.0,0.0,0.0,2,2.8685388685388693
CSO-17-10B-YCQUVE,-0.2567080535196884,0.0,0.0,0.0,2,2.6460661845277245
CSO-17-11A-DJAPA,-0.2525684767305405,0.0,0.0,0.0,4,2.6502057613168724
CSO-17-11A-JDAMO,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-17-11A-NPAHE,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-17-11A-RLPAIG,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-17-11A-SPUVA,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-17-11B-CDBEBU,-0.1981560396020532,0.0,0.0,0.0,2,2.7046181984453597
CSO-17-11C-JDAAG,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-17-11C-MAPAMA,0.025038925434541337,0.0,0.0,0.0,3,2.927813163481954
CSO-17-11C-MCAAG,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-17-11C-SARJA,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-18-11A-ADBAHO,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-18-11B-YLLRE,0.09722576195258714,0.0,0.0,0.0,1,3.0
CSO-18-9B-MAMOLO,0.06294793111315089,0.0,0.0,0.0,3,2.9657221691605637
CSO-8-3A-DAPAVA,-0.01103634630952266,0.0,0.0,0.0,1,2.89173789173789
CSO-8-3A-KVPECO,-0.9521569540967936,0.0,0.0,0.0,2,1.9506172839506193
CSO-8-4A-ARAGR,-0.08900272005053989,0.0,0.0,0.0,3,2.813771517996873
CSO-8-4A-JRAAR,-0.9027742380474111,0.0,0.0,0.0,2,2.0000000000000018
CSO-9-2A-EXMOCO,-0.16145927967819196,0.0,0.0,0.0,1,2.741314958369221
CSO-9-4A-AGAPE,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-9-4A-DKVIMO,0.09722576195258714,0.0,0.0,0.0,1,3.0
CSO-9-4A-DSMOMU,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-9-4A-DVGATO,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-9-4A-FAGIGA,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-9-4A-GSBRCO,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-9-4A-KEMOCO,-0.07169926063097254,0.0,0.0,0.0,1,2.8310749774164403
CSO-9-4A-LCOMO,0.09722576195258714,0.0,0.0,0.0,5,3.0
CSO-9-4A-MLORO,-0.011748597021769669,0.0,0.0,0.0,3,2.891025641025643
CSO-9-4A-MPAME,0.09722576195258714,0.0,0.0,0.0,5,3.0
CSO-9-4A-NSARPA,-0.10215695409679482,0.0,0.0,0.0,3,2.800617283950618
CSO-9-4A-SLOCA,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-9-4A-YVDITR,0.09722576195258714,0.0,0.0,0.0,5,3.0
