subject,edges_T2W20,z_density_T2W20,z_diameter_T2W20,z_asp_T2W20
CDMS-15-10A-SHEGA,0.18005158163154666,-0.32582439766066845,0.41607132064959346,0.4837491324190103
CDMS-15-11B-JEMOLO,-0.19141607606932448,-1.141660098174801,1.8329080242270448,1.6009966625099512
CDMS-15-11B-VSAHO,0.5283025107261066,-0.6110720249802519,0.7444490039784689,0.496758716182509
CDMS-16-10A-SGALO,0.5283025107261066,1.8031903519748815,-1.511214097048172,-1.5069018529410099
CDMS-16-11B-NGABE,0.5283025107261066,-0.11626795126701116,-0.16376581480888913,-0.15592164767212596
CDMS-17-10A-ASSAMO,0.5283025107261066,1.2362212677230404,-0.2464312063708873,-0.3424494987558607
CDMS-18-7C-VVECA,0.5283025107261066,0.13722713423850025,0.4079728710605822,0.3424659224720021
CDMS-8-4A-DJAVDA,0.5283025107261066,0.11233846023543972,-0.750311050770519,-0.8319476964728834
CDMS-8-4A-DOSTR,0.5283025107261066,-1.2393515311810965,0.8238478398131498,0.9948483433942378
CDMS-8-4A-LGOPA,-0.9968629155855284,0.3520515312492436,-0.543332237663807,-0.49454680244136157
CDMS-8-4C-JDBUTU,-3.8213579140085057,-2.2538693017664526,2.2548530884866387,2.688360991824147
CDMS-9-4A-ACDUTR,-0.29460621827774525,-0.9240783566506581,1.0623129295874603,0.8436223140399745
CDMS-9-4A-CARGA,0.5283025107261066,0.34016475913954736,-0.6614335894904596,-0.702208199058348
CDMS-9-4A-CRAAG,0.5283025107261066,-1.11926150849488,1.4432742280733357,1.177385407565064
CDMS-9-4A-EROHI,0.5283025107261066,-1.6839674951030472,1.0517541362580174,1.3902286336515683
CDMS-9-4A-ILOSE,0.1259753504056816,1.092644007445993,-1.0108470428170384,-1.0108737069320208
CDMS-9-4A-TGAFR,-1.0380836027831462,0.8075769577435747,-0.935935837999936,-0.9735562503053561
CDMS-9-4C-SCAMO,0.1581615232313093,0.5125547100716608,-0.394846708137852,-0.4858100195140645
CDMS-9-5A-ABERO,0.5283025107261066,-2.4065572602222973,2.702502167201341,2.791286643307594
CDMS-9-5A-VVAAR,0.5283025107261066,0.9469815924871905,0.019555278409228907,-0.26126660516524564
CDMS-9-5C-JDMADE,0.23252774902935988,-1.2227160353482038,0.666980019291115,0.7986628325197517
CDMS-9-5C-LVIZAC,-0.42180054173030707,-2.3117517036009643,2.4107585328881056,2.7408002297317435
CDMS-9-5C-MLOGO,0.5283025107261066,-0.25047175693037776,0.6044382112501341,0.7575140219609144
CDMS-9-5C-SCAAG,-0.8353748116231197,-2.155613240798441,2.4605918245495446,2.7695860179257776
CDMS-XX-10A-VGILO,0.14623774368861647,0.5152017659530066,-0.9299337801844105,-0.7997337016284891
CDMS-XX-5C-MPCAQU,0.5283025107261066,-0.12682362966936161,-0.168861416997314,-0.048825367921603066
CDMS-XX-6B-SPUCA,0.47051957333841227,0.0552156199614615,-0.41491113943840996,-0.32057898437881305
CSO-10-4A-KCOMO,-0.1394776213521228,0.6901211723458462,-0.8374615067454179,-0.8034559939438792
CSO-10-4A-LRAVI,0.5283025107261066,0.535503788737034,-0.5440140098793987,-0.5818608371154811
CSO-10-4A-LSCAVA,0.5283025107261066,0.4199512331588642,-0.03451801803967039,-0.19911020682656064
CSO-10-5A-ACAVA,-1.0515675578492265,0.44081066589192885,0.10553265687960264,-0.04245368148289956
CSO-10-5A-ARACA,0.5283025107261066,-0.5091063580488159,0.5968437298400666,0.6557938920712404
CSO-10-5A-DABRZA,0.16234390727081044,-2.0565523589427968,1.8363925278882416,1.9811623268034044
CSO-10-5A-GZAMA,0.4408872977549902,0.5996810726822251,-0.4769319317440377,-0.6618796743820186
CSO-10-5A-IPECA,0.5283025107261066,0.6577289436821198,-0.7585426456226148,-0.6871686537138078
CSO-10-5A-JANORO,0.2939204709473276,0.24538241076374478,-0.10181237836281237,-0.128747955366775
CSO-10-5A-JBUVE,0.5283025107261066,-1.9505964067657733,1.452307009691326,1.4173168282997797
CSO-10-5A-JJSEMO,-1.0139516038355245,-1.0490709975444075,0.2258904753791714,0.635244974232562
CSO-10-5A-JLCARI,0.32776172802770304,-1.6821374270051948,1.14331412686498,1.0458564719008567
CSO-10-5A-MAARAN,0.5283025107261066,1.2861510413001311,-1.3130065907928141,-1.394091822622577
CSO-10-5A-RVMOIB,0.19268244434483003,0.07540123638034753,-0.14789265599385007,-0.11000043893651194
CSO-10-5A-SVHEES,0.16643283021445404,-0.8905080177004405,0.7453641270232726,0.6679122918990336
CSO-11-5A-MDVOSPE,0.5283025107261066,0.15146156335316113,0.01841354420016538,0.12163557833961042
CSO-11-5A-MTAGA,-1.4545956365674155,1.1536186019606702,-0.8155479117101824,-0.8764643237932472
CSO-11-6A-CAPAMU,0.21077960478694546,0.04659942076953303,0.436753167016599,0.39809272170909954
CSO-11-6A-DSCACH,0.5283025107261066,0.643631329970571,-0.33624224576224176,-0.5091955738157077
CSO-11-6A-EROMO,0.13333499358227024,0.058128296704611386,-0.9536367079543232,-0.7949058883326847
CSO-11-6A-FSOVRE,-0.8401764923356178,-0.4564482569384641,0.706504311553091,0.9483280911009149
CSO-11-6B-ANREVA,0.5283025107261066,0.5556934803407764,-1.612112231750245,-1.4578494067106664
CSO-11-6B-DISEMO,-4.659600346037268,-0.12172857306935327,0.34517684554151545,0.5183171986458948
CSO-11-6B-LHFDLACH,0.5283025107261066,-1.251369354531653,1.7820046378837,1.7474091411895198
CSO-11-6B-RJGIHE,0.5283025107261066,-0.3361670057851852,0.014488470619724603,0.032399884695955616
CSO-11-6B-SFLVA,0.5283025107261066,-0.41353100186529995,0.9392797525697486,0.6859784250357253
CSO-11-6B-VCOMA,0.5283025107261066,-0.2923224755507933,0.35016365736139926,0.38868185184126713
CSO-12-6A-DGISE,-2.8808907951469713,-0.7317290021180821,-0.5965513409992538,0.023018266238189537
CSO-12-6A-FJOVRE,-0.1581122488456584,-2.114751114550762,2.214732103249257,2.1441965639803917
CSO-12-6B-GQULO,0.5283025107261066,-0.13502403649394068,-0.008610448839255677,-0.013005017062553787
CSO-12-6B-LJHEFE,0.23468777624901527,-0.652809601119077,1.2220737064111298,1.1494197119937122
CSO-12-6B-VPAMA,0.5283025107261066,-1.4328567242372394,0.32078850645205265,0.31091562843216053
CSO-12-7A-DALRE,0.5283025107261066,-0.17890955097175115,-0.34538696408391234,-0.0544034565691237
CSO-12-7A-ESALA,0.5283025107261066,0.950233001494471,-1.089857339720069,-1.0434037647497405
CSO-12-7A-IMERO,0.5283025107261066,-0.26664376837448256,0.8917488210390847,0.8211752456902265
CSO-12-7A-JHEZA,0.5283025107261066,-0.4048710689464039,0.8499281330662031,0.9935876266947511
CSO-12-7A-LSARAR,-0.5512753694670339,-0.27122740363847536,-0.24922607915899916,-0.29904753063807143
CSO-12-7A-SCAHO,0.16439985448122393,0.3016286242861032,0.048704035731833205,-0.0832986401814205
CSO-12-7B-DVAGRO,0.5283025107261066,-0.9083992132241926,0.8427866072785033,0.9204257666976889
CSO-12-7B-SMUGU,0.15366588370708834,0.46870703552411275,-0.3644164140876768,-0.3047887484193251
CSO-12-7B-SSARA,0.5283025107261066,-0.059991100281065725,-0.0842078926372176,-0.1418016821870609
CSO-12-7B-VHOMA,0.5283025107261066,0.38726736098694947,-0.017710862586716447,-0.13248088435386401
CSO-12-8A-YTOME,0.5283025107261066,-0.4799750049323518,0.1431730549725117,0.28261050571492335
CSO-13-6A-ANASA,0.1762662454457302,1.3373526794668051,-0.7537595858103657,-0.9376038964052317
CSO-13-6B-JETAVE,-0.38635910792277184,-0.554463629211449,0.19927007032701613,0.10596539482367998
CSO-13-6B-LFMIES,-2.028592468678702,0.9307056400993402,-1.5555483050966552,-1.5251943936321497
CSO-13-6B-LJMAHU,-0.8754829681628028,-0.298111957369254,0.02936735920243808,-0.3136085284124623
CSO-13-7A-CAPAMU,0.06562627635762816,0.29202124210481245,0.14413836378055747,-0.18405237286636542
CSO-13-7A-CDDITR,0.5283025107261066,1.3217113690724707,-1.6861197950135585,-1.6001102550906885
CSO-13-7A-JJATFL,-0.3645814503358808,0.3893486726894825,-0.6877507523733202,-0.659765496168648
CSO-13-7A-KRAMA,-2.691491167042894,-0.8405309513486425,0.13285086583540312,0.10640221172126392
CSO-13-7A-RXCHLU,0.5283025107261066,-0.26748748271638034,-0.04410765780623433,-0.09181232775332912
CSO-13-7A-YAMEZA,0.5283025107261066,0.20421331905672016,0.010976716198028381,0.03309787535018741
CSO-13-8A-KIGAGU,0.5283025107261066,-1.7586299434244936,2.042482507260634,1.9680423462319423
CSO-13-8A-MBUAN,-3.6926034870215108,2.0103511931405587,0.5726605701363569,0.2682631493973369
CSO-13-8A-MGAAN,-0.0354223666229901,-0.02928753690666267,-0.39894319015882,-0.38507283674510107
CSO-13-8A-MGAHE,0.5283025107261066,0.6552109940223433,-1.339671340409568,-1.1918754290988756
CSO-13-8A-MJAGA,0.5283025107261066,-0.30229204203793186,0.3883466895853929,0.3679282659775123
CSO-13-8A-VHODU,0.08765847799421544,-0.5908027049954073,-0.28695502476268814,0.1526063340024154
CSO-13-8B-FCJISA,0.029396173281271514,0.39983679752407913,-1.4025473734587144,-1.315581316360236
CSO-13-8B-JEMABE,-0.3407075476336945,0.21700736319113853,0.13532955346556813,0.02608030144211135
CSO-13-9B-DMLLLU,-2.6721646743792307,-1.3959724774894782,1.1274962747296373,1.1760189772421892
CSO-14-7A-MVEBE,0.5283025107261066,2.5203073771652775,-2.3608064836847857,-2.0964921215950656
CSO-14-7B-EVEGO,0.5283025107261066,0.2918656928949501,-0.05639634587040645,-0.10413383518154522
CSO-14-8A-AQUMA,-0.044924682296797434,1.2577917571862267,-0.5679358728479769,-0.7595282387067512
CSO-14-8A-MCIDOS,0.5283025107261066,-3.1807088288286818,0.6420812767800333,0.9290250050892086
