run_name,target,window,feature_type,covariates,n_subjects,n_candidate_predictors,n_selected_per_split,predictors,n_iter,alpha_mean,alpha_std,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,rmse_mean,rmse_std,rmse_ci_lower,rmse_ci_upper,mae_mean,mae_std,mae_ci_lower,mae_ci_upper,rho_mean,rho_std,rho_ci_lower,rho_ci_upper,frac_r2_below_zero
W10_z_all,MOT_V4,T2W10,z,,240,13,13,"z_nodes_T2W10, z_edges_T2W10, z_re_T2W10, z_pe_T2W10, z_l1_T2W10, z_l2_T2W10, z_l3_T2W10, z_lcc_T2W10, z_lsc_T2W10, z_atd_T2W10, z_density_T2W10, z_diameter_T2W10, z_asp_T2W10",400,612.786766375972,324.17803593040065,-0.0087910543464367,0.0507965811095252,-0.0137841736135704,-0.0037979350793029,3.4554519569728246,0.2539148537392049,3.430493049882541,3.480410864063108,2.857738911184605,0.181198675438714,2.8399277400831213,2.8755500822860887,0.0596766227190429,0.1993156757833884,0.0400846163426689,0.0792686290954169,0.46
W10_z_all,COG_V1,T2W10,z,,240,13,13,"z_nodes_T2W10, z_edges_T2W10, z_re_T2W10, z_pe_T2W10, z_l1_T2W10, z_l2_T2W10, z_l3_T2W10, z_lcc_T2W10, z_lsc_T2W10, z_atd_T2W10, z_density_T2W10, z_diameter_T2W10, z_asp_T2W10",400,351.63632661795833,361.2348716986248,-0.0034257848230278,0.0587218311721136,-0.0091979273614136,0.0023463577153579,1.3557983467978938,0.1157189118982438,1.3444235984201427,1.367173095175645,1.0667716494057276,0.0902217298936819,1.057903181331568,1.075640117479887,0.1207063058437138,0.1944990075988453,0.1015877604403091,0.1398248512471184,0.44
W10_z_top5,MOT,T2W10,z,,240,13,5,"z_nodes_T2W10, z_edges_T2W10, z_re_T2W10, z_pe_T2W10, z_l1_T2W10, z_l2_T2W10, z_l3_T2W10, z_lcc_T2W10, z_lsc_T2W10, z_atd_T2W10, z_density_T2W10, z_diameter_T2W10, z_asp_T2W10",400,341.44211978523344,259.69436754342354,0.0059148241185942,0.054433732914474,0.0005641860508226,0.0112654621863657,7.633775779860263,0.5452396370744282,7.580180705593133,7.687370854127394,6.521039682711116,0.4524575039994992,6.476564754843274,6.565514610578958,0.1081790084643941,0.1988681996033213,0.0886309873698535,0.1277270295589347,0.3775
W10_z_top5,COG,T2W10,z,,240,13,5,"z_nodes_T2W10, z_edges_T2W10, z_re_T2W10, z_pe_T2W10, z_l1_T2W10, z_l2_T2W10, z_l3_T2W10, z_lcc_T2W10, z_lsc_T2W10, z_atd_T2W10, z_density_T2W10, z_diameter_T2W10, z_asp_T2W10",400,270.9144614160766,300.48920894785147,-0.0128294072285012,0.0619346057978594,-0.0189173538335068,-0.0067414606234956,2.215853772927259,0.2926982444096092,2.1870825995196106,2.244624946334908,1.740665770443972,0.1928470445370942,1.7217096070043147,1.759621933883629,0.0979946623020314,0.1965049232472864,0.0786789426822974,0.1173103819217653,0.5525
W10_z_top5,MOT_V4,T2W10,z,,240,13,5,"z_nodes_T2W10, z_edges_T2W10, z_re_T2W10, z_pe_T2W10, z_l1_T2W10, z_l2_T2W10, z_l3_T2W10, z_lcc_T2W10, z_lsc_T2W10, z_atd_T2W10, z_density_T2W10, z_diameter_T2W10, z_asp_T2W10",400,359.97772522118305,279.9689394029583,-0.011196634197212,0.0577820751961335,-0.0168764021393636,-0.0055168662550604,3.4590959622092123,0.2564833986120652,3.433884576495112,3.484307347923313,2.858501876781667,0.1843431242097732,2.8403816177967003,2.8766221357666333,0.0678248338059522,0.2030286791164897,0.0478678526994588,0.0877818149124457,0.485
W10_z_top5,COG_V1,T2W10,z,,240,13,5,"z_nodes_T2W10, z_edges_T2W10, z_re_T2W10, z_pe_T2W10, z_l1_T2W10, z_l2_T2W10, z_l3_T2W10, z_lcc_T2W10, z_lsc_T2W10, z_atd_T2W10, z_density_T2W10, z_diameter_T2W10, z_asp_T2W10",400,212.2394334045277,268.0412270345305,-0.0047807178298419,0.0630471597556257,-0.0109780244445354,0.0014165887848514,1.3563995030548477,0.1138464953712227,1.3452088064150869,1.3675901996946085,1.0704508193612248,0.0896583762624588,1.061637726901109,1.0792639118213403,0.0942877648859878,0.194893331355975,0.0751304588907046,0.1134450708812711,0.465
W20_raw_all,MOT,T2W20,raw,,237,13,13,"nodes_T2W20, edges_T2W20, re_T2W20, pe_T2W20, l1_T2W20, l2_T2W20, l3_T2W20, lcc_T2W20, lsc_T2W20, atd_T2W20, density_T2W20, diameter_T2W20, asp_T2W20",400,543.5988947888137,380.6766161099543,-0.0104917139931154,0.0484809503388006,-0.0152572151732771,-0.0057262128129538,7.7293748102418,0.510821560757912,7.679162907759855,7.779586712723744,6.5993317593227525,0.4187127994328782,6.558173813244926,6.640489705400579,0.0561469438848702,0.1893753869815344,0.0375320317627413,0.0747618560069992,0.5
W20_raw_all,COG,T2W20,raw,,237,13,13,"nodes_T2W20, edges_T2W20, re_T2W20, pe_T2W20, l1_T2W20, l2_T2W20, l3_T2W20, lcc_T2W20, lsc_T2W20, atd_T2W20, density_T2W20, diameter_T2W20, asp_T2W20",400,590.7808786070266,370.5289608447245,-0.0152768488702782,0.0477689334113043,-0.0199723613747937,-0.0105813363657627,2.1943763040591167,0.2736457547119311,2.167477921129064,2.2212746869891693,1.7239403203824526,0.1808079620692642,1.706167554984863,1.7417130857800422,0.0718542797760783,0.189831860032126,0.0531944980124489,0.0905140615397078,0.58
W20_raw_all,MOT_V4,T2W20,raw,,237,13,13,"nodes_T2W20, edges_T2W20, re_T2W20, pe_T2W20, l1_T2W20, l2_T2W20, l3_T2W20, lcc_T2W20, lsc_T2W20, atd_T2W20, density_T2W20, diameter_T2W20, asp_T2W20",400,542.6912631884983,381.3165277758917,-0.0048006069720121,0.0502933797184679,-0.0097442633716446,0.0001430494276203,3.5289767003566306,0.2616701142802589,3.503255479347116,3.5546979213661456,2.91380416840336,0.1939952662603065,2.8947351389423317,2.9328731978643887,0.0838617578565997,0.2024041579765515,0.0639661649079004,0.1037573508052989,0.47
W20_raw_all,COG_V1,T2W20,raw,,237,13,13,"nodes_T2W20, edges_T2W20, re_T2W20, pe_T2W20, l1_T2W20, l2_T2W20, l3_T2W20, lcc_T2W20, lsc_T2W20, atd_T2W20, density_T2W20, diameter_T2W20, asp_T2W20",400,252.35361718491507,278.92053229105176,0.0041665485293138,0.1064666729242161,-0.006298738391066,0.0146318354496937,1.320907949295925,0.1193622343892101,1.3091750755615323,1.3326408230303175,1.0236539442794963,0.0880936802491253,1.0149946557495022,1.0323132328094904,0.1613432969098432,0.2040347711129431,0.141287420617448,0.1813991732022384,0.37
