subject,nodes_T2W20,re_T2W20,pe_T2W20,l1_T2W20,l2_T2W20,l3_T2W20,lsc_T2W20,asp_T2W20
CDMS-11-6B-JDCHBA,15.866279069767442,0.6744186046511628,0.2267441860465116,0.6627906976744186,0.2267441860465116,1.686046511627907,9.616279069767442,3.718743059645932
CDMS-11-6B-JFSAHE,17.42105263157895,0.4078947368421052,0.3026315789473684,0.125,0.2894736842105263,0.2894736842105263,10.947368421052632,4.253649588964075
CDMS-11-6B-JLPENA,16.387755102040817,0.4387755102040816,0.1836734693877551,0.7755102040816326,0.1836734693877551,0.2959183673469387,7.346938775510204,3.4702095773374286
CDMS-11-6B-JMARME,16.833333333333332,0.3191489361702128,0.5567375886524822,0.4964539007092198,0.5035460992907801,0.3085106382978723,9.060283687943262,4.201338387835489
CDMS-11-6B-JPSAMA,17.445945945945947,0.0,0.4324324324324324,0.2567567567567567,0.4324324324324324,0.4594594594594595,8.716216216216216,4.4088058480860335
CDMS-11-6B-LESTA,16.727272727272727,0.4793388429752066,0.256198347107438,0.3801652892561983,0.256198347107438,0.3884297520661157,9.31404958677686,3.7615553359239873
CDMS-11-6B-MAGIMU,16.555555555555557,0.4444444444444444,0.0,1.6666666666666667,0.0,0.0,8.0,4.485511982570806
CDMS-11-6B-MEBRTA,16.322314049586776,0.9586776859504132,0.4876033057851239,1.256198347107438,0.4710743801652892,0.2231404958677686,7.917355371900826,4.407976548195442
CDMS-11-6B-MMAMO,16.57487922705314,0.5314009661835749,0.4879227053140096,0.391304347826087,0.2415458937198067,0.5024154589371981,10.545893719806765,3.958142676560364
CDMS-11-6B-RSECA,17.704225352112676,0.1971830985915492,0.4366197183098591,0.2676056338028169,0.4366197183098591,0.5352112676056338,8.943661971830986,4.7051919252808805
CDMS-11-6B-SCAPA,17.516393442622952,0.4098360655737705,0.0,0.0,0.0,0.7868852459016393,9.844262295081966,4.360124531992394
CDMS-11-6B-VZAPE,16.325757575757574,0.0,0.6818181818181818,1.121212121212121,0.6818181818181818,0.3106060606060606,10.31060606060606,3.847303801289869
CDMS-11-6B-YLNIME,17.486486486486488,0.1486486486486486,0.2432432432432432,0.0,0.2432432432432432,0.3513513513513513,10.702702702702704,4.132579112726171
CDMS-11-7C-ICARE,16.178571428571427,0.4107142857142857,0.7142857142857143,0.0,0.6428571428571429,1.0178571428571428,12.089285714285714,3.5211827359148784
CDMS-11-7C-SALMA,16.3953488372093,0.5930232558139535,0.2093023255813953,0.127906976744186,0.2093023255813953,0.0,11.604651162790695,3.5818398826435764
CDMS-11-7C-SPGAVE,16.741935483870968,0.0806451612903225,0.3064516129032258,0.5967741935483871,0.3064516129032258,0.6774193548387096,8.17741935483871,4.012657515010706
CDMS-12-5A-SRIGO,16.882653061224488,0.6377551020408163,0.8316326530612245,0.096938775510204,0.5,0.5867346938775511,9.341836734693878,4.265540756499245
CDMS-12-6A-FAROPA,16.612716763005782,0.2716763005780346,0.2080924855491329,0.8786127167630058,0.2080924855491329,0.4335260115606936,9.820809248554914,3.968415300953017
CDMS-12-6A-JGIGA,17.088,0.392,0.144,0.136,0.144,0.064,11.016,3.862544827377645
CDMS-12-6A-JSOTGU,16.333333333333332,0.5,0.0,0.0,0.0,0.0,14.166666666666666,3.3583955804544043
CDMS-12-6A-SROAL,15.779661016949152,1.0677966101694916,0.0677966101694915,0.3559322033898305,0.0677966101694915,0.711864406779661,10.64406779661017,3.4653732331698435
CDMS-12-6B-IJDAGA,16.21395348837209,0.641860465116279,0.916279069767442,0.972093023255814,0.6465116279069767,0.7209302325581395,9.409302325581397,4.079048143319149
CDMS-12-6B-SCLAG,13.788732394366198,1.056338028169014,1.8732394366197185,0.8450704225352113,1.380281690140845,2.183098591549296,9.67605633802817,3.1303675198041394
CDMS-12-7C-ARAHE,16.22222222222222,1.0555555555555556,1.1666666666666667,0.0,0.6111111111111112,0.0,7.944444444444445,3.808335926963378
CDMS-12-7C-CATRAR,16.958333333333332,0.1666666666666666,0.0,0.0,0.0,0.75,10.395833333333334,3.612464985994398
CDMS-12-7C-DLOLO,16.87719298245614,0.4385964912280701,0.543859649122807,0.0,0.543859649122807,0.2105263157894736,10.157894736842104,4.045980325506153
CDMS-12-7C-JSZAOR,15.604651162790695,0.5930232558139535,0.4186046511627907,1.5116279069767442,0.2441860465116279,0.9186046511627908,9.011627906976743,3.91232155127774
CDMS-12-7C-MAROBE,17.528301886792452,0.2830188679245283,0.0,0.3584905660377358,0.0,0.7924528301886793,9.70754716981132,4.423140838592968
CDMS-12-7C-VMAPA,18.015384615384612,0.0769230769230769,0.0,0.0,0.0,0.0,12.76923076923077,4.032563837950836
CDMS-12-7C-VQURA,16.556451612903224,0.4193548387096774,0.4758064516129032,0.3064516129032258,0.4435483870967742,0.2580645161290322,11.419354838709678,3.672948910311589
CDMS-13-6B-ASUMO,14.636363636363637,0.9090909090909092,0.0,0.0,0.0,2.1818181818181817,10.181818181818182,3.2215784215784216
CDMS-13-6B-JDTAHE,16.383838383838384,0.1717171717171717,0.7676767676767676,0.7171717171717171,0.5959595959595959,0.4343434343434343,7.878787878787879,4.024524458838184
CDMS-13-7C-MVEAR,15.948453608247425,0.5051546391752577,1.1855670103092784,0.7010309278350515,0.8350515463917526,0.1752577319587628,9.31958762886598,3.863795888432032
CDMS-13-7C-RAIZAC,16.548387096774192,0.4408602150537634,0.4408602150537634,0.5161290322580645,0.2795698924731182,1.2473118279569892,8.161290322580646,4.311541932809285
