subject,re_T6W40,pe_T6W40,l2_T6W40,l3_T6W40,lcc_T6W40,y_true,y_pred
CSO-12-7B-VHOMA,0.17462921647478286,0.08711708897463334,0.0045819685556633735,0.48276180534440255,-0.1953507559178026,9,8.657734944668675
CSO-12-8A-YTOME,0.1702677013775042,0.12493933108445741,0.20899002286217813,0.12936486984487228,0.07459932210799688,10,8.812156868514007
CSO-13-6A-ANASA,0.17128228471143173,0.0886408044714098,-0.026901011141163573,0.3258511813321161,-0.019446890800746547,10,8.643421989810044
CSO-13-6B-JETAVE,-0.42106880020333465,0.16562714519165014,-0.0816586402975473,-0.4548317028102157,-0.10057941323055032,5,7.211484209887004
CSO-13-6B-LFMIES,0.15434643127420553,0.1580307793537961,-0.010695420883803472,-0.1444001302831831,0.06775720060754943,14,8.32903448130556
CSO-13-6B-LJMAHU,0.04921543123094207,-0.3663900554083548,0.13295470613368815,1.100171617897653,0.08813570011726496,10,9.108083021208198
CSO-13-7A-CAPAMU,0.1099806825815457,-0.7129979477993429,0.09889862627209209,-0.30642511134730555,0.05037404592269797,3,7.343825916866686
CSO-13-7A-CDDITR,0.15310332690326792,0.10002823888961676,-0.013412442048268466,0.48122689370182,0.035539812270093056,13,8.860481450953525
CSO-13-7A-JJATFL,0.11172641377812081,0.1544542106171875,0.2026160397390559,-0.13452671348609338,0.03416131481166006,6,8.47242688669693
CSO-13-7A-KRAMA,0.028796454484487616,0.14240305358334998,-0.017255891094585238,-0.16566607967447902,-0.03136219582750859,9,8.060910962708265
CSO-13-7A-RXCHLU,0.20129974719282145,0.10555882366892062,0.005582909011974923,0.5315898010255992,0.10575669392872537,8,9.053783596065042
CSO-13-7A-YAMEZA,0.18856030719799258,0.08368652522388635,-0.027749590703980587,0.45364050081096663,0.02768522049645542,7,8.82981858426232
CSO-13-7A-YBOSO,-0.17852033427085862,0.17004323514985104,-0.008778078245072169,-0.2099799894910184,-0.03071357120952809,10,7.846046883170376
CSO-13-8A-KIGAGU,0.11394725894020742,0.1378330310790877,-0.009541448143162743,-0.14316147133032833,0.042547651862291605,7,8.245620643645095
CSO-13-8A-MBUAN,0.07019939843593351,0.07752511347751648,-0.03681104934136324,0.4371381609428356,0.007898190022500851,7,8.659945434774421
CSO-13-8A-MGAAN,0.1408817860704126,0.08749364250223254,0.2321499554133586,0.5326433091600353,-4.068064824491583e-05,10,9.09712363373479
CSO-13-8A-MGAHE,0.11943531658715136,-0.05956599303175067,-0.09733615291864713,-0.12075330470626744,0.06451622271103898,9,8.010291709878524
CSO-13-8A-MJAGA,-0.5164703512816743,0.17610571246029785,0.23429056362625436,-0.1804105425878923,-0.032590646734272,6,7.784920356719713
CSO-13-8A-VHODU,0.17996818783581123,0.15330453682799144,-0.022744191834507477,-0.15804646335034406,0.06161629540518277,8,8.318093986121132
CSO-13-8B-FCJISA,0.1188733484409331,0.10495217182502276,-0.0287543713598229,-0.1521974529539589,-0.0924937287445907,3,8.054375588444582
CSO-13-8B-JEMABE,-0.874437362684063,0.1431047012334978,-0.0659685483398573,-0.14716834058336498,-0.04406624753373671,5,7.115459823329475
CSO-13-9B-DMLLLU,-0.08022247779420408,0.17292778594217129,-0.02416640125699187,-0.3220674349162972,-0.05578463613045352,7,7.794682457081226
CSO-14-7A-MVEBE,0.03482654278676989,0.1463174194128329,-0.06136626759782422,-0.16291743348303017,0.06082433089149746,10,8.121680213247247
CSO-14-7B-EALHU,-0.1444156124567514,0.13131603154759544,-0.02046997461841843,-0.41394255829668436,0.02114406495089462,5,7.677627572363636
CSO-14-7B-EVEGO,0.12193475520568806,0.13510849776320086,-0.024688069134450367,-0.14386911901631294,-0.037456769288931956,8,8.155024916766193
CSO-14-8A-AQUMA,0.11815258122645092,-0.5932665538342493,0.14387114399641787,-0.14758214983839915,-0.04076248999455691,8,7.584408152792664
CSO-14-8A-MCIDOS,-0.08942764845493327,0.15841661774541918,-0.014929959556398576,-0.3917569644580574,-0.04657265005516789,6,7.719725016457864
CSO-14-8A-SZARA,0.1591520533404389,0.17457801623767347,0.28726883949174237,-0.12414276228260747,0.06652030791800807,11,8.667372075942254
CSO-14-8B-JLLORA,0.1693220872991936,0.18807910646513087,-0.05864711011849302,-0.32673441482291243,0.049733779298945166,11,8.125749069358864
CSO-14-9A-AEDCAGO,0.14663238201706874,0.1345208190946765,-0.024560806484840735,-0.17617902972807628,0.003721945636369612,4,8.188130931772195
CSO-14-9A-HASACA,0.15910114837610254,0.11113006141371781,0.20460710887205677,0.7357481184601727,0.18526994898731944,11,9.49985200734637
CSO-14-9A-JSMAAL,0.08871488581209852,0.08210015987586322,-0.012941909688558757,0.4655012780072873,0.09366445203418458,9,8.821034487277874
CSO-14-9A-MARJA,0.12705410857953298,0.14601962310992417,-0.06008081529898522,-0.15365961608330567,0.07382114576165637,8,8.237150067305823
CSO-14-9A-SORZU,0.1776533268384316,-0.6614012237696908,0.15022049216758826,-0.15333837242132134,0.0459853883479482,10,7.663115232399956
CSO-14-9B-ERAGA,0.11741235282056497,-0.8152162646376201,0.13238185265683033,-0.31142187092365126,-0.053300192928037796,6,7.173851498225089
CSO-14-9B-MFEGA,-0.17179161964619236,0.17754154308450246,0.2143656471273038,-0.41386219476271835,0.013701217881209482,9,7.923950214921104
CSO-15-10A-LJRAGU,0.05433846692158958,0.10552907606439162,-0.8411511947938016,-0.13486045696258483,0.058410437494863736,7,7.3462619499614625
CSO-15-10A-MAARLO,0.03808095132694527,0.16906191233437448,-0.01595548204736343,-0.1439758011257571,0.058791828605321186,10,8.20999903033052
CSO-15-10A-SFEGA,-0.4293518973648178,0.07324782925793942,0.24688642515260242,-0.3352436050936028,-0.052718614989160396,9,7.606815758199965
CSO-15-10B-MEBUAR,0.18146358583285335,0.15652802612935962,0.2638081032315642,-0.14872060618644142,0.060430720827350175,8,8.617505451071683
CSO-15-10B-YVBUAN,0.12458664169504788,0.15997880545837745,-0.037772902539475066,-0.15688202598277395,0.06920927468346875,9,8.263115414551645
CSO-15-10C-ALBAHO,0.038276324436075,-0.5894953079742021,0.1273924034380533,-0.14395833257614205,0.04922540252212096,7,7.585436111082902
CSO-15-10C-SSCAMO,0.02706971897037631,-0.35665282514812296,0.12916752404564955,0.5212882097392981,0.09511277666871826,9,8.519981025512914
CSO-15-11C-JETALO,0.03202515304340836,-0.6473927210272736,0.10714515857444762,-0.2730155665491016,0.04084803802137257,8,7.363605683299851
CSO-15-7B-JCRAGA,0.17329014019493963,0.1814351123289584,-0.013631079277871985,-0.15956278572405327,0.071948211928391,12,8.357475220687363
