subject,nodes_T2W20,edges_T2W20,l2_T2W20,lcc_T2W20,y_true,y_pred
CDMS-15-10A-MAALCA,0.08044600321763959,0.1683288629036047,0.0,-0.12821761598245746,3,2.9999999999999964
CDMS-15-10A-MAALRI,0.07446689945116451,0.046495264599423144,0.0,-0.08609648783866305,3,2.9143084260731342
CDMS-15-10A-SGOMO,0.03356355266546422,0.16832886290360452,0.0,-0.08133516543028192,4,2.9999999999999964
CDMS-15-10A-SHEGA,-0.16650500224179784,0.05697557413096359,0.0,0.1187333894769839,3,2.8886467112273593
CDMS-15-11B-JEMOLO,-0.1684230493211364,-0.06180126722652718,0.0,0.12725804316292527,3,2.7764764764764713
CDMS-15-11B-VSAHO,0.1295543398327232,0.16832886290360496,0.0,-0.1773259525975378,3,3.0
CDMS-16-10A-SGALO,0.34463635154314215,0.16832886290360471,0.0,-0.39240796430796004,2,2.9999999999999964
CDMS-16-11B-NGABE,0.1088758712210253,0.16832886290360477,0.0,-0.15664748398584327,4,2.9999999999999964
CDMS-17-10A-ASSAMO,0.17374769284960376,0.16832886290360471,0.0,-0.22151930561442168,4,2.9999999999999964
CDMS-18-7C-VVECA,0.029067298169210692,0.1683288629036047,0.0,-0.07683891093402856,4,2.9999999999999964
CDMS-8-4A-DJAVDA,-0.36772234862043496,0.16832886290360466,0.0,0.3199507358556171,3,2.9999999999999964
CDMS-8-4A-DOSTR,-0.2869749345396873,0.16832886290360421,0.0,0.23920332177486991,3,3.0
CDMS-8-4A-LGOPA,-0.1698139138698977,-0.31934301950511756,0.0,0.16116036653893345,2,2.551446183025128
CDMS-8-4C-JDBUTU,-0.7183660958159044,-1.2224757347975408,0.0,1.1285006650952034,1,2.067101584342968
CDMS-9-4A-ACDUTR,-0.4859957944800882,-0.09479633125607195,0.0,0.46556186422536716,3,2.7642124883504167
CDMS-9-4A-CARGA,-0.15661300919251087,0.16832886290360516,0.0,0.10884139642769605,5,3.0
CDMS-9-4A-CRAAG,-0.274128755026843,0.16832886290360458,0.0,0.22635714226202522,2,2.9999999999999964
CDMS-9-4A-EROHI,0.09939861850053067,0.1683288629036046,0.0,-0.14717023126534845,3,2.9999999999999964
CDMS-9-4A-ILOSE,0.16781629561385925,0.03968469078117173,0.0,-0.1958911930297864,2,2.891052543226454
CDMS-9-4A-TGAFR,-0.11610586727422348,-0.33252334065130307,0.0,0.17546841569762386,2,2.606281957633307
CDMS-9-4C-SCAMO,0.1664375255394372,0.0499762245509649,0.0,-0.13039961449473092,0,2.965456885456881
CDMS-9-5A-ABERO,-0.299033240664311,0.16832886290360516,0.0,0.2512616278994962,1,3.0
CDMS-9-5A-VVAAR,0.20947484857676194,0.16832886290360508,0.0,-0.25724646134157664,4,3.0
CDMS-9-5C-JDMADE,-0.019819651402668354,0.07375483682273025,0.0,-0.01890181532569843,5,2.914476119955573
CDMS-9-5C-LVIZAC,-0.32611516766898957,-0.13546673597395614,0.0,0.28267575595768746,5,2.7005366021759514
CDMS-9-5C-MLOGO,-0.20139547128438395,0.1683288629036047,0.0,0.15362385851956611,3,2.9999999999999964
CDMS-9-5C-SCAAG,-1.0404951213932052,-0.267707173132427,0.0,1.1248556407605215,3,2.696096096096099
CDMS-XX-10A-VGILO,0.24187000235122524,0.04616359418661675,0.0,-0.2537609068215396,2,2.913715439577512
CDMS-XX-5C-MPCAQU,-0.014065223287011486,0.1683288629036047,0.0,-0.03370638947780639,3,2.9999999999999964
CDMS-XX-6B-SPUCA,0.06292015829325795,0.1498527596817358,0.0,-0.11069177105807504,6,2.9815238967781283
CSO-10-4A-KCOMO,0.21421525909036818,-0.045193938248061616,0.0,-0.2313376659482451,4,2.817126404755271
CSO-10-4A-LRAVI,0.25634289309186337,0.16832886290360455,0.0,-0.3041145058566811,2,2.9999999999999964
CSO-10-4A-LSCAVA,0.15058166968357997,0.1683288629036045,0.0,-0.19835328244839767,3,2.9999999999999964
CSO-10-5A-ACAVA,-0.06626235203848707,-0.33683483738204983,0.0,0.045078302446602214,3,2.521423862887275
CSO-10-5A-ARACA,-0.2567194538337556,0.16832886290360483,0.0,0.20894784106894115,1,3.0
CSO-10-5A-DABRZA,-0.2214998549403144,0.051313542498454184,0.0,0.17708753367038377,2,2.886343971089733
CSO-10-5A-GZAMA,-0.030192511090599033,0.14037783495257478,0.0,-0.009956094051211867,1,2.9796719796719735
CSO-10-5A-IPECA,0.22691629001820038,0.16832886290360452,0.0,-0.2746879027830181,2,2.9999999999999964
CSO-10-5A-JANORO,0.17057845218036224,0.09338516920991177,0.0,-0.21091763251275014,3,2.9324887387387335
CSO-10-5A-JBUVE,0.16911448821639855,0.16832886290360477,0.0,-0.21688610098121652,4,2.9999999999999964
CSO-10-5A-JJSEMO,-0.21278169367977878,-0.32480713023238905,0.0,0.3207372366421209,3,2.6625911625911627
