subject,edges_T2W20,diameter_T2W20,asp_T2W20
CDMS-8-4A-DOSTR,0.5283025107261066,-1.0301631704143157,-0.9918854964238417
CDMS-8-4A-LGOPA,-0.9968629155855284,-1.2446279719241597,-1.2279002524951041
CDMS-8-4C-JDBUTU,-3.8213579140085057,-2.395987463605542,-2.4658895467287807
CDMS-9-4A-ACDUTR,-0.29460621827774525,-1.7007555952039621,-1.8222846384302902
CDMS-9-4A-CARGA,0.5283025107261066,-1.4073452583106496,-1.3871165971076018
CDMS-9-4A-CRAAG,0.5283025107261066,-0.6555104413312417,-0.7590074286914176
CDMS-9-4A-EROHI,0.5283025107261066,0.8044764823120755,1.063310729421949
CDMS-9-4A-ILOSE,0.1259753504056816,0.24526824033689268,0.2796371822765759
CDMS-9-4A-TGAFR,-1.0380836027831462,-1.3751693753793637,-1.402245790972268
CDMS-9-4C-SCAMO,0.1581615232313093,0.4608333016450074,0.445180892128681
CDMS-9-5A-ABERO,0.5283025107261066,-0.08185315096428444,-0.18087861239502204
CDMS-9-5A-VVAAR,0.5283025107261066,1.138187779144834,0.9803157493192242
CDMS-9-5C-JDMADE,0.23252774902935988,0.002896360068245098,0.09929862562737977
CDMS-9-5C-LVIZAC,-0.42180054173030707,-0.41312905770271297,-0.36736907333808766
CDMS-9-5C-MLOGO,0.5283025107261066,-0.9208466406478085,-0.8798094067672377
CDMS-9-5C-SCAAG,-0.8353748116231197,-2.6485084640824375,-2.739221080134909
CDMS-XX-10A-VGILO,0.14623774368861647,0.30702609371439393,0.4592190451971229
CDMS-XX-5C-MPCAQU,0.5283025107261066,-0.37098780385822594,-0.27553594561732864
CDMS-XX-6B-SPUCA,0.47051957333841227,-0.10875181940186374,-0.024133441271832454
CSO-10-4A-KCOMO,-0.1394776213521228,0.7148847466933143,0.7590404966362141
CSO-10-4A-LRAVI,0.5283025107261066,0.9067164629593663,0.9387660029496955
CSO-10-4A-LSCAVA,0.5283025107261066,0.6707780460810029,0.5970010264306794
CSO-10-5A-ACAVA,-1.0515675578492265,-0.009453509962944192,-0.10536873553564684
CSO-10-5A-ARACA,0.5283025107261066,-1.2859166355169989,-1.313009072506141
CSO-10-5A-DABRZA,0.16234390727081044,-0.28943354791300907,-0.25673685861250406
CSO-10-5A-GZAMA,0.4408872977549902,-0.7820782942966583,-0.8501116391929011
CSO-10-5A-IPECA,0.5283025107261066,0.46798425800571086,0.5792259558344489
CSO-10-5A-JANORO,0.2939204709473276,0.9435228559923909,0.9304726794242352
CSO-10-5A-JBUVE,0.5283025107261066,1.7588402289360612,1.739948241333608
CSO-10-5A-JJSEMO,-1.0139516038355245,-1.3143254023403586,-1.1859856698915936
CSO-10-5A-JLCARI,0.32776172802770304,0.4841245429505631,0.4125016573550003
CSO-10-5A-MAARAN,0.5283025107261066,-1.4186486782743721,-1.381800932249881
CSO-10-5A-RVMOIB,0.19268244434483003,0.6009500545157586,0.6479354779523062
CSO-10-5A-SVHEES,0.16643283021445404,0.052926948593048216,0.028311024693983097
CSO-11-5A-MDVOSPE,0.5283025107261066,0.3426438840167389,0.43864338264412195
CSO-11-5A-MTAGA,-1.4545956365674155,0.20146924951478695,0.17138125897950174
CSO-11-6A-CAPAMU,0.21077960478694546,-0.5041952699732514,-0.5090499627649137
CSO-11-6A-DSCACH,0.5283025107261066,0.8593632087648309,0.7813462949466232
CSO-11-6A-EROMO,0.13333499358227024,0.4865350790796459,0.5860473058855536
CSO-11-6A-FSOVRE,-0.8401764923356178,-0.07680335087302505,-0.042540440086894685
CSO-11-6B-ANREVA,0.5283025107261066,-1.0896756489452895,-0.9404776869407518
CSO-11-6B-DISEMO,-4.659600346037268,0.48708802065048423,0.4928006558307765
CSO-11-6B-LHFDLACH,0.5283025107261066,0.7638460484444509,0.7378708644549469
CSO-11-6B-RJGIHE,0.5283025107261066,-0.6036626409758695,-0.5672903491327
CSO-11-6B-SFLVA,0.5283025107261066,1.5439503787028472,1.4341078025410559
CSO-11-6B-VCOMA,0.5283025107261066,0.5599993417752559,0.6197280635687025
CSO-12-6A-DGISE,-2.8808907951469713,-0.6786848369446277,-0.32978341396701405
CSO-12-6A-FJOVRE,-0.1581122488456584,-0.3223590627817602,-0.4306122600882353
CSO-12-6B-GQULO,0.5283025107261066,0.500585822853523,0.5020633804740977
CSO-12-6B-LJHEFE,0.23468777624901527,0.6497957077633992,0.5746163315583336
CSO-12-6B-VPAMA,0.5283025107261066,2.1080362355650375,2.205795366759984
CSO-12-7A-DALRE,0.5283025107261066,-3.0350995181784666,-3.070810218328782
CSO-12-7A-ESALA,0.5283025107261066,1.307410174347261,1.3574996302761673
CSO-12-7A-IMERO,0.5283025107261066,-0.1952189974239905,-0.1982486381067387
CSO-12-7A-JHEZA,0.5283025107261066,0.23549318702819655,0.28878598796900123
CSO-12-7A-LSARAR,-0.5512753694670339,1.2100284055463306,1.1744624551980327
CSO-12-7A-SCAHO,0.16439985448122393,0.3084402615985886,0.19944892850833032
CSO-12-7B-DVAGRO,0.5283025107261066,0.16993945956460293,0.20344716711706629
CSO-12-7B-SMUGU,0.15366588370708834,-0.5898072098119718,-0.564618723175879
CSO-12-7B-SSARA,0.5283025107261066,0.5116571485764346,0.49034701361287747
CSO-12-7B-VHOMA,0.5283025107261066,0.48104252614264476,0.45492732339517467
CSO-12-8A-YTOME,0.5283025107261066,0.22511659197742528,0.3118754169951408
CSO-13-6A-ANASA,0.1762662454457302,0.9556138450080711,0.8519915702435747
CSO-13-6B-JETAVE,-0.38635910792277184,-0.07304179060943158,-0.1632224197678558
CSO-13-6B-LFMIES,-2.028592468678702,0.10924461391049574,0.1533901627305279
CSO-13-6B-LJMAHU,-0.8754829681628028,-0.2520033177099329,-0.46486870205408437
CSO-13-7A-CAPAMU,0.06562627635762816,-0.019869875935510234,-0.1868302873349008
CSO-13-7A-CDDITR,0.5283025107261066,-1.3751693753793637,-1.2656705471596734
CSO-13-7A-JJATFL,-0.3645814503358808,-0.37079643808107077,-0.3247470931335775
CSO-13-7A-KRAMA,-2.691491167042894,-0.7018592325580135,-0.6995012854905622
CSO-13-7A-RXCHLU,0.5283025107261066,-1.169377474497627,-1.2092584265448239
CSO-13-7A-YAMEZA,0.5283025107261066,0.5021589418031733,0.5454480958573331
CSO-13-8A-KIGAGU,0.5283025107261066,1.4687326734086346,1.4105476615399384
CSO-13-8A-MBUAN,-3.6926034870215108,1.5162614904375022,1.2012440027816877
CSO-13-8A-MGAAN,-0.0354223666229901,1.0070243494841888,1.0202789695635417
CSO-13-8A-MGAHE,0.5283025107261066,-1.049475166758804,-0.9668439263146431
CSO-13-8A-MJAGA,0.5283025107261066,-0.7809913151403081,-0.8040632558404603
CSO-13-8A-VHODU,0.08765847799421544,-0.3566080326034882,-0.17525869404432398
CSO-13-8B-FCJISA,0.029396173281271514,0.3805546113355027,0.4835030594425925
CSO-13-8B-JEMABE,-0.3407075476336945,-1.4379870932185108,-1.4619009352411994
CSO-13-9B-DMLLLU,-2.6721646743792307,0.1730924385596207,0.12856918372893694
CSO-14-7A-MVEBE,0.5283025107261066,-2.3240669254950332,-2.0247832910249954
CSO-14-7B-EVEGO,0.5283025107261066,0.9064715767781757,0.9394671832918295
CSO-14-8A-AQUMA,-0.044924682296797434,-0.26913379234346096,-0.34446868693583116
CSO-14-8A-MCIDOS,0.5283025107261066,-0.5473632618021075,-0.3679924215083726
CSO-14-8A-SZARA,-0.29163005650917684,-0.44078059843252604,-0.4414103683931975
CSO-14-8B-JLLORA,0.5283025107261066,-0.548293960421119,-0.6951355996995834
CSO-14-9A-AEDCAGO,-0.28138089941875183,0.1700774023956342,0.14882316342091023
CSO-14-9A-HASACA,0.11254722952208746,-0.14228236286893728,-0.039419923186726095
CSO-14-9A-JSMAAL,0.5283025107261066,0.3728215310517543,0.33582422859666833
CSO-14-9A-MARJA,0.5283025107261066,0.7848001086780679,0.7104925073937443
CSO-14-9A-SORZU,-0.10057780783298795,-1.473589105896984,-1.5613315456033432
CSO-14-9B-ERAGA,0.5283025107261066,-0.49118290879995924,-0.5425966182465558
CSO-14-9B-MFEGA,0.5283025107261066,0.07665562007917169,0.07194538978643875
CSO-15-10A-LJRAGU,-0.5453108507919329,0.1649399845835509,0.17334093112925736
CSO-15-10A-MAARLO,-0.6828582689919587,-0.08285892867415058,0.008926331982090883
CSO-15-10A-SFEGA,-0.9071473022730886,2.5059650023475206,2.4201007955731466
CSO-15-10B-MEBUAR,0.5283025107261066,-0.2636524791412611,-0.22644452417998223
CSO-15-10B-YVBUAN,0.5283025107261066,-0.24958473752257734,-0.24025266276555102
CSO-15-10C-ALBAHO,0.5283025107261066,4.944266244157845,5.15770349123808
CSO-15-10C-SSCAMO,0.5283025107261066,0.57713272787696,0.5392682542526185
CSO-15-11C-JETALO,0.5283025107261066,-0.36915751335593733,-0.3878810019073814
CSO-15-7B-JCRAGA,0.5283025107261066,-0.810915211915125,-0.7709963229531052
CSO-15-8A-VBMABR,0.5283025107261066,-1.0178737181950956,-0.9187256399551296
CSO-15-8B-KEPOGO,0.5283025107261066,0.2870027620813543,0.3732655212551504
CSO-15-9B-ALRIHE,0.5283025107261066,0.44817014975626634,0.5002503705016887
CSO-15-9B-AMSAGO,0.5283025107261066,1.5883163339413071,1.4246794380629062
CSO-15-9B-JCAPA,0.04490943004260792,0.06773823370741684,0.11341171561820909
CSO-15-9B-KSBEJA,-0.6602235959085448,-0.8953335445596767,-0.9143223462559178
CSO-15-9B-RMCHLU,0.5283025107261066,-0.13998945212025904,-0.05970833444321561
CSO-16-10A-JEGAHE,-1.4603935843665181,-2.6137468706623586,-2.833640274306114
CSO-16-10A-MSACO,0.5283025107261066,0.48582854262801767,0.5254848062627278
CSO-16-10A-SMOUT,-2.8808907951469713,-1.1074111557922688,-1.8541971905268744
CSO-16-10A-YKMUJO,0.5283025107261066,-0.9799519799186457,-0.9674633736288563
CSO-16-10B-JESUGU,0.12458225082008482,0.08180125068411805,0.11800685691553846
CSO-16-10B-LTVIFA,0.5283025107261066,1.247986467326876,1.2142685653676746
CSO-16-10B-VVILI,0.5283025107261066,1.162871205170254,1.1789582956410898
CSO-16-10C-ACALGU,-0.19543685029722271,-0.20729950494273722,-0.17926304080785044
CSO-16-10C-MAVAVE,0.5283025107261066,-0.10042848925823515,-0.07820355895350647
CSO-16-11A-JAVABO,0.5283025107261066,-0.6462406830858871,-0.4910350637775674
CSO-16-11A-JDMUVA,0.5283025107261066,1.1966585619232228,1.1980330725134118
CSO-16-11A-VZAOR,0.5283025107261066,1.6471817773442938,1.6106599021229528
CSO-16-11B-KRORE,0.5283025107261066,-0.5363278353195428,-0.35231703326328834
CSO-16-11B-LLOZA,0.13333499358227024,1.2199199158691172,1.0815149689514887
CSO-16-11B-YAROMO,0.2660568718127938,0.4709340677145554,0.54982346948492
CSO-16-9A-JALEMO,0.5283025107261066,1.0211067021763358,0.991751278376167
CSO-16-9A-JPROSO,0.5283025107261066,0.8604485395138979,0.8109480774858531
CSO-16-9A-JSMAGU,0.5283025107261066,-0.2279947252395241,-0.10604997526715938
CSO-16-9B-SJPAJI,0.22749133667847707,-1.7515230338702032,-1.8932779035802538
CSO-17-10A-YVGOCA,-0.023184641694533395,0.8760444687651796,0.9480627623081083
CSO-17-10B-EHECO,-0.18350708061002804,-0.07793319681300706,0.027645977687346068
CSO-17-10B-YCQUVE,-1.3881079274865673,0.5555917010203862,0.5361625166565986
CSO-17-11A-DJAPA,-1.3656937703144976,-1.448589757878229,-1.4605032665482809
CSO-17-11A-JDAMO,0.5283025107261066,-0.8155449468878325,-0.8968991668925289
CSO-17-11A-NPAHE,0.5283025107261066,-0.2863183456972994,-0.34067019536696186
CSO-17-11A-RLPAIG,0.5283025107261066,-0.7836512170758474,-0.7386697171121679
CSO-17-11A-SPUVA,0.5283025107261066,1.2460426689995665,1.1334109996464483
CSO-17-11B-CDBEBU,-1.0710721265970669,0.41394500067908974,0.3009232012702455
CSO-17-11C-JDAAG,0.5283025107261066,1.0080801009153963,1.0191363777932672
CSO-17-11C-MAPAMA,0.137439583938115,0.5321404319509466,0.5088191891018113
CSO-17-11C-MCAAG,0.5283025107261066,2.057899321978386,1.9759506218488276
CSO-17-11C-SARJA,0.5283025107261066,0.35428535441269315,0.29569768076718944
CSO-18-11A-ADBAHO,0.5283025107261066,0.7159924263336915,0.8758523883149958
CSO-18-11B-YLLRE,0.5283025107261066,1.0256866222580328,1.0175820472829868
CSO-18-9B-MAMOLO,0.3427017290310057,0.2357409567285482,0.19932059682155848
CSO-8-3A-DAPAVA,-0.05789362331542816,0.5795485248880333,0.5621285829825924
CSO-8-3A-KVPECO,-5.153686332395694,-0.7650621296854304,-0.7032054430314828
CSO-8-4A-ARAGR,-0.48005043889831295,-0.46358727765981933,-0.4103697042614266
CSO-8-4A-JRAAR,-4.8862986221311395,0.17058860229887143,0.1907256918937365
CSO-9-2A-EXMOCO,-0.8723738087411355,1.1197560505406987,1.1084196155385058
CSO-9-4A-AGAPE,0.5283025107261066,1.4545634241940717,1.3588508301818518
CSO-9-4A-DKVIMO,0.5283025107261066,-0.3189779137281588,-0.21193303538139122
CSO-9-4A-DSMOMU,0.5283025107261066,0.18089064615035305,0.16450183976476485
CSO-9-4A-DVGATO,0.5283025107261066,-0.022761437051828995,-0.01146369499620914
CSO-9-4A-FAGIGA,0.5283025107261066,0.10566094448574534,0.21775944303617284
CSO-9-4A-GSBRCO,0.5283025107261066,0.1147623271517781,0.08960160407411473
CSO-9-4A-KEMOCO,-0.38635910792277184,-0.5944656919106152,-0.7439904468512112
CSO-9-4A-LCOMO,0.5283025107261066,-2.982707642928109,-2.8883662052921495
CSO-9-4A-MLORO,-0.06175017682883804,-2.203738332887067,-2.0157933165023216
CSO-9-4A-MPAME,0.5283025107261066,0.7620842952144197,0.6673601345146384
CSO-9-4A-NSARPA,-0.5512753694670339,-0.21519692467690946,-0.2250855120028663
CSO-9-4A-SLOCA,0.5283025107261066,-0.8044886988458666,-0.7644001258827512
CSO-9-4A-YVDITR,0.5283025107261066,0.8044764823120755,0.8488778412895669
