"target","window","set","metric","mean","std","ci_lower","ci_upper","t_critical","df","significant","run_name"
"MOT_V4","T7W20","VALIDATION","R2","-0.006685","0.018626","-0.008515","-0.004854","1.9659","399","True","W20_z_all"
"MOT_V4","T7W20","VALIDATION","RMSE","3.445498","0.177635","3.428037","3.462959","1.9659","399","True","W20_z_all"
"MOT_V4","T7W20","VALIDATION","MAE","2.855883","0.113659","2.844711","2.867055","1.9659","399","True","W20_z_all"
"MOT_V4","T7W20","VALIDATION","rho","0.030066","0.121332","0.018139","0.041992","1.9659","399","True","W20_z_all"
"MOT_V4","T7W20","TEST","R2","-0.007489","0.023907","-0.009839","-0.005139","1.9659","399","True","W20_z_all"
"MOT_V4","T7W20","TEST","RMSE","3.483358","0.271067","3.456714","3.510003","1.9659","399","True","W20_z_all"
"MOT_V4","T7W20","TEST","MAE","2.888787","0.179481","2.871144","2.906429","1.9659","399","True","W20_z_all"
"MOT_V4","T7W20","TEST","rho","0.041912","0.1838","0.023845","0.059979","1.9659","399","True","W20_z_all"
"COG_V1","T7W20","VALIDATION","R2","-0.014419","0.023643","-0.016743","-0.012095","1.9659","399","True","W20_z_all"
"COG_V1","T7W20","VALIDATION","RMSE","1.345213","0.077432","1.337602","1.352824","1.9659","399","True","W20_z_all"
"COG_V1","T7W20","VALIDATION","MAE","1.035269","0.054678","1.029895","1.040644","1.9659","399","True","W20_z_all"
"COG_V1","T7W20","VALIDATION","rho","-0.095944","0.119757","-0.107716","-0.084173","1.9659","399","True","W20_z_all"
"COG_V1","T7W20","TEST","R2","-0.019484","0.039279","-0.023345","-0.015623","1.9659","399","True","W20_z_all"
"COG_V1","T7W20","TEST","RMSE","1.355854","0.11356","1.344691","1.367016","1.9659","399","True","W20_z_all"
"COG_V1","T7W20","TEST","MAE","1.041213","0.081992","1.033153","1.049273","1.9659","399","True","W20_z_all"
"COG_V1","T7W20","TEST","rho","-0.110823","0.189876","-0.129487","-0.092159","1.9659","399","True","W20_z_all"
"MOT","T7W20","VALIDATION","R2","-0.008812","0.01995","-0.010773","-0.006851","1.9659","399","True","W20_z_top5"
"MOT","T7W20","VALIDATION","RMSE","7.627993","0.310964","7.597426","7.658559","1.9659","399","True","W20_z_top5"
"MOT","T7W20","VALIDATION","MAE","6.498602","0.224969","6.476489","6.520716","1.9659","399","True","W20_z_top5"
"MOT","T7W20","VALIDATION","rho","-0.004123","0.127973","-0.016702","0.008457","1.9659","399","False","W20_z_top5"
"MOT","T7W20","TEST","R2","-0.011407","0.024219","-0.013788","-0.009026","1.9659","399","True","W20_z_top5"
"MOT","T7W20","TEST","RMSE","7.758225","0.501228","7.708956","7.807493","1.9659","399","True","W20_z_top5"
"MOT","T7W20","TEST","MAE","6.588517","0.379902","6.551174","6.62586","1.9659","399","True","W20_z_top5"
