subject,edges_T6W50,re_T6W50,pe_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,y_true,y_pred
CDMS-11-6B-JPSAMA,2.8281534049248193e-05,0.00046163619945826834,0.0005459743214173394,0.0001540527693059851,4.3159114886228214e-05,0.0004066401497937023,0.0010618936294051746,0.0005155260268661595,10,8.004516094907475
CDMS-11-6B-LESTA,0.0,-0.0004297348462091936,-0.00039255874529145707,0.0,-9.610072213546515e-06,-0.0003678876452243719,-0.0014511491050797237,-0.00034927892687393726,8,7.9982987118214
CDMS-11-6B-MAGIMU,0.0,-0.000647325353937623,-0.0007158348551116675,0.0,0.0,-0.0005299572092164113,-0.0009806288912602473,-0.0010572491604902362,9,7.997367935692276
CDMS-11-6B-MEBRTA,0.0,-0.00014817248488688473,-0.0007422936966641693,-6.679707757020179e-05,0.0,0.00010076712849306675,-0.0008239804039806284,-0.00048252769243603354,9,7.9991359269352476
CDMS-11-6B-MMAMO,1.0236958305055374e-05,0.000544255147486781,0.0006038849015716609,4.848518018855553e-05,3.1928851324956795e-05,0.00040002503502760346,0.001701975060282701,0.0007523638757474751,9,8.005392086172227
CDMS-11-6B-RSECA,0.0,-6.722773892861899e-05,-0.0003719162861218818,0.0001327693880171914,0.0,7.673874922413306e-05,-0.0014609900416084232,0.0,10,7.999608305232875
CDMS-11-6B-SCAPA,0.0,0.0003922770772177825,0.0006974814652656698,0.00019631757442946802,-0.00029435473980057685,0.0002845122556490973,0.0017204774516294057,0.0010059972203127709,3,8.005301639466996
CDMS-11-6B-VZAPE,0.0,-0.000735894680135979,-0.0008581801823241761,-5.074357846698201e-05,0.0,0.00030134515985887745,-0.0009208322023206487,-0.00041350876729956236,12,7.998621116911604
CDMS-11-6B-YLNIME,1.2377214404838983e-05,0.0002664766242891003,0.0005482131678748152,0.0002774786436499132,8.492993516212578e-05,0.0005236796492563257,0.0009090190315960703,0.0012791230138597294,9,8.005200228442385
CDMS-11-7C-ICARE,0.0,-0.0007734566672489978,-0.0008397932034330382,7.621627219250946e-05,0.0,-0.0004334296318179157,-0.0008627176733078618,-0.0003458149635611002,11,7.998119935295116
