subject,edges_T6W50,re_T6W50,pe_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50
CDMS-12-7C-ARAHE,49.0,3.605405405405405,5.237837837837838,0.0,1.6324324324324324,2.5135135135135136,31.713513513513515,29.97297297297297
CDMS-12-7C-CATRAR,48.685224839400426,3.650963597430407,4.571734475374733,0.0,0.9207708779443254,1.7751605995717346,33.61456102783726,31.299785867237688
CDMS-12-7C-DLOLO,49.0,4.357429718875502,4.550200803212851,0.2891566265060241,0.1927710843373494,1.9518072289156627,31.995983935742974,29.879518072289155
CDMS-12-7C-JSZAOR,49.0,1.1691176470588236,2.3823529411764706,0.3161764705882353,1.213235294117647,0.9632352941176472,36.06617647058823,33.75735294117647
CDMS-12-7C-MAROBE,49.0,2.5487012987012987,3.7759740259740258,0.0,1.2272727272727273,1.3636363636363635,35.65909090909091,32.717532467532465
CDMS-12-7C-VMAPA,49.0,3.933962264150944,4.990566037735849,0.0,1.0566037735849056,1.3962264150943395,32.84905660377358,30.943396226415093
CDMS-12-7C-VQURA,48.672413793103445,3.683908045977012,4.630268199233717,0.0938697318007662,0.946360153256705,1.8218390804597704,33.86590038314176,30.33333333333333
CDMS-13-6B-ASUMO,47.624242424242425,2.2545454545454544,3.4909090909090907,0.5515151515151515,1.2363636363636363,2.6484848484848484,33.67878787878788,27.793939393939397
CDMS-13-6B-JDTAHE,48.23137254901961,3.3176470588235296,4.270588235294118,0.7686274509803922,0.9529411764705882,1.9058823529411764,33.56078431372549,29.36078431372549
CDMS-13-7C-MVEAR,48.80555555555556,3.5595238095238093,3.813492063492064,2.0873015873015874,0.5654761904761905,1.6805555555555556,30.70833333333333,29.015873015873016
CDMS-13-7C-RAIZAC,49.0,3.2135922330097086,5.12621359223301,0.4757281553398058,1.912621359223301,0.7281553398058253,33.52427184466019,31.864077669902912
CDMS-13-7C-SSOSLO,48.83190394511149,4.123499142367067,5.005145797598628,1.1389365351629503,0.888507718696398,2.6243567753001718,31.334476843910807,29.337907375643223
CDMS-14-10A-IMORTO,49.0,4.50185873605948,5.836431226765799,0.137546468401487,1.3345724907063197,1.2267657992565055,32.47211895910781,30.728624535315983
CDMS-14-10A-JCVANI,49.0,2.139759036144578,3.327710843373494,0.3542168674698795,1.1879518072289157,0.5518072289156627,35.790361445783134,32.44819277108434
CDMS-14-5A-LSDUCO,49.0,5.232919254658385,6.841614906832298,0.4565217391304347,1.608695652173913,2.074534161490684,30.39130434782609,28.5
CDMS-14-6B-KDCAHE,48.88838268792711,4.009111617312073,5.403189066059226,1.1298405466970387,1.612756264236902,1.6924829157175398,32.97949886104784,29.633257403189067
CDMS-15-10A-AMALOS,49.0,2.9445378151260506,4.363025210084033,1.226890756302521,1.4705882352941178,1.0016806722689076,33.73781512605042,31.54957983193277
CDMS-15-10A-JJMACH,48.879161528976574,2.4032059186189887,2.8951911220715165,0.4229346485819975,0.5388409371146733,1.0480887792848337,35.85203452527743,33.27250308261406
CDMS-15-10A-MAALCA,49.0,2.306784660766961,3.274336283185841,0.4336283185840708,0.967551622418879,1.4365781710914454,34.51032448377581,32.51622418879056
CDMS-15-10A-MAALRI,49.0,2.784313725490196,4.134803921568627,0.3602941176470588,1.3504901960784317,1.3406862745098038,35.22058823529412,32.450980392156865
CDMS-15-10A-SGOMO,49.0,2.854889589905363,3.195583596214511,0.2365930599369085,0.3406940063091482,1.3470031545741326,36.003154574132495,33.570977917981075
CDMS-15-10A-SHEGA,49.0,1.7882037533512063,2.721179624664879,0.131367292225201,0.9329758713136728,2.689008042895442,34.361930294906166,32.35120643431635
CDMS-15-11B-JEMOLO,49.0,3.468021068472536,4.27163280662152,0.6012039127163281,0.8743416102332581,1.015801354401806,34.93754702784048,32.154251316779536
CDMS-15-11B-VSAHO,49.0,4.338842975206612,4.785123966942149,0.6074380165289256,0.6446280991735537,0.987603305785124,33.44214876033058,31.33471074380165
CDMS-16-10A-SGALO,49.0,2.9051490514905147,3.81029810298103,0.2113821138211382,0.9051490514905148,1.4905149051490514,34.764227642276424,32.170731707317074
CDMS-16-11B-NGABE,48.77828054298642,2.3846153846153846,3.262443438914027,0.2217194570135746,0.8778280542986425,0.8574660633484162,35.776018099547514,32.866515837104075
