subject,density_T6W30,z_l1_T6W30,z_diameter_T6W30,z_asp_T6W30,y_true,y_pred
CSO-14-9B-ERAGA,0.6443052525739449,-0.039441820206453815,0.0,0.0,1,5.8656626010938755
CSO-14-9B-MFEGA,0.26905472753756543,-0.14516680543204297,0.0,0.0,11,5.384687090831907
CSO-15-10A-LJRAGU,-0.29580117750637097,0.14097937222021312,0.0,0.0,8,5.105977363440227
CSO-15-10A-MAARLO,0.11215941796386941,-0.022416101323947668,0.0,0.0,4,5.350542485366306
CSO-15-10A-SFEGA,0.9288650070215027,0.12216362760153465,0.0,0.0,2,6.311827803349422
CSO-15-10B-MEBUAR,-0.2495389185048618,0.1158307082316812,0.0,0.0,8,5.127090958453204
CSO-15-10B-YVBUAN,-0.18493827389702752,0.10983177708001965,0.0,0.0,6,5.1856926719093765
CSO-15-10C-ALBAHO,-0.5180016423703813,-0.25685048399983357,0.0,0.0,5,4.48594704235617
CSO-15-10C-SSCAMO,-0.6206956296262233,-0.1310949841720811,0.0,0.0,3,4.509008554928081
CSO-15-11C-JETALO,-0.10187051033302064,-0.15892865839336556,0.0,0.0,5,4.999999999999998
CSO-15-7B-JCRAGA,-0.13315229733938683,-0.3238578624341786,0.0,0.0,8,4.803789008952819
CSO-15-8A-VBMABR,-0.12882660465972326,0.16012660241889873,0.0,0.0,12,5.29209916648556
CSO-15-8B-KEPOGO,-0.9271550633256664,0.017671482153018836,0.0,0.0,5,4.351315587553736
CSO-15-9B-ALRIHE,-0.466866221989501,-0.23317548704509683,0.0,0.0,3,4.560757459691787
CSO-15-9B-AMSAGO,-0.6667399629113029,0.1242747887556166,0.0,0.0,15,4.718333994570698
CSO-15-9B-JCAPA,-0.16425766292224123,-0.02501107810106748,0.0,0.0,5,5.071530427703076
CSO-15-9B-KSBEJA,0.7717213761015448,0.007041923734584121,0.0,0.0,13,6.039562468562512
CSO-15-9B-RMCHLU,-0.12367969277012536,0.15197234234683643,0.0,0.0,5,5.2890918183030955
CSO-15-9B-SJAGRO,-0.9544373875465556,0.1267190019130563,0.0,0.0,3,4.433080783092885
CSO-16-10A-JEGAHE,-0.1521453887373525,0.07390016133297195,0.0,0.0,6,5.182553941322004
CSO-16-10A-MSACO,-0.5469687960363734,0.06343143121844008,0.0,0.0,5,4.777261803908451
CSO-16-10A-SARI,-0.27145166085613465,0.0051735940837800976,0.0,0.0,3,4.99452110195403
