subject,pe_T2W10,l2_T2W10,diameter_T2W10,asp_T2W10,z_pe_T2W10,z_l3_T2W10,y_true,y_pred
CDMS-8-4A-DOSTR,0.40780576781126343,0.164292077987699,0.11247427082502348,0.5143664125144047,0.43244960579206887,0.8086118650695416,17,17.0
CDMS-8-4A-LGOPA,-0.6477042133796188,-0.49241221773626526,-0.5385763344797925,-0.2736896573761073,-0.41107896919400755,-0.1965386078342073,12,12.0
CDMS-8-4C-JDBUTU,-0.8519501413672114,-0.7510827328183209,-2.350953216914095,-1.5344646102294215,-1.0912915888466594,-0.98025770982429,7,7.0
CDMS-9-4A-ACDUTR,-1.1409464406084484,-1.0241481462534812,-2.8423878037059644,-2.1537753364543155,-1.5160360101149135,-0.8827062628628752,5,5.0
CDMS-9-4A-CARGA,-0.8276840241719416,-0.9906459410358754,-1.653614858808758,-1.0535169846494772,-1.3978869694352567,-0.6366512218986893,8,8.0
CDMS-9-4A-CRAAG,4.357833714374148,2.0891706188905674,2.4436219738628284,1.4502459265085328,3.3440405285361874,3.755087237827738,32,32.0
CDMS-9-4A-EROHI,-1.6951951853552216,-1.862948794871897,-0.6112471590864175,-1.573685472476041,-2.1034276670790844,-1.7134957211313366,5,5.0
CDMS-9-4A-ILOSE,-0.7326887526957455,-0.7670010192241122,-3.2554459372425852,-1.1218278257294068,-1.0379051326555178,-0.6451313324526309,7,7.0
CDMS-9-4A-TGAFR,-0.9577865343818193,-1.090177899020081,-2.301496419155323,-1.368417126094579,-1.3323136051460507,-1.5098084162021452,6,6.0
CDMS-9-4C-SCAMO,-0.4596260526370475,-0.35406416434790305,-2.428885951925931,-0.13448585180977002,-0.5757961515869049,-0.6071418276924422,10,10.0
CDMS-9-5A-ABERO,1.4723784272617704,1.7264176710130201,0.6172224779350834,0.9549324377569948,1.613599807958228,1.055449178074905,22,22.0
CDMS-9-5A-VVAAR,-1.3042178431237517,-1.026524129978755,-2.6417846304932993,-1.493795503236004,-1.3581730728770895,-1.7355048202910988,5,5.0
CDMS-9-5C-JDMADE,-0.5302290765572995,-0.708131766419024,2.646644018622481,0.12855747086571812,-0.6875673268637462,-0.4092733196481281,15,15.0
