subject,pe_T2W10,diameter_T2W10,asp_T2W10,z_l3_T2W10
CSO-12-6B-GQULO,0.1893491124260355,7.3076923076923075,3.1411665257819106,0.1582268484710282
CSO-12-6B-LJHEFE,0.2831050228310502,6.616438356164384,2.912821627890121,0.0309296279778932
CSO-12-6B-VPAMA,0.0,8.055555555555555,3.364197530864198,-0.2496445175049807
CSO-12-7A-DALRE,0.1481481481481481,4.685185185185185,2.3418430335097,-0.4198090615378215
CSO-12-7A-ESALA,0.0384615384615384,7.826923076923077,3.30448717948718,-0.0835296818716461
CSO-12-7A-IMERO,0.1677419354838709,6.367741935483871,2.8430107526881723,-0.0646958417508613
CSO-12-7A-JHEZA,0.2654028436018957,7.156398104265403,3.0841044158579702,0.1838607220821236
CSO-12-7A-LSARAR,0.0,7.428571428571429,3.1514172335600907,-0.2554352757116342
CSO-12-7A-SCAHO,0.0851063829787234,7.00531914893617,3.0469604863221886,0.1399643984945752
CSO-12-7B-DVAGRO,0.5,6.882352941176471,2.9951680672268908,0.0221990161080804
CSO-12-7B-SMUGU,0.1584158415841584,6.415841584158416,2.852938865315103,-0.1438537985797338
CSO-12-7B-SSARA,0.3004694835680751,7.272300469483568,3.1284372904091216,-0.0549388830724507
CSO-12-7B-VHOMA,0.256,7.168,3.096031746031746,0.2821896708546151
CSO-12-8A-YTOME,0.4516129032258064,6.903225806451613,3.027726574500768,0.1188720714921962
CSO-13-6A-ANASA,0.0824742268041237,7.371134020618556,3.1607142857142856,0.1561935891175074
CSO-13-6B-JETAVE,0.3218390804597701,7.2011494252873565,3.0976737821565403,0.0123645868922749
CSO-13-6B-LFMIES,0.1212121212121212,6.984848484848484,3.016786916786917,0.1461154690034889
CSO-13-6B-LJMAHU,0.3934426229508196,6.672131147540983,2.927335415040333,-0.3502235553449079
CSO-13-7A-CAPAMU,0.2666666666666666,6.466666666666667,2.8825449735449737,0.0696957365950802
CSO-13-7A-CDDITR,0.1904761904761904,6.488095238095238,2.8964002267573696,0.3461996170047912
CSO-13-7A-JJATFL,0.0961538461538461,7.173076923076923,3.105006105006105,0.4941103331172511
CSO-13-7A-KRAMA,0.2857142857142857,6.678571428571429,2.9525226757369616,0.1594894247233386
CSO-13-7A-RXCHLU,0.256,6.576,2.908952380952381,-0.2274611850817231
CSO-13-7A-YAMEZA,0.1377410468319559,7.115702479338843,3.0711683938956664,0.0516005232463503
CSO-13-8A-KIGAGU,0.2882882882882883,7.333333333333333,3.1302087802087804,0.074321157837956
CSO-13-8A-MBUAN,0.0,6.419354838709677,2.825832053251408,0.4573549810963073
CSO-13-8A-MGAAN,0.0606060606060606,7.6856060606060606,3.250616281866282,0.0227377546152065
CSO-13-8A-MGAHE,0.3413461538461538,7.0,3.0566926129426126,-0.1483475175289225
CSO-13-8A-MJAGA,0.4137931034482758,6.459770114942529,2.8735221674876845,0.1641698096071527
CSO-13-8A-VHODU,0.2038216560509554,7.6050955414012735,3.23710949347892,0.1527419429849372
CSO-13-8B-FCJISA,0.0869565217391304,7.695652173913044,3.27833850931677,0.0596348225152233
CSO-13-8B-JEMABE,0.4426229508196721,5.557377049180328,2.5934035909445745,0.2714700540794387
CSO-13-9B-DMLLLU,0.135593220338983,6.745762711864407,2.9244686575195047,-0.2056715023602316
CSO-14-7A-MVEBE,0.0,8.416666666666666,3.467592592592592,-0.0727211385886378
CSO-14-7B-EALHU,0.3333333333333333,4.333333333333333,2.146031746031746,-0.2133317974437226
CSO-14-7B-EVEGO,0.135593220338983,7.293785310734464,3.137032553134248,0.0230440297464208
CSO-14-8A-AQUMA,0.1138211382113821,6.357723577235772,2.836165956897664,0.0041547249913028
CSO-14-8A-MCIDOS,0.8421052631578947,6.368421052631579,2.829782790309106,-0.5300230327585
CSO-14-8A-SZARA,0.3932584269662921,6.0,2.718735509184947,0.1302605784286331
CSO-14-8B-JLLORA,0.0,6.32258064516129,2.817204301075269,-0.047680728824126
CSO-14-9A-AEDCAGO,0.1411764705882353,6.8352941176470585,2.977735760971055,-0.2261607510000213
CSO-14-9A-HASACA,0.0601503759398496,6.984962406015038,3.041174364482635,-0.1208673536585333
CSO-14-9A-JSMAAL,0.0792079207920792,7.346534653465347,3.1504007543611507,-0.0118683235074729
CSO-14-9A-MARJA,0.0,7.603448275862069,3.251368363437329,0.2259766216167689
CSO-14-9A-SORZU,0.1415929203539823,5.911504424778761,2.6889591234723977,-0.1046839158450574
CSO-14-9B-ERAGA,0.0,6.972477064220183,3.040075724479394,0.1468734657729165
CSO-14-9B-MFEGA,0.4057971014492754,7.036231884057971,3.0496031746031744,-0.2456909022751535
CSO-15-10A-LJRAGU,0.3350785340314136,7.031413612565445,3.0484791822488155,0.0342411565878581
CSO-15-10A-MAARLO,0.1860465116279069,6.465116279069767,2.8700166112956813,0.3757838624470018
CSO-15-10A-SFEGA,0.0,7.875,3.306960978835979,-0.217789269438312
CSO-15-10B-MEBUAR,0.1333333333333333,7.2,3.0859391534391536,0.4141555760720622
CSO-15-10B-YVBUAN,0.1111111111111111,7.097222222222222,3.070160934744268,-0.0573932601825364
CSO-15-10C-ALBAHO,0.0,9.0,3.6666666666666665,0.0
CSO-15-10C-SSCAMO,0.0,6.939271255060729,3.009456333140544,0.467213074005798
CSO-15-11C-JETALO,0.3820754716981132,6.320754716981132,2.8074648098233004,0.2726334565161731
CSO-15-7B-JCRAGA,0.0,6.977272727272728,3.018939393939394,-0.2932730304454475
CSO-15-8A-VBMABR,0.146788990825688,6.743119266055046,2.9688000582495992,-0.1809960798123478
CSO-15-8B-KEPOGO,0.1344086021505376,7.306451612903226,3.136222051544632,0.0635576727906572
CSO-15-9B-ALRIHE,0.0470588235294117,7.605882352941176,3.237861811391223,-0.0056366704107108
CSO-15-9B-AMSAGO,0.1311475409836065,7.737704918032787,3.2871454592766067,-0.1746342537311114
CSO-15-9B-JCAPA,0.1666666666666666,7.006944444444445,3.0491347001763667,0.2609079965872418
CSO-15-9B-KSBEJA,0.042016806722689,6.823529411764706,2.9865679605175406,0.1428267776396248
CSO-15-9B-RMCHLU,0.2068965517241379,7.413793103448276,3.1782293377120965,0.0259731305620525
CSO-16-10A-JEGAHE,0.0,4.636363636363637,2.219444444444445,0.6114111717010194
CSO-16-10A-MSACO,0.0,6.147058823529412,2.7896825396825395,0.6893564635299694
CSO-16-10A-SMOUT,0.0,5.142857142857143,2.409863945578232,-0.2899490951539725
CSO-16-10A-YKMUJO,0.4,6.825,2.975892857142857,-0.3444620212681974
CSO-16-10B-JESUGU,0.0,6.662790697674419,2.924972314507198,-0.0312691872953171
CSO-16-10B-LTVIFA,0.2352941176470588,7.25,3.1301353874883286,0.4869747962692409
CSO-16-10B-VVILI,0.1438848920863309,7.640287769784172,3.2466598150051387,-0.2267848034578236
CSO-16-10C-ACALGU,0.1269841269841269,6.809523809523809,2.984282354917276,0.2023064923363664
