subject,nodes_T6W30,lcc_T6W30
CSO-16-11A-JDMUVA,24.35185185185185,24.35185185185185
CSO-16-11A-VZAOR,24.204819277108435,24.19277108433735
CSO-16-11B-KRORE,23.676,23.676
CSO-16-11B-LLOZA,24.61005199306759,24.60831889081456
CSO-16-11B-YAROMO,24.131147540983605,24.131147540983605
CSO-16-9A-JALEMO,23.77133105802048,23.77133105802048
CSO-16-9A-JPROSO,23.885106382978723,23.885106382978723
CSO-16-9A-JSMAGU,22.53900709219858,22.53900709219858
CSO-16-9B-SJPAJI,23.2641975308642,23.2641975308642
CSO-17-10A-YVGOCA,22.99688473520249,22.99688473520249
CSO-17-10B-EHECO,23.5752508361204,23.50167224080268
CSO-17-10B-YCQUVE,22.85275080906149,22.642394822006477
CSO-17-11A-DJAPA,23.399594320486816,23.393509127789045
CSO-17-11A-JDAMO,23.08041958041958,23.08041958041958
CSO-17-11A-NPAHE,24.03962703962704,24.03962703962704
CSO-17-11A-RLPAIG,22.699551569506728,22.699551569506728
CSO-17-11A-SPUVA,21.690647482014388,21.690647482014388
CSO-17-11B-CDBEBU,23.692307692307693,23.692307692307693
CSO-17-11C-JDAAG,24.81714285714286,24.81714285714286
CSO-17-11C-MAPAMA,23.05988023952096,23.05988023952096
CSO-17-11C-MCAAG,23.60126582278481,23.60126582278481
CSO-17-11C-SARJA,23.55905511811024,23.55905511811024
CSO-18-11A-ADBAHO,24.466019417475728,24.466019417475728
CSO-18-11B-YLLRE,23.57667386609071,23.57667386609071
CSO-18-9B-MAMOLO,23.100376411543287,23.100376411543287
CSO-8-3A-AIPRBR,21.789156626506024,21.789156626506024
CSO-8-3A-DAPAVA,21.781786941580755,21.781786941580755
CSO-8-3A-KVPECO,22.20567375886525,22.20212765957447
CSO-8-4A-ARAGR,23.495049504950494,23.46039603960396
CSO-8-4A-JRAAR,20.11525423728813,20.061016949152545
CSO-9-2A-EXMOCO,21.6875,21.538194444444443
CSO-9-4A-AGAPE,22.79032258064516,22.79032258064516
CSO-9-4A-DKVIMO,21.41046831955923,21.363636363636363
CSO-9-4A-DSMOMU,23.639798488664987,23.56675062972292
CSO-9-4A-DVGATO,22.83137254901961,22.788235294117648
CSO-9-4A-EGCAMO,21.47422680412371,21.47422680412371
CSO-9-4A-FAGIGA,22.853174603174605,22.77380952380953
CSO-9-4A-GSBRCO,20.7744874715262,20.7744874715262
CSO-9-4A-KEMOCO,21.29179331306991,21.29179331306991
CSO-9-4A-LCOMO,23.68307692307692,23.68307692307692
CSO-9-4A-MLORO,21.870535714285715,21.870535714285715
CSO-9-4A-MPAME,21.484536082474225,21.427835051546392
CSO-9-4A-NSARPA,22.961290322580645,22.95806451612903
CSO-9-4A-SLOCA,21.44694533762058,21.44694533762058
CSO-9-4A-YVDITR,19.63210702341137,19.62876254180602
