subject,z_pe_T2W20,z_l2_T2W20,z_density_T2W20,z_diameter_T2W20,z_asp_T2W20,y_true,y_pred
CSO-12-6A-FJOVRE,-0.9813959623972586,-1.7525794356664017,0.15170783583323022,-0.9083374605178843,-0.7380663181940695,8,10.941451
CSO-12-6B-GQULO,-0.7895532979965202,-1.622097214698793,0.727421840985615,-1.4179364210764567,-0.7966093212763461,7,11.271348
CSO-12-6B-LJHEFE,-0.908641602516174,-1.6908482713699329,0.718917711257935,-0.984733545303345,-0.34720848274231264,2,11.957608
CSO-12-6B-VPAMA,-0.4170141000747672,-0.6255524876912426,1.591661244710283,-1.3488520339330032,-0.3158177267710367,23,14.054547
CSO-12-7A-DALRE,3.3349013430277474,1.2404406156539947,0.8869158353805532,-0.1949888127644872,0.2643164450327577,23,20.701708
CSO-12-7A-ESALA,-0.9295990772247287,-0.27990189743041716,-1.9865481046040838,2.593838149388625,0.5063692550659161,17,15.074281
CSO-12-7A-IMERO,-0.8197478729883841,-0.5355161053339649,1.1684867741266867,-0.27092403316497804,-1.1003940080006887,18,13.612027
CSO-12-7A-JHEZA,-0.7487041838963807,-1.5579749743143707,1.097635459899901,-0.25993712743123454,-0.48254417578379494,23,13.218597
CSO-12-7A-LSARAR,-0.28312085056305,-0.4277552928924546,1.1487535931269306,0.1523992118835448,-0.08253309313456181,20,15.677866
CSO-12-7A-SCAHO,-0.6906626618703224,-0.6735111249287923,0.28628809483845996,-1.534395168304442,0.02841161282857163,6,12.586253
CSO-12-7B-DVAGRO,0.22870490360260054,-1.3991668831507358,0.7267881994247419,-0.3436883945465096,-0.8396074298222856,21,13.543153
CSO-12-7B-SMUGU,-0.8535598300298048,-0.4189799013137806,0.32258943970997955,-0.09051879787445238,-0.13875709915161105,12,13.990896
CSO-12-7B-SSARA,0.4671056187947577,0.354992743810018,0.8506301527023299,-0.9650830669403058,-0.06097060553232825,7,15.816797
CSO-12-7B-VHOMA,0.1772055355707801,1.0869306039810147,0.2557625563939409,-0.9800668493906648,-0.06696319421132202,22,15.642991
CSO-12-8A-YTOME,3.2479173669815027,2.844397197723387,1.331100064277649,-0.8654643716812116,0.009840460777285287,29,21.737913
CSO-13-6A-ANASA,-0.6780935796101891,-0.46854779879252156,-2.0545508591334,-0.06338482220967816,0.06526935100555331,11,11.970815
CSO-13-6B-JETAVE,0.6268995135625187,1.17041443602244,0.9838191471099832,-0.9991992829640673,-0.8110135180155438,23,16.141043
CSO-13-6B-LFMIES,-0.5133784624735513,0.6276321096420273,-1.8246299009323104,1.7990502710342395,1.3653319107691446,23,16.624128
CSO-13-6B-LJMAHU,0.5974957017898564,3.343648218790688,1.3240689306259166,-1.092331298510233,-0.23966953945160085,24,19.103334
CSO-13-7A-CAPAMU,0.1464386390050257,0.44887661043802773,0.3566478735605868,-1.1990661519368484,-0.06714436944325783,15,14.855875
CSO-13-7A-CDDITR,-0.7283924446105976,-1.212762267748514,-2.0702962408065755,2.0269957548777233,1.2622764720916735,11,14.447944
CSO-13-7A-JJATFL,-0.5548801956176757,-0.5717811848322542,0.31659234905242833,0.05149363899230919,0.08145205561319892,18,14.492999
CSO-13-7A-KRAMA,0.029091998418169673,3.13378686714172,1.0536494061152146,-1.077836337407428,-0.7654717575709002,17,17.543343
CSO-13-7A-RXCHLU,-0.7916307961146041,-1.7417709306081128,1.109064170201617,-1.2737759100596089,-0.0008051430384332647,5,12.471204
CSO-13-7A-YAMEZA,-0.9421000687281292,-1.4582759761810313,0.2624363740285238,-1.412766311963398,-0.8458511384328214,7,10.773565
CSO-13-8A-KIGAGU,0.1192254311243679,-1.4617882960637396,0.362868161837258,-0.8371348978678383,-0.6584848063786822,9,12.694808
CSO-13-8A-MBUAN,-0.5575732542673772,-0.3785160884857186,-2.183421058019002,-1.5326430552800485,-0.47187024847666315,8,10.046099
CSO-13-8A-MGAAN,-0.387609238624571,-0.5235895665486626,0.882653096516925,0.02217252254486038,0.05008267402648611,25,15.213832
CSO-13-8A-MGAHE,-0.45098821576436304,-1.2408060862223287,0.22040767415364804,1.734471169153845,1.247066101074217,24,16.680273
CSO-13-8A-MJAGA,-0.5846689011255902,-1.5440257304509488,0.9760960346857717,-1.5129212579727176,-0.5103579832712815,5,11.994245
CSO-13-8A-VHODU,-0.9676088199615468,-0.533573976516724,0.8600023482640545,0.2536086359024039,-0.7816970628102593,17,14.000854
CSO-13-8B-FCJISA,-0.788746070226033,-1.391827790896096,0.24796761735280526,1.703215025901791,0.9160507637659693,11,15.856782
CSO-13-8B-JEMABE,-0.6416084585189834,-1.6026847642262783,0.2309316244125359,-1.470192973772684,-0.9219785318374624,9,10.764589
CSO-13-9B-DMLLLU,-0.4191519854863472,-0.6511023098627718,1.5691946261723817,-0.8994903745651242,-0.10385905965169434,26,14.665713
CSO-14-7A-MVEBE,0.6945266993840518,0.7180859549840284,-2.324529946645097,3.2339067999521878,1.4455883502960192,25,18.9377
CSO-14-7B-EVEGO,-0.9353858922322574,-1.498900223414103,0.2870748211542729,-1.2848155918121331,-0.07949567381540978,4,11.6586
CSO-14-8A-AQUMA,-0.3580631008148197,-0.30913200283050346,-2.197786824544273,0.13014500395456932,0.004257280985513923,9,12.439543
CSO-14-8A-MCIDOS,2.2847809123992935,2.23056976318359,3.8020424302419036,-0.2939863999684655,0.03664208412170389,27,23.230171
CSO-14-8A-SZARA,0.6384446109135964,3.5464828567504876,1.5475018037160237,0.02416458257039178,-0.4947418565750121,30,20.431974
CSO-14-8B-JLLORA,3.894502925554906,1.5755221045811976,0.4769407428105676,-1.193204824447628,-0.0065421298344938705,31,19.917341
CSO-14-9A-AEDCAGO,-0.7577670434316006,-0.4528830881118774,-1.8337015155156458,-0.01102966658274429,-0.09613396040598461,7,12.018607
CSO-14-9A-HASACA,-0.28446177005767925,-0.14715406099955164,-2.1835156917572,2.8154525868097924,0.2901466941833482,19,15.66059
CSO-14-9A-JSMAAL,-0.668838184674583,-0.3440457709630339,-2.0671142133076983,0.05838496049245201,-0.07412928422291971,10,12.07438
CSO-14-9A-MARJA,-0.25975054931640695,-0.34088852596282854,0.33921625105539865,-0.027537614822388562,0.10042352803548202,10,14.9815855
CSO-14-9A-SORZU,-0.2516536013285318,0.24727407773335874,0.3234134833017968,0.3727630519866952,-0.1071701272328709,21,15.754749
CSO-14-9B-ERAGA,-0.38810086409251027,-0.5008350292841607,0.42882049719492565,-1.5312243556976322,-1.1048261721928894,6,12.0739565
CSO-14-9B-MFEGA,0.27757106018066446,1.0482187480926515,1.105073403040568,0.5677524665196728,-0.1195342187881474,27,18.049204
CSO-15-10A-LJRAGU,0.5020576073328652,1.6044721167882257,0.41108048693339105,0.06525816853841336,-0.10597236061096282,17,17.647018
CSO-15-10A-MAARLO,-0.8166894950866705,0.7707960106531795,0.8256186192830379,-1.3805524228413906,-0.8156339699427275,14,13.753661
CSO-15-10A-SFEGA,-0.8758542620340997,-0.7146510651906336,0.6742797180811548,-1.20684063943227,-0.9693336156209301,5,12.077723
CSO-15-10B-MEBUAR,-0.985677691141765,-0.7640828917821245,0.7338245544433564,-1.3363386780420925,-0.9562964223225907,16,11.861551
CSO-15-10B-YVBUAN,-0.27591254520416303,-0.4802988144556674,0.3379510914484663,0.11636308066050079,0.027755608876545823,24,14.895981
CSO-15-10C-ALBAHO,-0.6648603445688875,-1.1521609662373846,-1.7733512725830074,2.0294990358352627,0.4450562105178828,13,14.054305
CSO-15-10C-SSCAMO,-0.241173175175984,-0.35658109823862694,0.2704361708958929,-0.29611204942067537,-0.8365482187271114,10,13.710144
CSO-15-11C-JETALO,-0.6999392627080288,-0.6208091742197667,0.2523437891006446,-0.6769145177205395,-1.1528572947184244,15,12.271946
CSO-15-7B-JCRAGA,-0.21143978786468468,0.07588920879363892,-2.2945836149851453,3.3209747390747064,1.4521214529673232,20,17.513084
CSO-15-8A-VBMABR,-0.5572538350423173,-0.21503795210520416,0.41799707667033026,2.8298933245340945,0.571012904802959,31,18.216734
