feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG,abs_r_MOT_V4,abs_r_partial_MOT_V4,abs_r_COG_V1,abs_r_partial_COG_V1
diameter,raw,2,T2W20,237,-0.07990072023941432,0.22038206481451678,-0.08462409590144707,0.19516765458789667,-0.013175977209262129,0.8400903552826644,-0.05040085862381323,0.4409134824602341,-0.09167744995434514,0.159469260124289,-0.09662920679366746,0.13886529522248275,0.0951921581525721,0.14400546591935223,0.07900361292397093,0.22661549583415877,0.07990072023941432,0.08462409590144707,0.013175977209262129,0.05040085862381323,0.09167744995434514,0.09662920679366746,0.0951921581525721,0.07900361292397093
asp,raw,2,T2W20,237,-0.07442783686713846,0.25373357095777055,-0.0790882661862424,0.22611665232194056,-0.010011970007007247,0.8781449455525007,-0.04719809900688879,0.47052603205661253,-0.08153743170596124,0.21104406004306375,-0.08636235586349841,0.18611790138373643,0.0978836861616831,0.1329568072403868,0.08171354970243043,0.21103122254739282,0.07442783686713846,0.0790882661862424,0.010011970007007247,0.04719809900688879,0.08153743170596124,0.08636235586349841,0.0978836861616831,0.08171354970243043
z_re,z,2,T2W20,237,-0.05391373820268181,0.4086882128763122,-0.05176569932541461,0.42862412597557864,-0.052002545899390906,0.42552323860034286,-0.02812525545724773,0.6672979696081313,-0.05037637905644897,0.4401591815361012,-0.04815950783472711,0.46152407754395836,0.01147687135115807,0.8604857726469307,0.024155578685391373,0.7120020451948581,0.05391373820268181,0.05176569932541461,0.052002545899390906,0.02812525545724773,0.05037637905644897,0.04815950783472711,0.01147687135115807,0.024155578685391373
z_pe,z,2,T2W20,237,0.13106051757747714,0.043832808117167846,0.1312979469997659,0.04389842607669758,0.025901700102789166,0.6915813736836107,0.028567764186963784,0.6623831361040596,0.12246971016922485,0.059765248003240755,0.12270939027791956,0.05980782713881892,0.007762267243758307,0.9053794796161027,0.008808087549524203,0.8929308543987678,0.13106051757747714,0.1312979469997659,0.025901700102789166,0.028567764186963784,0.12246971016922485,0.12270939027791956,0.007762267243758307,0.008808087549524203
z_l1,z,2,T2W20,237,-0.024963113267163127,0.7022166131637564,-0.02134447553489217,0.7442759034225067,-0.04429328342289834,0.49738223455535097,-0.005112506391248133,0.9377299640806304,-0.07393437194608547,0.2569037368970224,-0.07108248866890295,0.27678576331124094,0.03395302871431358,0.6030031818748328,0.05490281347992747,0.4011392972954892,0.024963113267163127,0.02134447553489217,0.04429328342289834,0.005112506391248133,0.07393437194608547,0.07108248866890295,0.03395302871431358,0.05490281347992747
z_l2,z,2,T2W20,237,0.13603735078545298,0.03635495242066591,0.13642884794447094,0.036212361301139175,0.030122039394318262,0.6445289625277524,0.0343313778377155,0.5997479171872822,0.12068432134439327,0.06361425443327841,0.12107746751000474,0.06331273063451451,0.00956375064239625,0.8835606429661498,0.011327905521772236,0.8625695577194151,0.13603735078545298,0.13642884794447094,0.030122039394318262,0.0343313778377155,0.12068432134439327,0.12107746751000474,0.00956375064239625,0.011327905521772236
z_l3,z,2,T2W20,237,-0.14755462342863856,0.023085595412748187,-0.15129711766871076,0.020054243526713564,-0.10051616861381835,0.12279291017209765,-0.1304892136155957,0.04522668452255749,-0.10420499245994937,0.10957797406244142,-0.10767217086008618,0.09892058409257902,-0.037195606186791234,0.5688209503047273,-0.05085083766362232,0.43683975330370034,0.14755462342863856,0.15129711766871076,0.10051616861381835,0.1304892136155957,0.10420499245994937,0.10767217086008618,0.037195606186791234,0.05085083766362232
z_lsc,z,2,T2W20,237,-0.006193973889186766,0.9244325631108662,-0.007936296857336787,0.9034737954858786,0.08267827412204388,0.20470554634621038,0.06749927885914031,0.30178361537956255,-0.01189550369833932,0.8554515325376546,-0.01368783125348218,0.8343157049294682,0.00033444870501841,0.9959136119001343,-0.008245598696431624,0.8997312415054245,0.006193973889186766,0.007936296857336787,0.08267827412204388,0.06749927885914031,0.01189550369833932,0.01368783125348218,0.00033444870501841,0.008245598696431624
z_density,z,2,T2W20,237,-0.09063186804890826,0.1643022172040442,-0.09644079858028591,0.1396406641494795,0.002238907994739491,0.9726495993661369,-0.03990368256212712,0.5418616763877516,-0.06230355462953188,0.33957362917953715,-0.06767432197581572,0.30052881214351335,-0.0057972652954368445,0.9292594166794342,-0.02670175303756971,0.6832039975110543,0.09063186804890826,0.09644079858028591,0.002238907994739491,0.03990368256212712,0.06230355462953188,0.06767432197581572,0.0057972652954368445,0.02670175303756971
z_diameter,z,2,T2W20,237,-0.033808360612049136,0.6045494076587723,-0.031613375429564654,0.6289565185439645,-0.10114094835344542,0.12047158144469378,-0.07983466201740079,0.2217519780285429,-0.03807457045068473,0.559716221438884,-0.03586327786930617,0.5835592102547293,-0.05637406226043696,0.38760631982639215,-0.045055584662552495,0.4909290692992677,0.033808360612049136,0.031613375429564654,0.10114094835344542,0.07983466201740079,0.03807457045068473,0.03586327786930617,0.05637406226043696,0.045055584662552495
