run_name,target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
W150_z_top5,MOT,T6W150,TEST,R2,-0.011377,0.01413,-0.012766,-0.009988,1.9659,399,True
W150_z_top5,MOT,T6W150,TEST,RMSE,7.825065,0.483244,7.777564,7.872566,1.9659,399,True
W150_z_top5,MOT,T6W150,TEST,MAE,6.709589,0.367478,6.673467,6.745711,1.9659,399,True
W150_z_top5,MOT,T6W150,TEST,rho,-0.142673,0.174434,-0.15982,-0.125527,1.9659,399,True
W150_z_top5,COG,T6W150,VALIDATION,R2,-0.011604,0.042909,-0.015822,-0.007386,1.9659,399,True
W150_z_top5,COG,T6W150,VALIDATION,RMSE,2.254189,0.186954,2.235813,2.272566,1.9659,399,True
W150_z_top5,COG,T6W150,VALIDATION,MAE,1.763791,0.125058,1.751498,1.776084,1.9659,399,True
W150_z_top5,COG,T6W150,VALIDATION,rho,0.058587,0.123814,0.046417,0.070758,1.9659,399,True
W150_z_top5,COG,T6W150,TEST,R2,-0.016866,0.060939,-0.022856,-0.010876,1.9659,399,True
W150_z_top5,COG,T6W150,TEST,RMSE,2.181802,0.274617,2.154808,2.208795,1.9659,399,True
W150_z_top5,COG,T6W150,TEST,MAE,1.700384,0.194011,1.681314,1.719455,1.9659,399,True
W150_z_top5,COG,T6W150,TEST,rho,0.04966,0.188167,0.031163,0.068156,1.9659,399,True
W150_z_top5,MOT_V4,T6W150,VALIDATION,R2,-0.01493,0.025192,-0.017406,-0.012454,1.9659,399,True
W150_z_top5,MOT_V4,T6W150,VALIDATION,RMSE,3.473979,0.169497,3.457318,3.49064,1.9659,399,True
W150_z_top5,MOT_V4,T6W150,VALIDATION,MAE,2.886927,0.113158,2.875804,2.89805,1.9659,399,True
W150_z_top5,MOT_V4,T6W150,VALIDATION,rho,-0.055069,0.116678,-0.066538,-0.0436,1.9659,399,True
W150_z_top5,MOT_V4,T6W150,TEST,R2,-0.020086,0.031186,-0.023151,-0.01702,1.9659,399,True
W150_z_top5,MOT_V4,T6W150,TEST,RMSE,3.492587,0.263545,3.466682,3.518493,1.9659,399,True
W150_z_top5,MOT_V4,T6W150,TEST,MAE,2.919046,0.172737,2.902066,2.936025,1.9659,399,True
W150_z_top5,MOT_V4,T6W150,TEST,rho,-0.057426,0.193664,-0.076462,-0.038389,1.9659,399,True
W150_z_top5,COG_V1,T6W150,VALIDATION,R2,-0.012425,0.027471,-0.015125,-0.009725,1.9659,399,True
W150_z_top5,COG_V1,T6W150,VALIDATION,RMSE,1.389756,0.077026,1.382185,1.397328,1.9659,399,True
W150_z_top5,COG_V1,T6W150,VALIDATION,MAE,1.086291,0.056787,1.080709,1.091873,1.9659,399,True
W150_z_top5,COG_V1,T6W150,VALIDATION,rho,0.03216,0.13453,0.018936,0.045384,1.9659,399,True
W150_z_top5,COG_V1,T6W150,TEST,R2,-0.013913,0.035875,-0.017439,-0.010386,1.9659,399,True
W150_z_top5,COG_V1,T6W150,TEST,RMSE,1.343897,0.108669,1.333215,1.354579,1.9659,399,True
W150_z_top5,COG_V1,T6W150,TEST,MAE,1.043438,0.076224,1.035945,1.05093,1.9659,399,True
W150_z_top5,COG_V1,T6W150,TEST,rho,0.030312,0.188378,0.011796,0.048829,1.9659,399,True
W200_raw_all,MOT,T6W200,VALIDATION,R2,-0.006457,0.019152,-0.00834,-0.004575,1.9659,399,True
W200_raw_all,MOT,T6W200,VALIDATION,RMSE,7.642098,0.32186,7.61046,7.673736,1.9659,399,True
W200_raw_all,MOT,T6W200,VALIDATION,MAE,6.492631,0.237161,6.469319,6.515943,1.9659,399,True
W200_raw_all,MOT,T6W200,VALIDATION,rho,0.022401,0.116202,0.010979,0.033824,1.9659,399,True
W200_raw_all,MOT,T6W200,TEST,R2,-0.008639,0.025455,-0.011141,-0.006137,1.9659,399,True
W200_raw_all,MOT,T6W200,TEST,RMSE,7.74147,0.506511,7.691682,7.791259,1.9659,399,True
W200_raw_all,MOT,T6W200,TEST,MAE,6.558598,0.384603,6.520793,6.596404,1.9659,399,True
W200_raw_all,MOT,T6W200,TEST,rho,0.041152,0.193725,0.02211,0.060195,1.9659,399,True
W200_raw_all,COG,T6W200,VALIDATION,R2,-0.005521,0.03245,-0.00871,-0.002331,1.9659,399,True
W200_raw_all,COG,T6W200,VALIDATION,RMSE,2.200186,0.157236,2.18473,2.215641,1.9659,399,True
W200_raw_all,COG,T6W200,VALIDATION,MAE,1.703493,0.099471,1.693715,1.713271,1.9659,399,True
W200_raw_all,COG,T6W200,VALIDATION,rho,0.095479,0.133163,0.082389,0.108568,1.9659,399,True
W200_raw_all,COG,T6W200,TEST,R2,-0.000724,0.038722,-0.004531,0.003082,1.9659,399,False
W200_raw_all,COG,T6W200,TEST,RMSE,2.208575,0.223471,2.186608,2.230541,1.9659,399,True
W200_raw_all,COG,T6W200,TEST,MAE,1.713383,0.144813,1.699148,1.727618,1.9659,399,True
W200_raw_all,COG,T6W200,TEST,rho,0.131616,0.193478,0.112598,0.150634,1.9659,399,True
W200_raw_all,MOT_V4,T6W200,VALIDATION,R2,-0.003744,0.026656,-0.006364,-0.001124,1.9659,399,True
W200_raw_all,MOT_V4,T6W200,VALIDATION,RMSE,3.481374,0.177572,3.46392,3.498829,1.9659,399,True
W200_raw_all,MOT_V4,T6W200,VALIDATION,MAE,2.881785,0.118163,2.87017,2.8934,1.9659,399,True
W200_raw_all,MOT_V4,T6W200,VALIDATION,rho,0.087469,0.116752,0.075993,0.098946,1.9659,399,True
W200_raw_all,MOT_V4,T6W200,TEST,R2,-0.00543,0.037472,-0.009113,-0.001747,1.9659,399,True
W200_raw_all,MOT_V4,T6W200,TEST,RMSE,3.5146,0.275101,3.487558,3.541641,1.9659,399,True
W200_raw_all,MOT_V4,T6W200,TEST,MAE,2.922731,0.186881,2.904362,2.941101,1.9659,399,True
W200_raw_all,MOT_V4,T6W200,TEST,rho,0.099463,0.188547,0.080929,0.117996,1.9659,399,True
W200_raw_all,COG_V1,T6W200,VALIDATION,R2,-0.012905,0.052546,-0.01807,-0.00774,1.9659,399,True
W200_raw_all,COG_V1,T6W200,VALIDATION,RMSE,1.397251,0.081713,1.389219,1.405283,1.9659,399,True
W200_raw_all,COG_V1,T6W200,VALIDATION,MAE,1.087237,0.063853,1.080961,1.093514,1.9659,399,True
W200_raw_all,COG_V1,T6W200,VALIDATION,rho,0.102605,0.135372,0.089298,0.115911,1.9659,399,True
W200_raw_all,COG_V1,T6W200,TEST,R2,-0.016713,0.062759,-0.022882,-0.010544,1.9659,399,True
W200_raw_all,COG_V1,T6W200,TEST,RMSE,1.352399,0.120491,1.340555,1.364243,1.9659,399,True
W200_raw_all,COG_V1,T6W200,TEST,MAE,1.043742,0.089865,1.034908,1.052575,1.9659,399,True
W200_raw_all,COG_V1,T6W200,TEST,rho,0.095971,0.17968,0.078309,0.113633,1.9659,399,True
W200_raw_top5,MOT,T6W200,VALIDATION,R2,-0.007593,0.022819,-0.009836,-0.00535,1.9659,399,True
W200_raw_top5,MOT,T6W200,VALIDATION,RMSE,7.646311,0.326242,7.614243,7.67838,1.9659,399,True
W200_raw_top5,MOT,T6W200,VALIDATION,MAE,6.498689,0.241255,6.474974,6.522403,1.9659,399,True
W200_raw_top5,MOT,T6W200,VALIDATION,rho,0.023157,0.119093,0.011451,0.034864,1.9659,399,True
W200_raw_top5,MOT,T6W200,TEST,R2,-0.01083,0.028066,-0.013589,-0.008071,1.9659,399,True
W200_raw_top5,MOT,T6W200,TEST,RMSE,7.750128,0.514788,7.699526,7.800729,1.9659,399,True
W200_raw_top5,MOT,T6W200,TEST,MAE,6.567705,0.391446,6.529227,6.606183,1.9659,399,True
W200_raw_top5,MOT,T6W200,TEST,rho,0.039837,0.191472,0.021016,0.058658,1.9659,399,True
W200_raw_top5,COG,T6W200,VALIDATION,R2,-0.018378,0.057452,-0.024026,-0.012731,1.9659,399,True
W200_raw_top5,COG,T6W200,VALIDATION,RMSE,2.213517,0.163156,2.197479,2.229555,1.9659,399,True
W200_raw_top5,COG,T6W200,VALIDATION,MAE,1.714396,0.106998,1.703878,1.724913,1.9659,399,True
W200_raw_top5,COG,T6W200,VALIDATION,rho,0.098729,0.134481,0.08551,0.111948,1.9659,399,True
W200_raw_top5,COG,T6W200,TEST,R2,-0.005633,0.055924,-0.01113,-0.000135,1.9659,399,True
W200_raw_top5,COG,T6W200,TEST,RMSE,2.213584,0.22793,2.19118,2.235989,1.9659,399,True
W200_raw_top5,COG,T6W200,TEST,MAE,1.718745,0.150876,1.703914,1.733575,1.9659,399,True
W200_raw_top5,COG,T6W200,TEST,rho,0.134261,0.192411,0.115348,0.153174,1.9659,399,True
W200_raw_top5,MOT_V4,T6W200,VALIDATION,R2,-0.007931,0.031151,-0.010993,-0.004869,1.9659,399,True
W200_raw_top5,MOT_V4,T6W200,VALIDATION,RMSE,3.488487,0.179276,3.470865,3.50611,1.9659,399,True
W200_raw_top5,MOT_V4,T6W200,VALIDATION,MAE,2.88678,0.119225,2.875061,2.898499,1.9659,399,True
W200_raw_top5,MOT_V4,T6W200,VALIDATION,rho,0.078525,0.118868,0.066841,0.090209,1.9659,399,True
W200_raw_top5,MOT_V4,T6W200,TEST,R2,-0.007377,0.039751,-0.011284,-0.00347,1.9659,399,True
W200_raw_top5,MOT_V4,T6W200,TEST,RMSE,3.51804,0.277767,3.490737,3.545344,1.9659,399,True
W200_raw_top5,MOT_V4,T6W200,TEST,MAE,2.924545,0.190038,2.905865,2.943225,1.9659,399,True
W200_raw_top5,MOT_V4,T6W200,TEST,rho,0.094562,0.192464,0.075643,0.11348,1.9659,399,True
W200_raw_top5,COG_V1,T6W200,VALIDATION,R2,-0.011075,0.044165,-0.015416,-0.006734,1.9659,399,True
W200_raw_top5,COG_V1,T6W200,VALIDATION,RMSE,1.395997,0.077215,1.388407,1.403587,1.9659,399,True
W200_raw_top5,COG_V1,T6W200,VALIDATION,MAE,1.087831,0.059485,1.081984,1.093678,1.9659,399,True
W200_raw_top5,COG_V1,T6W200,VALIDATION,rho,0.109929,0.125354,0.097607,0.12225,1.9659,399,True
W200_raw_top5,COG_V1,T6W200,TEST,R2,-0.016924,0.070309,-0.023835,-0.010013,1.9659,399,True
W200_raw_top5,COG_V1,T6W200,TEST,RMSE,1.352404,0.122328,1.340379,1.364428,1.9659,399,True
W200_raw_top5,COG_V1,T6W200,TEST,MAE,1.044981,0.088808,1.036251,1.053711,1.9659,399,True
W200_raw_top5,COG_V1,T6W200,TEST,rho,0.104181,0.175794,0.086901,0.121461,1.9659,399,True
W30_raw_all,MOT,T6W30,VALIDATION,R2,-0.002154,0.018491,-0.003971,-0.000336,1.9659,399,True
W30_raw_all,MOT,T6W30,VALIDATION,RMSE,7.605916,0.313965,7.575055,7.636778,1.9659,399,True
W30_raw_all,MOT,T6W30,VALIDATION,MAE,6.450995,0.244619,6.42695,6.47504,1.9659,399,True
