subject,pe_T2W30,z_diameter_T2W30,z_asp_T2W30,y_true,y_pred
CSO-15-10A-MAARLO,0.05185891814552246,0.0,0.0,4,5.1541528646791805
CSO-15-10A-SFEGA,-0.28650447284944747,0.0,0.0,2,4.815789473684211
CSO-15-10B-MEBUAR,-0.08711176029884005,0.0,0.0,8,5.015182186234818
CSO-15-10B-YVBUAN,-0.1024496612642718,0.0,0.0,6,4.999844285269386
CSO-15-10C-ALBAHO,-0.28650447284944747,0.0,0.0,5,4.815789473684211
CSO-15-10C-SSCAMO,-0.28650447284944747,0.0,0.0,3,4.815789473684211
CSO-15-11C-JETALO,0.42383206561209086,0.0,0.0,5,5.526126012145749
CSO-15-7B-JCRAGA,-0.28650447284944747,0.0,0.0,8,4.815789473684211
CSO-15-8A-VBMABR,-0.03558330649362684,0.0,0.0,12,5.066710640040031
CSO-15-8B-KEPOGO,-0.015042105160066654,0.0,0.0,5,5.087251841373591
CSO-15-9B-ALRIHE,-0.2120645268305541,0.0,0.0,3,4.890229419703104
CSO-15-9B-AMSAGO,-0.14060736610510105,0.0,0.0,15,4.961686580428557
CSO-15-9B-JCAPA,-0.016359507458302502,0.0,0.0,5,5.085934439075356
CSO-15-9B-KSBEJA,-0.2663637948140325,0.0,0.0,13,4.835930151719626
CSO-15-9B-RMCHLU,-0.041417597005992235,0.0,0.0,5,5.060876349527666
CSO-16-10A-JEGAHE,-0.28650447284944747,0.0,0.0,6,4.815789473684211
CSO-16-10A-MSACO,-0.28650447284944747,0.0,0.0,5,4.815789473684211
CSO-16-10A-YKMUJO,0.3316129360574349,0.0,0.0,5,5.433906882591093
CSO-16-10B-JESUGU,-0.28650447284944747,0.0,0.0,3,4.815789473684211
CSO-16-10B-LTVIFA,-0.07049570091962298,0.0,0.0,10,5.031798245614035
CSO-16-10B-VVILI,-0.08543619128580993,0.0,0.0,13,5.016857755247848
CSO-16-10C-ACALGU,-0.026939994972916992,0.0,0.0,6,5.075353951560741
CSO-16-10C-MAVAVE,-0.11117639802046497,0.0,0.0,4,4.991117548513193
CSO-16-11A-JAVABO,0.02025354645917954,0.0,0.0,4,5.122547492992838
CSO-16-11A-JDMUVA,0.008487485444601539,0.0,0.0,4,5.11078143197826
CSO-16-11A-VZAOR,-0.10345542526200457,0.0,0.0,1,4.9988385212716535
CSO-16-11B-KRORE,-0.15930567346371483,0.0,0.0,3,4.942988273069943
CSO-16-11B-LLOZA,0.23139867663264901,0.0,0.0,4,5.333692623166307
CSO-16-11B-YAROMO,0.13078998042102175,0.0,0.0,4,5.23308392695468
CSO-16-9A-JALEMO,-0.10229394653365809,0.0,0.0,5,5.0
CSO-16-9A-JPROSO,0.054051222037872826,0.0,0.0,0,5.156345168571531
CSO-16-9A-JSMAGU,-0.0034954614872955148,0.0,0.0,9,5.098798485046363
CSO-16-9B-SJPAJI,-0.020647522781970906,0.0,0.0,7,5.081646423751687
CSO-17-10A-YVGOCA,-0.28650447284944747,0.0,0.0,13,4.815789473684211
CSO-17-10B-EHECO,-0.28650447284944747,0.0,0.0,8,4.815789473684211
CSO-17-10B-YCQUVE,0.25273368058930146,0.0,0.0,4,5.3550276271229595
CSO-17-11A-DJAPA,0.2301039187589442,0.0,0.0,7,5.332397865292602
CSO-17-11A-JDAMO,-0.28650447284944747,0.0,0.0,3,4.815789473684211
CSO-17-11A-NPAHE,0.5996853607088068,0.0,0.0,6,5.701979307242465
CSO-17-11A-RLPAIG,0.06893471039293964,0.0,0.0,1,5.171228656926598
CSO-17-11A-SPUVA,-0.18057709430693691,0.0,0.0,2,4.921716852226721
CSO-17-11B-CDBEBU,0.7806677915059153,0.0,0.0,5,5.882961738039573
CSO-17-11C-JDAAG,0.18283529669275111,0.0,0.0,3,5.285129243226409
