subject,l3_T2W30,z_pe_T2W30
CDMS-12-7C-CATRAR,1.605263157894737,-0.8500002722398029
CDMS-12-7C-DLOLO,0.2553191489361702,0.5019766776242911
CDMS-12-7C-JSZAOR,1.736842105263158,-0.2516662235808981
CDMS-12-7C-MAROBE,1.53125,-0.7833208830253954
CDMS-12-7C-VMAPA,0.0,-0.7128832857587155
CDMS-12-7C-VQURA,0.4298245614035088,-0.1971902735470695
CDMS-13-6B-ASUMO,3.0,-1.0972613034920429
CDMS-13-6B-JDTAHE,0.7303370786516854,0.6392384039901753
CDMS-13-7C-MVEAR,0.3103448275862069,1.5191700180756351
CDMS-13-7C-RAIZAC,2.3132530120481927,-0.2767946582003616
CDMS-13-7C-SSOSLO,1.787037037037037,1.425034475393135
CDMS-14-10A-IMORTO,1.56,-0.1166987213859924
CDMS-14-10A-JCVANI,1.708133971291866,-0.1937195572876534
CDMS-14-6B-KDCAHE,2.847826086956522,-0.8779776246496277
CDMS-15-10A-AMALOS,0.8104575163398693,0.1917337442564732
CDMS-15-10A-JJMACH,0.7659574468085106,-0.0773118758140839
CDMS-15-10A-MAALCA,0.6060606060606061,1.4543668362657578
CDMS-15-10A-MAALRI,0.8625,-0.2879315209013261
CDMS-15-10A-SGOMO,0.5263157894736842,1.1595297626641436
CDMS-15-10A-SHEGA,1.4090909090909092,0.2982854787594486
CDMS-15-11B-JEMOLO,1.9875,-0.7763380882090978
CDMS-15-11B-VSAHO,0.2857142857142857,0.3796162412533342
CDMS-16-10A-SGALO,0.5161290322580645,-0.6943908486445156
CDMS-16-11B-NGABE,1.5217391304347827,0.6164518560205481
CDMS-17-10A-ASSAMO,0.9722222222222222,-0.7466836590666621
CDMS-18-7C-VVECA,3.240506329113924,-0.457606593424148
CDMS-8-4A-DJAVDA,0.0,-1.3166198708393486
CDMS-8-4A-DOSTR,1.4387755102040816,-0.4694040864095359
CDMS-8-4A-LGOPA,1.0,-0.1992066937779525
CDMS-8-4C-JDBUTU,2.3157894736842106,-0.3078853343458294
CDMS-9-4A-ACDUTR,0.0,-0.0906585537767794
CDMS-9-4A-CARGA,0.9805825242718448,-0.3700948932967071
CDMS-9-4A-CRAAG,0.0,1.271678367327949
CDMS-9-4A-EROHI,0.3125,-0.5895144783564572
CDMS-9-4A-ILOSE,0.6622516556291391,-0.4715548787695992
CDMS-9-4A-TGAFR,1.203125,-0.2398092509952435
CDMS-9-4C-SCAMO,0.6606060606060606,-0.2850089999347657
CDMS-9-5A-ABERO,1.3535911602209945,0.5690223587630395
CDMS-9-5A-VVAAR,0.625,-0.5435158936318303
CDMS-9-5C-JDMADE,1.6076555023923444,0.1899278906569117
CDMS-9-5C-LVIZAC,2.6416184971098264,0.4875529818899622
CDMS-9-5C-MLOGO,2.8383838383838382,-0.213952084687177
CDMS-9-5C-SCAAG,8.0,5.186537215117774
CDMS-XX-10A-VGILO,0.3679245283018867,-0.594091476908451
CDMS-XX-5C-MPCAQU,1.0061349693251531,0.1265284123895423
CDMS-XX-6B-SPUCA,0.1676646706586826,0.4726488521532768
CSO-10-4A-KCOMO,0.4827586206896552,-0.2574623539181713
CSO-10-4A-LRAVI,0.0,0.8737155430697775
CSO-10-4A-LSCAVA,1.2383720930232558,0.2586626864067557
CSO-10-5A-ACAVA,0.7777777777777778,-0.1585531398144338
CSO-10-5A-ARACA,2.4130434782608696,0.1800430459266352
CSO-10-5A-DABRZA,2.754491017964072,0.9604593294060644
CSO-10-5A-GZAMA,0.7205882352941176,-1.01999815410183
CSO-10-5A-IPECA,0.5391304347826087,-0.366189019831048
CSO-10-5A-JANORO,1.0466666666666666,-0.1893777146961239
CSO-10-5A-JBUVE,0.34,1.2508663040903722
CSO-10-5A-JJSEMO,0.6875,0.5088425038266648
CSO-10-5A-JLCARI,0.7391304347826086,1.9007603043087604
CSO-10-5A-MAARAN,2.039473684210526,-0.5276003340721853
CSO-10-5A-RVMOIB,0.6775956284153005,0.3490742793864009
CSO-10-5A-SVHEES,0.4142011834319526,0.2715134810645677
CSO-11-5A-MDVOSPE,2.046153846153846,0.2005877674454475
CSO-11-5A-MTAGA,0.8409090909090909,-0.8456655342662013
CSO-11-6A-CAPAMU,1.2061855670103092,0.2863521364346058
CSO-11-6A-DSCACH,0.1690140845070422,-0.3309003156887282
CSO-11-6A-EROMO,0.0909090909090909,0.0060093389876435
CSO-11-6A-FSOVRE,0.8333333333333334,0.8980937402370942
CSO-11-6B-ANREVA,0.0454545454545454,-0.2443648049979869
CSO-11-6B-DISEMO,0.0,-0.6027375627393448
CSO-11-6B-LHFDLACH,0.8194444444444444,1.2077661283231655
CSO-11-6B-RJGIHE,0.8367346938775511,-0.9318930620678468
CSO-11-6B-SFLVA,0.2666666666666666,0.9328931696263304
CSO-11-6B-VCOMA,0.8023255813953488,0.2531139611311869
CSO-12-6A-DGISE,0.75,0.3155888234392394
CSO-12-6A-FJOVRE,0.9568345323741008,0.3506128099532365
CSO-12-6B-GQULO,1.0738255033557047,0.2541652304888279
CSO-12-6B-LJHEFE,0.9396984924623116,0.6402257223895774
CSO-12-7A-DALRE,5.294117647058823,-1.3981535122136537
CSO-12-7A-ESALA,0.0833333333333333,-0.6231664456016868
CSO-12-7A-IMERO,1.3925925925925926,-0.1151023832600347
CSO-12-7A-JHEZA,3.350785340314136,0.087646854472997
CSO-12-7A-LSARAR,0.0,-0.6831871821825998
CSO-12-7A-SCAHO,0.8809523809523809,-0.2501955297139061
CSO-12-7B-DVAGRO,1.4913793103448276,1.0929008853058506
CSO-12-7B-SMUGU,0.3333333333333333,-0.6367618717742318
CSO-12-7B-SSARA,0.7823834196891192,0.71333138261239
CSO-12-7B-VHOMA,1.0952380952380951,0.6254166788888342
CSO-12-8A-YTOME,1.4615384615384617,1.4849199244529978
CSO-13-6A-ANASA,0.7816091954022989,-0.1526095530954502
CSO-13-6B-JETAVE,0.9155844155844156,0.5810788842922556
CSO-13-6B-LFMIES,0.1956521739130435,0.4539219488053898
CSO-13-6B-LJMAHU,0.0,0.8038404228765358
CSO-13-7A-CAPAMU,1.0076923076923077,0.3923111281011908
CSO-13-7A-CDDITR,1.140625,0.0549762233292361
CSO-13-7A-JJATFL,0.96875,-0.3390203503383662
CSO-13-7A-KRAMA,1.0,0.2476606175629801
CSO-13-7A-RXCHLU,0.1047619047619047,0.6551099618623906
CSO-13-7A-YAMEZA,1.209912536443149,-0.0807950290337012
CSO-13-8A-KIGAGU,1.1868131868131868,0.4702871637575257
CSO-13-8A-MBUAN,1.0909090909090908,-0.614489288480928
CSO-13-8A-MGAAN,0.5450819672131147,-0.4185769827649458
CSO-13-8A-MGAHE,0.9574468085106383,0.3895888136962017
CSO-13-8A-MJAGA,1.8636363636363635,0.5543057258413714
CSO-13-8A-VHODU,1.1751824817518248,-0.2630758144419838
CSO-13-8B-FCJISA,0.2083333333333333,-0.106145566058529
CSO-13-8B-JEMABE,2.365853658536585,0.958368964832577
CSO-13-9B-DMLLLU,0.6410256410256411,-0.4049874335175249
CSO-14-7B-EVEGO,0.89171974522293,-0.0664013348199821
CSO-14-8A-AQUMA,1.2233009708737863,-0.5940712916542259
CSO-14-8A-SZARA,1.4057971014492754,1.085640449159704
CSO-14-8B-JLLORA,0.9041095890410958,-0.957734542808326
CSO-14-9A-AEDCAGO,0.1333333333333333,-0.2673602010926216
CSO-14-9A-HASACA,0.3274336283185841,-0.7441663389799352
CSO-14-9A-JSMAAL,0.6049382716049383,-0.1504813631009514
CSO-14-9A-MARJA,0.8125,-0.7063075810049663
CSO-14-9A-SORZU,1.7526881720430108,-0.5401181143621349
CSO-14-9B-ERAGA,1.7752808988764044,-0.654462156646489
CSO-14-9B-MFEGA,0.4406779661016949,0.8404616781080119
CSO-15-10A-LJRAGU,0.7777777777777778,0.7754959109751887
CSO-15-10A-MAARLO,1.181818181818182,0.3418661125763126
CSO-15-10A-SFEGA,0.0,-0.5908131997056145
CSO-15-10B-MEBUAR,4.31,-0.4005920005522096
CSO-15-10B-YVBUAN,0.2692307692307692,-0.2985236761353391
CSO-15-10C-ALBAHO,0.0,-0.4264014327112214
CSO-15-10C-SSCAMO,2.5330396475770924,-0.8855290802247632
CSO-15-11C-JETALO,2.421875,0.5533437379270975
CSO-15-7B-JCRAGA,0.5,-0.8326246597469845
CSO-15-8A-VBMABR,0.5056179775280899,-0.2874469519715538
CSO-15-8B-KEPOGO,0.6927710843373494,-0.0345473855536772
CSO-15-9B-ALRIHE,0.48,-0.4599828052381765
CSO-15-9B-AMSAGO,0.0,-0.1587355012291135
CSO-15-9B-JCAPA,1.8225806451612905,-0.0890500272219823
CSO-15-9B-KSBEJA,1.7676767676767675,-0.8357409490265343
CSO-15-9B-RMCHLU,0.25,0.0836565035371642
CSO-16-10A-JEGAHE,7.0,-1.4953405447081454
CSO-16-10A-MSACO,4.0,-0.8510016141103502
CSO-16-10A-YKMUJO,0.0,0.8384425342753936
