subject,nodes_T6W40,lcc_T6W40,lsc_T6W40
CDMS-9-4A-ACDUTR,-0.6378463385176548,-0.5976742800637447,-0.03787557107143158
CDMS-9-4A-CARGA,-0.46228398328729947,-0.4226755743149584,0.05713669652300267
CDMS-9-4A-CRAAG,-1.6516404144846075,-1.7088692765002134,-1.1890582017687306
CDMS-9-4A-EROHI,0.003690378677332268,0.04180275960196805,0.4943036194516767
CDMS-9-4A-ILOSE,-1.144401543896213,-1.1026031710850872,-0.306976467541714
CDMS-9-4A-TGAFR,-1.4299555004116744,-1.3872403459856135,-0.581529646274155
CDMS-9-4C-SCAMO,2.0525916231610375,1.8326873079737704,0.7330697952845392
CDMS-9-5A-ABERO,-0.45471228369426975,-0.4516575533335374,-0.6672409969160983
CDMS-9-5A-PAGACO,-0.3912749143216812,-0.35189448261050554,0.2316186778893906
CDMS-9-5A-VVAAR,-1.4922877336435225,-1.4493724592606516,-0.6559033140583792
CDMS-9-5C-JDMADE,-0.738509415361792,-0.6980141743497424,-1.7362863041907382
CDMS-9-5C-LVIZAC,0.18406104113534602,0.22159433532893788,-0.07834891417346346
CDMS-9-5C-MLOGO,-0.9771564867203087,-0.9358950603955097,-0.6747967613552772
CDMS-9-5C-SCAAG,0.023221876015595166,-0.23769510427139007,0.11461041307569482
CDMS-XX-10A-VGILO,0.2980971064453494,0.15989152461022685,0.07365782774660032
CDMS-XX-5C-MJSARU,0.6501714700375549,0.6862082993354696,0.9119448018640848
CDMS-XX-5C-MPCAQU,-0.7554530839952585,-0.7149034447038705,-0.17847861558836542
CDMS-XX-6A-MAGICA,0.8832305816480057,0.9176864463638851,0.873972796028518
CDMS-XX-6B-SPUCA,0.5160063997978804,0.5524739710517573,0.6588631866772798
CSO-10-4A-ICAPA,-0.9769791006320999,-0.9357182438119452,-0.5453292599889156
CSO-10-4A-KCOMO,-1.4221712933588113,-1.3794811304194732,-1.0033008988792222
CSO-10-4A-LRAVI,-2.2889655872891095,-2.2797815935684196,-1.4238124833684533
CSO-10-4A-LSCAVA,0.6649671332541357,0.700956460524121,-0.45759008763148945
CSO-10-5A-ACAVA,0.9459109296122389,0.9809982763582132,0.6333002042360804
CSO-10-5A-ARACA,-0.28228332788524085,-0.49183418299065756,-2.2988852478371586
CSO-10-5A-DABRZA,-1.4403618116765435,-1.3976132474005079,-1.4503489483113048
CSO-10-5A-GZAMA,0.24077800752755935,0.27497544490630355,0.7193014033394376
CSO-10-5A-IPECA,0.32975705790315035,0.3668225896073971,0.3923637668023073
CSO-10-5A-JANORO,0.3292415853520512,0.3145159571870923,0.3196307801795981
CSO-10-5A-JBUVE,0.822220352850107,0.8577048128005349,0.20553795859656815
CSO-10-5A-JJSEMO,-1.2354033590192102,-1.193312821490605,-0.4354121929717237
CSO-10-5A-JLCARI,0.3435181131273165,0.37003292201763566,-0.3051068496987489
CSO-10-5A-MAARAN,-1.0675370993770723,-1.025985502728453,-0.28224793222167993
CSO-10-5A-MAOSMO,1.397863709620416,1.4315000451298925,1.1511591775294396
CSO-10-5A-RVMOIB,0.8033983536857968,0.8389432423657046,0.6289324114054061
CSO-10-5A-SVHEES,-0.652031368947383,-0.6118137689248533,-0.14356034661210662
CSO-11-5A-MDVOSPE,0.13414411221847475,0.17007651242832844,0.3066038135366074
CSO-11-5A-MTAGA,1.6075660300659047,1.6405291084636968,0.870886986274655
CSO-11-6A-CAPAMU,1.0451866880655358,0.5764593642128539,-1.5613682965269347
CSO-11-6A-DSCACH,1.2854255661408251,1.3194228884985226,1.0389511394152189
CSO-11-6A-EROMO,-0.4775024126938136,-0.4378451443869414,-0.2025258788658821
CSO-11-6A-FSOVRE,-1.1026609484187668,-1.1832672371057966,-0.5461903073353592
CSO-11-6B-ANREVA,-0.12725561900415733,-0.08872283107592521,0.3687783983896908
CSO-11-6B-DISEMO,1.272828523372051,1.1597746949358085,-0.6704390791561551
CSO-11-6B-LHFDLACH,0.29796206661061464,0.3351296773188427,-0.7091506480102965
CSO-11-6B-RJGIHE,-0.2815710298558733,-0.2425428065524974,0.06986335091384839
CSO-11-6B-SFLVA,-1.2234854519734428,-1.1814331773293776,-0.9426767136144786
CSO-11-6B-VCOMA,0.5853081047256197,0.621553180274178,0.33622872552428246
CSO-12-6A-DGISE,-0.1792305970539932,-0.1405309415225445,-0.8865453320732052
CSO-12-6A-FJOVRE,-0.5032831882627831,-0.47751764979496464,-0.2894315816258808
CSO-12-6B-GQULO,-0.41781251955345855,-0.3783468878720994,-0.38807766518788567
CSO-12-6B-LJHEFE,0.9660536379586055,1.0010763157890716,0.5965736726849817
CSO-12-6B-VPAMA,-1.492850788276263,-1.6213946417322398,-3.8431005381756114
CSO-12-7A-DALRE,-1.6706766896398582,-1.628476257343055,-1.224101078594645
CSO-12-7A-ESALA,-0.7594084671764381,-0.7188461289799998,0.15220731172913038
CSO-12-7A-IMERO,0.21566786424516415,0.25309968355573503,-0.004276435823623147
CSO-12-7A-JHEZA,1.2501450038425825,0.8227630446468701,-1.4255460158489224
CSO-12-7A-LSARAR,-1.0084316717333242,-0.9670698352619683,-0.34475068044882556
CSO-12-7A-SCAHO,-0.1696911698249968,-0.13102214098003243,0.04692784650254267
CSO-12-7B-DVAGRO,0.9747737378174887,1.009768419442514,-0.27506942501461723
CSO-12-7B-SMUGU,0.2632513645656489,0.3005304152758459,0.20626095053924617
CSO-12-7B-SSARA,1.1381478537763348,1.1726180167160123,0.9984288137930244
CSO-12-7B-VHOMA,1.6788977123272928,1.7116317777019152,1.4501675401080925
CSO-12-8A-YTOME,0.4612190535552899,0.4978625216252334,1.1914955247681382
CSO-13-6A-ANASA,1.414227707290373,1.4478115055757335,1.4094387057796887
CSO-13-6B-JETAVE,-0.7713932534704641,-0.7307924376711679,-0.07487732434635425
CSO-13-6B-LFMIES,0.3976758033831094,-0.4591607084446622,-0.41421967657612296
CSO-13-6B-LJMAHU,-0.14032380145371043,-0.23915025170534082,-0.9326116840612487
CSO-13-7A-CAPAMU,0.43965976372219734,0.4741315651780834,-0.13072018630270457
CSO-13-7A-CDDITR,1.38372817708763,1.417409895250884,1.100168246148322
CSO-13-7A-JJATFL,-0.4352849445938962,-0.3957632170410567,0.30069402490628605
