subject,nodes_T6W40,lcc_T6W40,lsc_T6W40,y_true,y_pred
CDMS-11-6B-MMAMO,1.1116259570492986,-1.8021306185742705,0.3924436459803995,2,5.243102336082477
CDMS-11-6B-RSECA,-0.7288922504076754,1.0944328269517751,0.08500658782131801,1,5.991710515992467
CDMS-11-6B-SCAPA,1.2548040691393827,-2.027460900013099,0.34653746782995226,5,5.1150439885832855
CDMS-11-6B-VZAPE,-1.1034047361373016,1.6838316015264567,-0.04536669472893957,8,6.076223522287265
CDMS-11-6B-YLNIME,0.6335388590652525,-1.049728601475187,0.32732425687555505,0,5.45229786609267
CDMS-11-7C-ICARE,-0.6879476924894725,1.0299952629664901,-0.2995928989859603,7,5.583618023118107
CDMS-11-7C-IMOIB,1.6552428207384016,-2.6576618104710397,0.36734713882500364,3,4.906091500719414
CDMS-11-7C-SALMA,0.05500297694669035,-0.13924269523404098,0.12474220201495673,7,5.581665835354656
CDMS-11-7C-SPGAVE,-0.02344544461546607,0.008784259351540265,-0.695163565023635,5,4.831338601339488
CDMS-12-5A-SRIGO,1.056829448148687,-1.7158931861050433,0.3458730989236889,7,5.227972712594382
CDMS-12-6A-FAROPA,1.5160405038196787,-2.4385885401900502,0.678461384134932,5,5.297076699391609
CDMS-12-6A-JGIGA,-1.5603458289434957,2.402954542456172,-0.14933738800194696,1,6.234434677137778
CDMS-12-6A-JSOTGU,-1.4105580862803817,2.1672221828261566,-0.267690730596066,10,6.030136717576758
CDMS-12-6A-SROAL,1.0705582792948054,-1.7374992915412892,0.3561151645406676,10,5.230337503921233
CDMS-12-6B-IJDAGA,-1.228513714854076,1.8807251139024141,-0.3357818080903928,10,5.857592942584994
CDMS-12-6B-SCLAG,-0.7065260164194678,1.0592333839243477,-0.17414537890121332,14,5.719725340230716
CDMS-12-7C-ARAHE,-0.9470195387293423,1.4377163257318495,-0.020341805961359406,11,6.011518332668197
CDMS-12-7C-CATRAR,0.5318809545339231,-0.8810894018874112,0.234948678169956,6,5.426903582443517
CDMS-12-7C-DLOLO,-0.727479399408769,1.0922093159097075,-0.04464713389089559,10,5.861246134237092
CDMS-12-7C-JSZAOR,2.084177418666783,-3.3327088009582586,0.7150801919268959,5,5.007712161262469
CDMS-12-7C-MAROBE,1.786313032097429,-2.8639369679140594,0.39121523217086807,2,4.854754647981287
CDMS-12-7C-VMAPA,-0.17349023761558593,0.22035444983647365,0.1085292162676684,4,5.696556780115605
CDMS-12-7C-VQURA,0.6147176889077571,-0.6684164636299782,-0.3780253010684093,4,5.109439275836419
CDMS-13-6B-ASUMO,0.47623197563235065,-0.15753235925870096,-0.7614194843279652,1,5.0984434836727335
CDMS-13-6B-JDTAHE,0.3123324331429693,-0.30022322036339577,-0.27695499240849547,8,5.276317571998128
CDMS-13-7C-MVEAR,-1.4652635635262163,2.2747285805448567,-0.17810446787010734,9,6.172523900775582
CDMS-13-7C-RAIZAC,0.6449198832864859,-1.0676397846399652,0.4794014501309176,4,5.597844900404487
CDMS-13-7C-SSOSLO,-0.978520678908097,1.8584855068385604,-0.23182806192469513,10,6.1893001176328175
CDMS-14-10A-IMORTO,-0.19466633608345651,0.2536808861044659,0.21336106931888824,6,5.813538970966947
CDMS-14-10A-JCVANI,1.6700879300388776,-2.6810246877141886,0.3335568718173101,10,4.863783465769048
CDMS-14-5A-LSDUCO,-1.7483079839754525,2.69876487739446,-0.2732133298578227,3,6.218406915188234
CDMS-14-6B-KDCAHE,-0.02948607861612278,0.23271610225108727,-0.30668032446802357,8,5.43771305079399
CDMS-15-10A-AMALOS,0.3722820018021469,-0.6385688207268522,0.11478344769558226,5,5.389659980397926
CDMS-15-10A-JJMACH,1.9087629889244064,-3.0532944094868655,0.4943983245565739,1,4.891030255621164
CDMS-15-10A-MAALCA,1.1416831138302224,-1.849433851574265,0.5107458881008157,6,5.344158501983822
CDMS-15-10A-MAALRI,1.3883483454350825,-2.2376296815606715,0.4055366319945942,5,5.097418647496054
CDMS-15-10A-SGOMO,1.985321017382079,-3.177130965782607,0.36587341353322433,4,4.7152268167597455
CDMS-15-10A-SHEGA,0.9503990018447415,-1.548395500395657,0.30641658229187485,7,5.249583435368009
CDMS-15-11B-JEMOLO,1.283889680648909,-2.073235138348764,0.26496414645914973,6,5.016782040386344
CDMS-15-11B-VSAHO,0.3204090750281503,-0.5569324517427001,0.17750018002490417,4,5.482140154937404
CDMS-16-10A-SGALO,1.3214378647722584,-2.132327570652299,0.3623564011762807,7,5.092630046923289
CDMS-16-11B-NGABE,1.8962097381174476,-3.0003658136396134,0.3261397255807253,12,4.763147001685609
CDMS-17-10A-ASSAMO,2.6710504381274895,-4.256315494142856,0.8231876786664223,6,4.779085974278105
CDMS-18-7C-VVECA,-0.5265871655829237,0.776049932844426,-0.028666706333374422,4,5.761959412555178
CDMS-8-4A-DBEVA,-2.6479605601136083,4.114616540886378,-0.4530626577388436,8,6.554756674660975
CDMS-8-4A-DJAVDA,-3.527313490090222,5.49852110774518,-0.9111573055527347,2,6.601213663729273
CDMS-8-4A-DOSTR,-1.9977807706618977,3.091379170283147,-0.3967853611588561,9,6.237976390089443
CDMS-8-4A-LGOPA,-2.152050586620709,3.6158441308822167,-0.7009303054067045,6,6.304026590481852
CDMS-8-4C-JDBUTU,-2.6606794836730625,4.134633277965909,-0.6179403581059165,3,6.3971767878139785
CDMS-9-4A-ACDUTR,-0.8540712385859464,1.2914365185404075,-0.032662276030055136,3,5.9458663555514555
CDMS-9-4A-CARGA,-0.6044679508676731,0.8986168462553826,0.00913537000586766,3,5.844447617020626
CDMS-9-4A-CRAAG,-2.295418582660011,3.7857364190867315,-0.5390887127295491,14,6.492392475324221
CDMS-9-4A-EROHI,0.05802448713925641,-0.14399787556239194,0.2014531492339539,2,5.656643112437868
CDMS-9-4A-ILOSE,-1.5742589149667632,2.4248506238022713,-0.15104471551277787,1,6.24071034494978
CDMS-9-4A-TGAFR,-1.9802412012815018,3.063775816340934,-0.2718257143589548,2,6.352872252327527
CDMS-9-4C-SCAMO,2.9710207622357596,-4.163997214309532,0.306490786535829,1,4.654677686089105
CDMS-9-5A-ABERO,-0.5937029943964777,0.9636727073918221,-0.30953171576379523,6,5.6016013488585985
CDMS-9-5A-PAGACO,-0.503511814522976,0.7397344983640052,0.08589320645630488,6,5.863279241924383
CDMS-9-5A-VVAAR,-2.068861169526274,3.2032437985219726,-0.30454406030674075,2,6.371001920316007
CDMS-9-5C-JDMADE,-0.9971875399090074,1.5166695236754357,-0.7798244314430414,6,5.280820903950437
CDMS-9-5C-LVIZAC,0.31446391743951035,-0.5475761052097637,-0.05046724492196993,2,5.257583918934826
CDMS-9-5C-MLOGO,-1.3364806277538652,2.0506408539177894,-0.3128556356696718,5,5.942467942121302
CDMS-9-5C-SCAAG,0.08579311637241102,0.4833911032378613,0.03441911621738431,10,6.144766687454706
CDMS-XX-10A-VGILO,0.4765930753816287,-0.40907177866701105,0.016403319845193654,7,5.62508796818686
CDMS-XX-5C-MJSARU,0.9771498066844599,-1.5904952759497333,0.38518119566909326,2,5.312999078030869
CDMS-XX-5C-MPCAQU,-1.0212769603965206,1.554580876318041,-0.09451614432607042,9,5.9799511232224996
CDMS-XX-6A-MAGICA,1.3084982920379435,-2.1100943750846572,0.36847661109940566,2,5.108043879679741
CDMS-XX-6B-SPUCA,0.786402521568376,-1.2903017700327324,0.27384593299615645,0,5.3111100361588495
CSO-10-4A-ICAPA,-1.3362284315996595,2.0502439536543666,-0.2559004978514104,6,5.999278375830346
CSO-10-4A-KCOMO,-1.9691741153442859,3.046358701723781,-0.4573706547214462,4,6.1609772832850975
CSO-10-4A-LRAVI,-3.201526604900277,5.06726355001394,-0.6423614438847136,12,6.764538852855999
CSO-10-4A-LSCAVA,0.998185330945827,-1.6236004799004942,-0.21730242033436198,11,4.69844578233802
CSO-10-5A-ACAVA,1.397613187464528,-2.252210467907873,0.2626003063128674,4,4.949166377496571
CSO-10-5A-ARACA,-0.3485545728496649,1.0538572057736693,-1.027322066244199,0,5.219143918306854
CSO-10-5A-DABRZA,-1.9950362266804431,3.087059872740145,-0.6540353234458298,3,5.979151674240922
CSO-10-5A-GZAMA,0.39510045972289565,-0.6674007055156276,0.30043381739304736,6,5.569296923227364
CSO-10-5A-IPECA,0.5216051621840601,-0.8735700318967689,0.15660793097034867,11,5.345806412884689
CSO-10-5A-JANORO,0.5208722963979179,-0.756157310941146,0.12461135087641573,5,5.430489687960237
CSO-10-5A-JBUVE,1.221757864840903,-1.975453575664693,0.07441981779856997,2,4.86188745860183
CSO-10-5A-JJSEMO,-1.7036394545091216,2.628466616234443,-0.20754595609789347,13,6.258444557254477
CSO-10-5A-JLCARI,0.5411697472109457,-0.8807762664795904,-0.15022223619719866,9,5.051334596161206
CSO-10-5A-MAARAN,-1.464977981503306,2.252866909715263,-0.1401661774832935,4,6.188886102355713
CSO-10-5A-MAOSMO,2.040170640259223,-3.2634519877551846,0.4904160043302695,2,4.808298008461357
CSO-10-5A-RVMOIB,1.1949979545704006,-1.933339470201867,0.2606788338197148,4,5.063500669815298
CSO-10-5A-SVHEES,-0.874238604346096,1.3231754354480085,-0.07915495483118558,7,5.910945227897776
CSO-11-5A-MDVOSPE,0.24349523195962836,-0.43193402533229186,0.11888054837636682,3,5.4716051066307525
CSO-11-5A-MTAGA,2.33831193915366,-3.732659618780194,0.3671191065677095,5,4.513934778568224
CSO-11-6A-CAPAMU,1.5387570885483042,-1.3441417926823558,-0.7028747789955423,1,5.032903868497455
CSO-11-6A-DSCACH,1.8803133050086172,-3.011872344636153,0.4410536222060661,0,4.85065793420558
CSO-11-6A-EROMO,-0.6261045369614874,0.932667986913161,-0.10509497823935728,7,5.742631823339366
CSO-11-6A-FSOVRE,-1.5149148155508103,2.6059172885176043,-0.25627928843412173,5,6.3758865361597215
CSO-11-6B-ANREVA,-0.1281461272385456,0.1489929756299743,0.14623229311329444,5,5.708242493131772
CSO-11-6B-DISEMO,1.862403638175496,-2.653509973852525,-0.3109386110295124,0,4.4391184049205075
CSO-11-6B-LHFDLACH,0.4764010844125026,-0.8024289376487943,-0.32796854298911376,7,4.887166955401644
CSO-11-6B-RJGIHE,-0.3475418732323004,0.49427274269486143,0.014734059616358054,3,5.7026282807059685
CSO-11-6B-SFLVA,-1.6866953392547943,2.6018003737253412,-0.43070095931192004,8,6.025567426785676
CSO-11-6B-VCOMA,0.8849312373158308,-1.4453639015630861,0.13191309266203488,14,5.112643780041829
CSO-12-6A-DGISE,-0.2020408148741841,0.265286664090516,-0.40600773098919224,2,5.198401469854189
