subject,lcc_T6W50,lsc_T6W50
CSO-16-10C-ACALGU,34.20763723150358,30.782816229116943
CSO-16-10C-MAVAVE,36.1731123388582,33.217311233885816
CSO-16-11A-JAVABO,35.21951219512195,32.641463414634146
CSO-16-11A-JDMUVA,35.93016759776536,33.16201117318436
CSO-16-11A-VZAOR,37.07594936708861,30.666666666666668
CSO-16-11B-KRORE,34.70666666666666,32.266666666666666
CSO-16-11B-LLOZA,36.27768595041322,33.74710743801653
CSO-16-11B-YAROMO,36.85588235294118,32.082352941176474
CSO-16-9A-JALEMO,34.973509933774835,32.51655629139073
CSO-16-9A-JPROSO,36.8267716535433,32.46456692913386
CSO-16-9A-JSMAGU,32.68181818181818,30.58484848484849
CSO-16-9B-SJPAJI,33.5771144278607,31.62437810945273
CSO-17-10A-YVGOCA,33.13905325443787,31.393491124260358
CSO-17-10B-EHECO,34.72611464968153,31.554140127388536
CSO-17-10B-YCQUVE,33.649253731343286,30.077611940298507
CSO-17-11A-DJAPA,34.172541743970314,31.40816326530612
CSO-17-11A-JDAMO,34.245070422535214,32.098591549295776
CSO-17-11A-NPAHE,35.52370689655172,33.13793103448276
CSO-17-11A-RLPAIG,33.99261992619926,31.5239852398524
CSO-17-11A-SPUVA,31.473053892215567,29.9251497005988
CSO-17-11B-CDBEBU,35.81150159744409,33.031948881789134
CSO-17-11C-JDAAG,36.88472622478386,34.31412103746398
CSO-17-11C-MAPAMA,34.19073569482289,32.06811989100817
CSO-17-11C-MCAAG,34.65418502202643,32.279735682819386
CSO-17-11C-SARJA,34.04887218045113,30.778195488721803
CSO-18-11A-ADBAHO,36.26512968299712,33.54178674351585
CSO-18-11B-YLLRE,35.35860655737705,32.545081967213115
CSO-18-9B-MAMOLO,34.64585987261147,30.850955414012734
CSO-8-3A-AIPRBR,32.2247191011236,30.27247191011236
CSO-8-3A-DAPAVA,32.02016806722689,29.46890756302521
CSO-8-3A-KVPECO,32.13333333333333,29.803703703703704
CSO-8-4A-ARAGR,34.63978494623656,30.758064516129032
CSO-8-4A-JRAAR,29.26101694915254,27.044067796610168
CSO-9-2A-EXMOCO,31.61092150170649,26.37542662116041
CSO-9-4A-AGAPE,33.853932584269664,31.117977528089888
CSO-9-4A-DKVIMO,30.87810945273632,29.258706467661693
CSO-9-4A-DSMOMU,35.552268244575934,32.019723865877715
CSO-9-4A-DVGATO,33.16078431372549,30.105882352941176
CSO-9-4A-EGCAMO,31.40773809523809,29.285714285714285
CSO-9-4A-FAGIGA,33.529411764705884,29.949579831932773
CSO-9-4A-GSBRCO,30.069037656903767,28.418410041841003
CSO-9-4A-KEMOCO,30.35967302452316,28.8283378746594
CSO-9-4A-LCOMO,35.25934579439252,31.77570093457944
CSO-9-4A-MLORO,31.424242424242426,29.83549783549784
CSO-9-4A-MPAME,31.532258064516128,28.806451612903224
CSO-9-4A-NSARPA,33.706849315068496,31.263013698630136
CSO-9-4A-SLOCA,31.256493506493506,29.357142857142858
CSO-9-4A-YVDITR,27.66,25.80666666666667
