subject,z_diameter_T2W30,z_asp_T2W30
CSO-13-8A-MBUAN,0.3208179487252543,0.0918908512788274
CSO-13-8A-MGAAN,0.2700951845733693,0.3632465160182471
CSO-13-8A-MGAHE,-0.1640803276195874,-0.1965000374113343
CSO-13-8A-MJAGA,0.8119982925382251,0.9658972608801376
CSO-13-8A-VHODU,0.6650316791070556,1.0036368502128916
CSO-13-8B-FCJISA,-0.0723892274176672,-0.155121596566974
CSO-13-8B-JEMABE,0.7973503010389159,0.8508630484913634
CSO-13-9B-DMLLLU,0.6994842628948543,1.0083328586082858
CSO-14-7B-EVEGO,0.5272687199046066,0.5700617764838346
CSO-14-8A-AQUMA,0.4956912819152648,0.556597114162393
CSO-14-8A-SZARA,0.247082787912291,0.4619821848213846
CSO-14-8B-JLLORA,0.8679733921320811,0.7927400425804708
CSO-14-9A-AEDCAGO,0.0787610125712191,0.1852969047316023
CSO-14-9A-HASACA,0.1460365406811916,0.3914305303948245
CSO-14-9A-JSMAAL,0.1261857679386987,0.0363830861872725
CSO-14-9A-MARJA,0.3883191841910651,0.2920878026203941
CSO-14-9A-SORZU,0.6617769003728168,0.5954846053740618
CSO-14-9B-ERAGA,0.4892881656904427,0.6515660362890937
CSO-14-9B-MFEGA,0.2450154073655781,0.4139266280082637
CSO-15-10A-LJRAGU,0.065469250326259,0.0806246614899937
CSO-15-10A-MAARLO,0.4151089390191915,0.6601688534403662
CSO-15-10A-SFEGA,0.3129522867681009,0.700343653282013
CSO-15-10B-MEBUAR,1.4708500976522183,1.995486966168672
CSO-15-10B-YVBUAN,0.5760035330879998,0.7923482862863112
CSO-15-10C-ALBAHO,-1.3908013367152603,-0.5012651501695441
CSO-15-10C-SSCAMO,0.9769392208175314,1.3764195619740704
CSO-15-11C-JETALO,1.323622507914399,1.5726028360020352
CSO-15-7B-JCRAGA,-0.9052650167724556,-1.0021235377378566
CSO-15-8A-VBMABR,0.0297234777770269,0.0465977838905416
CSO-15-8B-KEPOGO,0.0815929717163232,0.2050740546044674
CSO-15-9B-ALRIHE,-0.1972368869568607,-0.2324650218818552
CSO-15-9B-AMSAGO,1.2791727904832777,1.5359531817569798
CSO-15-9B-JCAPA,0.8653979170103032,0.9462613573523116
CSO-15-9B-KSBEJA,0.0606173227656459,0.0237646314675409
CSO-15-9B-RMCHLU,-0.2669626149057599,-0.2084828536060529
CSO-16-10A-JEGAHE,2.7923009449863296,3.375574991858418
CSO-16-10A-MSACO,1.999191558205492,2.400327546567614
CSO-16-10A-YKMUJO,-0.144670952637065,-0.0335899183474878
CSO-16-10B-JESUGU,0.0176371515117956,0.0303410570769898
CSO-16-10B-LTVIFA,0.3113778559232441,0.3690479763244481
CSO-16-10B-VVILI,-0.0993837701756317,-0.1708486611756124
CSO-16-10C-ACALGU,0.0572216828372645,0.1185599004523179
CSO-16-10C-MAVAVE,0.0797550306289652,-0.0755344330092931
CSO-16-11A-JAVABO,-0.0024333501413637,-0.0457616291791511
CSO-16-11A-JDMUVA,-0.2193079107091201,-0.1616387017825311
CSO-16-11A-VZAOR,1.0287760520090137,1.1753963016458997
CSO-16-11B-KRORE,-0.276804714719251,-0.1156074994160103
CSO-16-11B-LLOZA,0.1913629572935352,0.2760580089216227
CSO-16-11B-YAROMO,0.4545510869487552,0.6669560177005215
CSO-16-9A-JALEMO,0.3539863904271002,0.4714694638750327
CSO-16-9A-JPROSO,0.7060599497588933,0.8153799117691547
CSO-16-9A-JSMAGU,0.4625915535648044,0.7477286914107564
CSO-16-9B-SJPAJI,0.2487747299065744,-0.0239106735856806
CSO-17-10A-YVGOCA,-0.2320941452865744,-0.2279583715046707
CSO-17-10B-EHECO,-0.2706196334267386,-0.3091774567818704
CSO-17-10B-YCQUVE,0.4497451437850445,0.7369274128405796
CSO-17-11A-DJAPA,0.2324884008330719,0.1519211996563895
CSO-17-11A-JDAMO,-0.5148021737026829,-0.6654540451645108
CSO-17-11A-NPAHE,0.8338874033551833,1.0126934136400434
CSO-17-11A-RLPAIG,0.2882784416838978,0.2585590030526173
CSO-17-11A-SPUVA,2.376085885553207,3.3519322715268136
CSO-17-11B-CDBEBU,0.9123637820518108,1.5371477036580208
CSO-17-11C-JDAAG,0.3140241047684381,0.3957508203727313
CSO-17-11C-MAPAMA,0.423190491051638,0.4852680015341959
CSO-17-11C-MCAAG,0.4936862316244427,0.6014087772597588
CSO-17-11C-SARJA,0.7317345276718207,0.6172816888685164
CSO-18-11A-ADBAHO,0.0516134171674189,0.1272911932139184
CSO-18-11B-YLLRE,0.4320790121637093,0.4869679653835516
CSO-18-9B-MAMOLO,2.123415957340223,2.794417899706985
CSO-8-3A-DAPAVA,1.150013887850034,1.5322118418993091
CSO-8-3A-KVPECO,1.3458859086798778,2.514448960169335
CSO-8-4A-ARAGR,-0.1517465779559818,-0.0903343269680938
CSO-8-4A-JRAAR,-0.5202861870589077,-0.274368760783846
CSO-9-2A-EXMOCO,0.2889596845236389,0.5638495736957602
CSO-9-4A-AGAPE,0.657754122078196,0.7033400706331401
CSO-9-4A-DKVIMO,-0.1989351451985121,-0.2649767564944592
CSO-9-4A-DSMOMU,0.2221294796406924,0.2585697987020828
CSO-9-4A-DVGATO,1.1755920579492944,1.6324807209070034
CSO-9-4A-FAGIGA,0.8460855545630511,1.1335128023179095
CSO-9-4A-GSBRCO,1.1075900469271356,1.3302653267885525
CSO-9-4A-KEMOCO,1.0464129124759196,0.9921637923500184
CSO-9-4A-LCOMO,0.5497216472360311,1.3394521216492743
CSO-9-4A-MLORO,0.2880977102782086,0.4418274346960793
CSO-9-4A-MPAME,2.3172052950609285,2.7070477290147843
CSO-9-4A-NSARPA,-0.194255494636662,-0.2536827601089068
CSO-9-4A-SLOCA,1.0535059853256643,1.424313883335373
CSO-9-4A-YVDITR,-0.6205897880155307,-0.3499939348552541
