subject,edges_T2W30,re_T2W30,l1_T2W30,lcc_T2W30,z_l3_T2W30,y_true,y_pred
CDMS-13-7C-RAIZAC,0.12768428307059979,-0.06069592079751839,0.01778487714687211,-0.02959802616366908,-0.1857388487339729,8,8.082479842783183
CDMS-13-7C-SSOSLO,0.11294806064051709,-0.02695951068741187,-0.030737315314524633,0.09571356821509049,-0.2611538353303994,10,8.102854445784143
CDMS-14-10A-IMORTO,0.1385008391910376,0.07234019287229464,-0.01055005197708512,-0.02714888941032417,0.05840852044430055,10,8.444594089381093
CDMS-14-10A-JCVANI,0.11393008483632631,-0.03092159485897775,0.05122568242531983,0.04686437504655353,-0.11238249238538128,9,8.281759533324713
CDMS-14-6B-KDCAHE,-0.20404153681964915,0.08935730546032308,-0.0056983228075169505,-0.1370844496649864,-0.21417120378521187,7,7.741405270643828
CDMS-15-10A-AMALOS,0.15935229683874494,-0.08815800023485432,-0.03865540784627193,-0.06203833466794666,0.048722830625580006,8,8.232266862976124
CDMS-15-10A-JJMACH,0.1466045507337789,-0.05047906864593241,-0.1126145725144514,-0.07144787612397008,0.03195798277277746,8,8.157064494483073
CDMS-15-10A-MAALCA,0.1716599052723933,0.16700311958636213,0.08719584887702132,-0.04239850839770597,0.0901511163962653,10,8.686654959995208
CDMS-15-10A-MAALRI,-0.10910086887472806,-0.060031106886312066,0.12401381283194846,-0.05482622761781605,0.011546855379485427,10,8.124645943093446
CDMS-15-10A-SGOMO,0.18910041249031984,-0.10866318219903123,0.09043477364506934,0.08663858383239402,0.06953192593564854,9,8.540085991965274
CDMS-15-10A-SHEGA,-0.06742369448665576,0.02933450982434414,0.004375263147648971,-0.017682463230277272,0.013322770552646796,9,8.17496986406858
CDMS-15-11B-JEMOLO,-0.12513170741114113,-0.03762038126574657,0.016772435793760972,-0.032721030592127956,-0.1775542841879727,9,7.8567885105976405
CDMS-15-11B-VSAHO,0.1730124943297359,-0.05559332775465085,0.08260504640778464,-0.059865658816543973,0.06465573370455092,9,8.417857766131744
CDMS-16-10A-SGALO,0.11158831595400667,0.19811851778614786,-0.07940913020217873,0.03925350282788098,0.03139610459305307,8,8.51399078921978
CDMS-16-11B-NGABE,0.149796430328511,0.06775827473471832,0.07524479064187063,-0.026661061352715103,-0.030437197031815667,10,8.448744715581437
CDMS-17-10A-ASSAMO,0.1262949181115768,-0.06896941997075945,-0.0041079733875367805,-0.08217729530474417,0.06908100426271249,7,8.253164711972119
CDMS-18-7C-VVECA,0.10352679322363789,0.004785344490256575,0.07540042493876174,0.059250068439997715,-0.24833135878911744,8,8.207674750564408
CDMS-8-4A-DJAVDA,0.08733566978251787,-0.1594021422004299,-0.10338738636274479,-0.1738110262612726,0.07106825277470191,8,7.934846845993638
CDMS-8-4A-DOSTR,0.1030399278308101,-0.10131191099321826,-0.07206242928032422,-0.10869636858503454,0.04596214119598285,9,8.079974838429083
