subject,edges_T2W40,re_T2W40,l1_T2W40,l3_T2W40,lsc_T2W40,y_true,y_pred
CDMS-12-7C-VQURA,0.17224674868742634,-0.030082742955894318,0.09362184046108167,0.029879926816814912,0.012771171762025583,9,8.503662169996671
CDMS-13-6B-JDTAHE,-0.26139934625411976,0.07477891558484027,0.0812239950598928,-0.020062018588077813,-0.09615803656866294,8,8.003608734459096
CDMS-13-7C-MVEAR,0.17954551048597794,0.019327010154324316,0.13804685626915347,0.039996483791224766,0.08344319149504933,11,8.685584277420949
CDMS-13-7C-RAIZAC,0.122438169210043,0.018586277286480584,0.006145511628649489,-0.27008260107803583,0.08339584478478088,8,8.185708427057138
CDMS-13-7C-SSOSLO,0.10722251401257077,-0.004089488818554662,0.009335380292624757,0.10856324165446059,0.09021791866892219,10,8.536474791035245
CDMS-14-10A-IMORTO,0.12065329360940412,-0.0033275299178137825,-0.031039268789724937,0.17383961399319023,-0.010292469241691738,10,8.475058864878589
CDMS-14-10A-JCVANI,0.12784871903883566,-0.012130684265135434,-0.00432983260953957,0.1420403782494584,0.07288902070652349,9,8.551542826345363
CDMS-14-6B-KDCAHE,-0.22586233391016092,0.09123104287382901,0.0029930628471972766,-0.19358334453164106,-0.033334976040752355,7,7.866668676463698
CDMS-15-10A-AMALOS,0.15733606452902282,0.002824564244596397,-0.027526074139433306,0.028849844899773467,0.02224307877797248,8,8.408952703537151
CDMS-15-10A-JJMACH,0.13302910933728215,-0.04720889634785825,-0.0972984430045965,0.0012518892241933845,0.059434023021140536,8,8.274432907455383
CDMS-15-10A-MAALCA,0.1822696895200596,0.29268796852036943,0.018443537948996988,0.047548615130780854,0.10668678503962556,10,8.872861821385051
CDMS-15-10A-MAALRI,0.00403882540225492,-0.059188477179387744,0.13412103137644033,0.01427597165803173,0.04040958720810739,10,8.35888216369067
CDMS-15-10A-SGOMO,0.1800059191025832,0.013824003694084146,0.06476463201672109,0.0235134476468982,0.00581693689183288,9,8.513150164577333
CDMS-15-10A-SHEGA,-0.10110235219654365,0.04576908313671711,0.03471745197548952,0.12906359828473685,0.04951820530286476,9,8.383191211728487
CDMS-15-11B-JEMOLO,-0.1622211901492437,-0.006359297992446179,0.04972973276309737,0.051695047871524825,-0.09964449457028236,9,8.058425023147873
CDMS-15-11B-VSAHO,0.1825472819715783,0.060486099011626666,0.14562239191721638,0.04909393181720135,0.026873949709415704,9,8.689848879652258
CDMS-16-10A-SGALO,0.14519110380566555,0.20652255102555792,-0.07885063347010875,0.04484725573438295,0.25787360472688087,8,8.800809107047598
CDMS-16-11B-NGABE,0.14236732923291762,0.019553713298895256,0.060335501534263515,0.13766128244178333,0.031091527952862335,10,8.616234579685939
CDMS-17-10A-ASSAMO,0.12069503201076148,-0.1112642705487302,-0.07133730677096435,-0.008186823083762167,0.06004733206795211,7,8.21517918890048
CDMS-18-7C-VVECA,0.10314110966769213,0.019763347635201458,0.04350560981796369,-0.3116271580522547,-0.011326387127886544,8,8.068681747165936
CDMS-8-4A-DJAVDA,0.09650266568484471,-0.12405155063551038,-0.07126681661335225,-0.0030074360841317598,-0.15914501713516974,8,7.964257070441906
CDMS-8-4A-DOSTR,0.09948547625706905,-0.09340477995952973,-0.030329884054822943,0.06795905350881534,-0.11148985864597523,9,8.15744523233078
CDMS-8-4A-LGOPA,-0.18001169358137895,-0.02588479295884198,-0.00959797790749853,0.04497235710440362,-0.02967587252056176,8,8.025027245361345
CDMS-8-4C-JDBUTU,-0.40824758745760104,-0.06669088688211013,-0.055154165553225686,-0.12819600089691843,-0.007953173336688057,6,7.558983411098688
CDMS-9-4A-ACDUTR,-0.18108990797004132,-0.1498918564820259,-0.10649801062351923,0.02859380543512816,-0.10148442867572785,7,7.714854826909036
CDMS-9-4A-CARGA,0.14799059259563727,0.06325025638520897,0.015761009940385495,-0.001299410990241786,0.06272819130613969,8,8.513655864462349
CDMS-9-4A-CRAAG,0.08644815824778333,-0.36675971734214563,-0.010543078361646894,-0.04118053618851369,-0.16035303081917243,4,7.732837020761527
CDMS-9-4A-EROHI,0.14041518452976348,0.024747739253083965,-0.10874093820315131,-0.004083161116756732,0.014384514051620102,5,8.291948563739785
CDMS-9-4A-ILOSE,-0.31943212314433245,-0.1157110147373822,0.0029165464946036288,-0.04471417134117697,-0.06565221683110463,7,7.682632245665826
CDMS-9-4A-TGAFR,-0.31787415793117435,0.10448716295648168,0.02808123878146859,-0.03968421428096874,-0.16357475898289445,6,7.836660495768132
CDMS-9-4C-SCAMO,-0.368536474237213,-0.15081326910100518,-0.1516061239912869,-0.07533306685069482,-0.07687066041698865,2,7.402065630628031
CDMS-9-5A-ABERO,0.11991030068086288,0.012254443511000149,-0.09020156271883298,0.05913699680548474,-0.10250323349271802,8,8.223822170011024
CDMS-9-5A-VVAAR,0.17424757181664802,0.34271087928398575,0.0961831767639587,-0.00113747820326241,0.254308180324371,11,9.091537555210916
CDMS-9-5C-JDMADE,-0.010528296938916609,0.0862002611293925,0.06988565785995679,0.17957261775549926,0.08023195071782181,12,8.63058741574898
CDMS-9-5C-LVIZAC,-0.18738168652912054,0.016847650033255317,-0.02658371602361313,-0.12865117434914788,-0.04989696220264087,8,7.849559336153962
CDMS-9-5C-MLOGO,0.1025019005167728,-0.08127057687304146,0.0011939208829900639,-0.3289760478560128,-0.18116613206566146,5,7.737508289830273
CDMS-XX-10A-VGILO,-0.06690795441842114,-0.10944357364086969,0.014784829902953375,-0.019946234583902798,-0.03005572940107855,8,8.013656563083899
CDMS-XX-5C-MPCAQU,0.12920353756283393,-0.09010710350531036,-0.021797753279857328,-0.04217210775469229,-0.019389721129367474,5,8.18096207711882
CDMS-XX-6B-SPUCA,0.11939834048371284,0.11888673319489342,0.009361573528624052,0.009172123892910741,0.01332789491209399,10,8.495371891237456
CSO-10-4A-KCOMO,-0.3778257172206304,0.02707110295103482,-0.10599954315486233,-0.03389571649208079,-0.039881568090396044,7,7.694693783218284
CSO-10-4A-LRAVI,0.11086305764807355,0.007003685725259853,-0.10592158211529829,-0.041459577402857474,-0.04551024398298323,3,8.150200565097414
CSO-10-4A-LSCAVA,0.1370401253018187,-0.015678792826696885,-0.11172251604896156,0.003368760743975807,-0.009860246066507292,8,8.228372556328848
CSO-10-5A-ACAVA,-0.2707821986438768,0.020939038478720723,0.028244046849097336,-0.03828551882980913,-0.1682286789991679,6,7.797111914080184
CSO-10-5A-ARACA,0.0924289724809378,-0.026195898430771865,-0.06717008944050136,-0.11972675598930396,-0.1197232633002582,7,7.984838190545327
CSO-10-5A-DABRZA,-0.11864676319561014,-0.1325265157361209,-0.0018058979014075164,-0.16894364129653444,-0.12074971094460468,6,7.6825526961509505
CSO-10-5A-GZAMA,0.05744530661078661,-0.2504296794120673,-0.04873903988755083,-0.03823710640826848,-0.16933280033744313,6,7.775931905790684
CSO-10-5A-IPECA,0.1701840535363352,0.11744451589329598,0.09208340299553679,0.03727519504555619,0.24205123538270407,7,8.884263628078639
CSO-10-5A-JANORO,0.021177081540604804,0.06522701921351205,-0.013809460449245473,-0.001458624563881257,-0.005184450632229562,7,8.291176790333981
CSO-10-5A-JBUVE,0.18158350848965382,0.2851020173579867,0.12278546022171198,0.04282249694431959,0.11059887286605719,9,8.968117581104952
CSO-10-5A-JJSEMO,-0.1479544376838245,-0.15783174774943035,0.04377729502414026,-0.026642089614850827,0.04045093810654384,10,7.977025183307802
CSO-10-5A-JLCARI,0.05465795325415965,-0.07588090827456294,0.05241243206645654,0.0011262050216979257,0.04493016052072461,9,8.302471067813691
CSO-10-5A-MAARAN,0.10707743021648675,-0.06988728005023516,-0.034620430779909,-0.10524759481504468,-0.005706984884530088,9,8.116840364911994
CSO-10-5A-RVMOIB,-0.21859391731946434,-0.1307016033227826,-0.10966793469218888,-0.07231112844710769,-0.03486078932096283,4,7.6590898521227135
