subject,nodes_T6W50,edges_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,atd_T6W50,density_T6W50,diameter_T6W50,asp_T6W50,y_true,y_pred
CDMS-15-10A-MAALRI,-0.0016673892559027324,0.0,0.0,0.0,-5.5339309218534194e-05,-0.0019469445606946606,-0.0019350946369836015,0.0,0.0,-0.000447550851027686,-6.280514702089175e-05,5,4.996073504807082
CDMS-15-10A-SGOMO,-0.0021625139588738857,0.0,0.0,0.0,-8.238889851339227e-05,-0.0024123406088807768,-0.002481519422152684,0.0,0.0,-0.0003621864753348569,-6.36286325098245e-05,4,4.994624050571665
CDMS-15-10A-SHEGA,-0.00047252100815049465,0.0,0.0,0.0,0.0,-0.0006973244924057559,-0.0013056834734385834,0.0,0.0,0.0,0.0,7,4.999713099593936
CDMS-15-11B-JEMOLO,-0.0013745591268983128,0.0,-5.412371314127552e-05,-4.644274013646584e-05,-6.098033391130214e-05,-0.001662072192313256,-0.0015724850516701796,0.0,0.0,-0.0003928901041644115,-7.121723606969352e-05,6,4.9969538580696256
CDMS-15-11B-VSAHO,0.0002447031305629944,0.0,0.0,0.0,0.0,0.0001379237891745665,0.0,0.0,0.0,0.0,0.0,4,5.002571255487668
CDMS-16-10A-SGALO,-0.0011354100143197955,0.0,0.0,0.0,0.0,-0.0014012893412294863,-0.0014995775329122104,0.0,0.0,-0.0004098062938339541,0.0,7,4.997742545385635
CDMS-16-11B-NGABE,-0.002146166879894988,0.0,0.0,-4.0519147407091886e-05,-6.096928266842354e-05,-0.002420653267509032,-0.0023050155210921288,0.0,0.0,-0.0004699639175310483,-5.910919451602651e-05,12,4.994686231357312
CDMS-17-10A-ASSAMO,-0.0016314143545884904,0.0,0.0,0.0,-5.5182627606073625e-05,-0.0017782082733063546,-0.0014572867353672546,0.0,0.0,-0.00038001846569062135,-4.934456255791843e-05,6,4.996837173548814
CDMS-18-7C-VVECA,0.0011756897753036296,0.0,0.00028741096569662606,4.0639465480439216e-05,9.79693172676401e-05,0.0012964132160361895,0.0012167083068645912,0.0,0.0,0.00034463918927986077,5.5194933799561886e-05,4,5.006703293737659
CDMS-8-4A-DBEVA,0.00020148369505042902,0.0,0.0,0.0,0.0,0.0005122546027539128,0.0003773424830910218,0.0,0.0,0.00021061635858477657,0.0,8,5.003490325707411
