subject,nodes_T6W50,edges_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,atd_T6W50,density_T6W50,diameter_T6W50,asp_T6W50
CDMS-13-7C-RAIZAC,33.52427184466019,49.0,0.4757281553398058,1.912621359223301,0.7281553398058253,33.52427184466019,31.864077669902912,2.935482468459707,0.080253114126607,7.524271844660194,3.558954000599288
CDMS-13-7C-SSOSLO,31.67753001715266,48.83190394511149,1.1389365351629503,0.888507718696398,2.6243567753001718,31.334476843910807,29.337907375643223,3.122689771188719,0.0901509255814457,7.569468267581475,3.429536994359446
CDMS-14-10A-IMORTO,32.47211895910781,49.0,0.137546468401487,1.3345724907063197,1.2267657992565055,32.47211895910781,30.728624535315983,3.03794185284148,0.0853898695801999,7.869888475836431,3.585729258271049
CDMS-14-10A-JCVANI,35.790361445783134,49.0,0.3542168674698795,1.1879518072289157,0.5518072289156627,35.790361445783134,32.44819277108434,2.762772419329476,0.07409930707446,9.419277108433734,4.0791883080486615
CDMS-14-5A-LSDUCO,30.39130434782609,49.0,0.4565217391304347,1.608695652173913,2.074534161490684,30.39130434782609,28.5,3.24112455897668,0.0942690974838297,7.204968944099379,3.3490288925292218
CDMS-14-6B-KDCAHE,33.11389521640091,48.88838268792711,1.1298405466970387,1.612756264236902,1.6924829157175398,32.97949886104784,29.633257403189067,2.9773412222291364,0.0810137565100312,8.630979498861048,3.8595418324530977
CDMS-15-10A-AMALOS,33.73781512605042,49.0,1.226890756302521,1.4705882352941178,1.0016806722689076,33.73781512605042,31.54957983193277,2.92254558803999,0.0796202383650126,8.036974789915966,3.686621626863919
CDMS-15-10A-JJMACH,35.85450061652281,48.879161528976574,0.4229346485819975,0.5388409371146733,1.0480887792848337,35.85203452527743,33.27250308261406,2.7447053855843957,0.0739874522583446,8.731196054254008,3.900279712285723
CDMS-15-10A-MAALCA,34.51032448377581,49.0,0.4336283185840708,0.967551622418879,1.4365781710914454,34.51032448377581,32.51622418879056,2.855496713848381,0.0793993513722324,8.029498525073747,3.70466008918876
CDMS-15-10A-MAALRI,35.22058823529412,49.0,0.3602941176470588,1.3504901960784317,1.3406862745098038,35.22058823529412,32.450980392156865,2.79894454414312,0.0749648794881867,9.181372549019608,4.007549397345217
CDMS-15-10A-SGOMO,36.003154574132495,49.0,0.2365930599369085,0.3406940063091482,1.3470031545741326,36.003154574132495,33.570977917981075,2.730185207359745,0.0729076170385301,8.637223974763407,3.930363643690287
CDMS-15-10A-SHEGA,34.361930294906166,49.0,0.131367292225201,0.9329758713136728,2.689008042895442,34.361930294906166,32.35120643431635,2.8723258528940923,0.0822987588453435,8.021447721179625,3.6023563199056
CDMS-15-11B-JEMOLO,34.93754702784048,49.0,0.6012039127163281,0.8743416102332581,1.015801354401806,34.93754702784048,32.154251316779536,2.826471713338492,0.0755718706827947,8.950338600451467,3.992627543266131
CDMS-15-11B-VSAHO,33.44214876033058,49.0,0.6074380165289256,0.6446280991735537,0.987603305785124,33.44214876033058,31.33471074380165,2.952112701100583,0.0815510364090961,7.971074380165289,3.681872519821884
CDMS-16-10A-SGALO,34.764227642276424,49.0,0.2113821138211382,0.9051490514905148,1.4905149051490514,34.764227642276424,32.170731707317074,2.8359326201369432,0.0776342731025896,9.176151761517616,4.034920448222011
CDMS-16-11B-NGABE,35.78054298642534,48.77828054298642,0.2217194570135746,0.8778280542986425,0.8574660633484162,35.776018099547514,32.866515837104075,2.741008820529445,0.0739102399756931,8.997737556561086,3.957072960370214
CDMS-17-10A-ASSAMO,37.16605166051661,49.0,0.0,0.3505535055350554,1.1771217712177122,37.16605166051661,34.601476014760145,2.64589687123087,0.0702610173146602,9.04059040590406,4.038821736750303
CDMS-18-7C-VVECA,32.29192546583851,48.90993788819876,0.1521739130434782,1.096273291925466,1.7018633540372672,32.29192546583851,30.17391304347826,3.050499429786214,0.0874923352448197,7.543478260869565,3.4169957020014574
CDMS-8-4A-DBEVA,29.31970260223048,49.0,0.9814126394052044,1.1524163568773234,2.817843866171004,29.31970260223048,27.847583643122675,3.368759603489514,0.1044076093515696,6.297397769516729,3.0183095851778754
CDMS-8-4A-DJAVDA,28.385650224215247,48.847533632287,2.807174887892377,2.031390134529148,2.3408071748878925,28.385650224215247,26.278026905829595,3.480938396141438,0.1037499829951925,6.802690582959642,3.1011812895248045
CDMS-8-4A-DOSTR,30.20855614973262,49.0,1.2263814616755793,1.3475935828877006,2.415329768270945,30.20855614973262,28.32976827094474,3.2815279536918247,0.0965543499430025,7.17825311942959,3.2859452646337397
CDMS-8-4A-LGOPA,30.021406727828747,48.90214067278288,0.764525993883792,1.853211009174312,2.853211009174312,29.810397553516815,27.819571865443425,3.28412437323115,0.0959823651751033,7.697247706422019,3.435514507584319
CDMS-8-4C-JDBUTU,29.26962457337884,48.95563139931741,2.3515358361774745,1.9146757679180888,1.819112627986348,29.26962457337884,27.63481228668942,3.378813391386535,0.0987515151891614,6.723549488054608,3.178167120510286
CDMS-9-4A-ACDUTR,31.904411764705884,49.0,1.0808823529411764,0.7205882352941176,2.022058823529412,31.904411764705884,29.96323529411765,3.097607448259981,0.0897645424754448,7.386029411764706,3.335860429252886
CDMS-9-4A-CARGA,32.240793201133144,49.0,0.6883852691218131,0.5439093484419264,1.8696883852691215,32.240793201133144,30.3342776203966,3.069063815561194,0.0895378969391613,7.43342776203966,3.385692597225005
CDMS-9-4A-CRAAG,29.65530303030303,48.62878787878788,1.1136363636363635,0.946969696969697,3.378787878787879,29.59469696969697,27.473484848484848,3.341213492467213,0.0994844388021432,7.075757575757576,3.26663995855473
CDMS-9-4A-EROHI,32.97864768683274,49.0,1.2455516014234875,0.501779359430605,1.4341637010676156,32.97864768683274,31.04270462633452,2.988559638317399,0.0835966522391043,8.320284697508896,3.6882629636820297
