subject,lsc_T6W50,diameter_T6W50,asp_T6W50,z_re_T6W50,z_pe_T6W50,z_l1_T6W50,z_l2_T6W50,z_l3_T6W50,z_lsc_T6W50,z_density_T6W50,z_diameter_T6W50,z_asp_T6W50
CDMS-12-5A-SRIGO,31.810924369747895,8.75,3.868829262198312,4.568455017801705,-0.277439705994621,-0.4519973009641475,-0.4292390012417199,-0.4049656478972862,-0.1462239649266425,-1.3198377341202456,0.2544582122215522,0.3934653527076427
CDMS-12-6A-FAROPA,32.83458646616541,8.020050125313283,3.690714879554912,3.1176201305359257,-0.6099151457493245,-0.2946035963871812,-0.628385800635004,-0.6246589722299789,0.1562153830410572,-0.7616890562168703,-0.1988955686081912,0.0372556997817046
CDMS-12-6A-JGIGA,29.459214501510573,7.619335347432024,3.3921052224351085,2.800338301569467,0.4051730910500928,-0.8372249710005999,-0.1381809685140084,-0.4781088729105961,-0.0240860620893199,-0.9556179486896668,0.1659746552492765,0.1361388482987073
CDMS-12-6A-JSOTGU,30.240521327014218,8.22037914691943,3.656230649311808,4.551282068825683,-0.9147734875785124,-0.7311412347574445,-1.068620237094133,1.0976371803243647,-0.1666471887223957,-1.1278250427426737,0.6964545182772114,1.152800742098305
CDMS-12-6A-SROAL,32.548458149779734,8.240088105726873,3.753757722484496,3.216885924129641,-0.2989623344831105,-0.5467449163095504,-0.6049491182992269,-0.1009561229015978,-0.1190517437739027,-0.7936598564431403,-0.0075086274729685,0.286100921294158
CDMS-12-6B-IJDAGA,29.22174840085288,8.515991471215353,3.72830530955174,3.292307371543734,-0.2474052585839091,1.193668125771858,-0.2954478732272553,0.8298791763961492,-0.3852421051656488,-2.3507745988110087,1.4792720070767955,2.247108988372182
CDMS-12-6B-SCLAG,29.769961977186316,8.14638783269962,3.634688352392499,4.491370455828057,0.3341896025153563,0.0086934159486593,-0.135619947489837,0.7712963116924578,-0.4531030256215623,-1.9256843994891752,0.8014881915654817,1.3541443552569528
CDMS-12-7C-ARAHE,30.231884057971016,7.48792270531401,3.3878960833025515,2.874573166913757,-0.2846760837227043,-1.3132268844868171,-0.2541640204400607,1.0289530732392715,-0.009927648159149,-0.6381390381383123,0.1772950183872349,0.2978578762683077
CDMS-12-7C-CATRAR,31.888297872340427,8.356382978723405,3.729199108034958,4.4471407951205535,-0.2177356924947595,-1.0416872560919297,-0.32601800747464,0.8194929115549141,-0.01068347401419,-1.290530965940806,0.349983817851357,0.776721809910588
CDMS-12-7C-DLOLO,31.154040404040405,8.159090909090908,3.6123295618906734,4.404175587751043,-1.1920800216438256,-0.9905846471826552,-1.350022350789887,0.301530557295263,-0.274997020020324,-0.701676509544571,0.5293702584389431,0.8961274925295369
CDMS-12-7C-JSZAOR,34.08080808080808,9.77777777777778,4.287842528554432,1.5259272414628189,0.2526717317057944,-0.6193847392726943,0.0352818433638492,-0.2323598961722627,0.1603015004679701,-0.2923223117896606,-0.3546378677386479,-0.3518349839333792
CDMS-12-7C-MAROBE,33.390449438202246,9.314606741573034,4.104140950877621,3.869517022591492,0.2865573888221941,-0.9905454490644212,0.0472067639287782,0.0963096455671946,-0.2586257382180141,-1.039193997929268,0.3324879483133966,0.5479029754229843
CDMS-12-7C-VMAPA,31.39568345323741,7.741007194244604,3.476831116210812,3.905749712495666,1.0414472307808975,-1.2652780747980872,-0.5315152207051924,-0.7438887910919255,0.0570644328034387,-0.8408335779297452,-0.0619816607080308,0.0455812825339002
CDMS-12-7C-VQURA,31.26298701298701,9.199675324675324,3.982677652660868,5.13875032681081,-0.053646998291977,-0.9730037209334496,-0.316915432306412,1.3479890839229125,-0.4449408198329226,-1.4541763798242726,0.8180901006279927,1.2754299373143498
CDMS-13-6B-ASUMO,28.290816326530614,8.64795918367347,3.705142422131769,2.529406897297686,-0.1534825898463941,-0.504698324741495,-0.0926853621520104,1.855212981315341,-0.1993726557274268,-0.8843712107808487,0.7334804556623756,0.8511783967949719
